symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,blind,2021-09-03T08:00:00+00:00,2021-09-07T12:00:00+00:00,23.981135,23.0428624286,20.0,-0.7825,,stop,25
ATOMUSDT,blind,2021-09-07T16:00:00+00:00,2021-09-16T00:00:00+00:00,20.506624,31.9369992857,20.0,11.148,,stop,50
ATOMUSDT,blind,2021-09-16T04:00:00+00:00,2021-09-20T12:00:00+00:00,31.94147,36.332706,20.0,2.7496,,stop,26
ATOMUSDT,blind,2021-09-20T16:00:00+00:00,2021-09-21T20:00:00+00:00,37.708958,29.627534926,20.0,-4.2862,,stop,7
ATOMUSDT,blind,2021-09-22T00:00:00+00:00,2021-10-12T08:00:00+00:00,30.459546,29.9724137143,20.0,-0.3199,,stop,122
ATOMUSDT,blind,2021-10-12T12:00:00+00:00,2021-10-27T08:00:00+00:00,30.729897,38.3215457143,20.0,4.9409,,stop,89
ATOMUSDT,blind,2021-10-27T12:00:00+00:00,2021-11-10T20:00:00+00:00,37.168256,33.4179287143,20.0,-2.018,,stop,86
ATOMUSDT,blind,2021-11-11T00:00:00+00:00,2021-11-16T08:00:00+00:00,32.091665,28.3832901212,20.0,-2.3111,,stop,32
ATOMUSDT,blind,2021-11-16T12:00:00+00:00,2021-11-18T12:00:00+00:00,29.548363,26.7314240567,20.0,-1.9067,,stop,12
ATOMUSDT,blind,2021-11-18T16:00:00+00:00,2021-11-26T04:00:00+00:00,26.764749,28.602768,20.0,1.3735,,stop,45
ATOMUSDT,blind,2021-11-26T08:00:00+00:00,2021-11-26T08:00:00+00:00,28.386855,25.7961335171,20.0,-1.8253,,stop,0
ATOMUSDT,blind,2021-11-26T12:00:00+00:00,2021-12-04T00:00:00+00:00,25.603241,29.0707302857,20.0,2.7086,,stop,45
ATOMUSDT,blind,2021-12-04T04:00:00+00:00,2021-12-04T04:00:00+00:00,29.017674,24.3056783452,20.0,-3.2477,,stop,0
ATOMUSDT,blind,2021-12-04T08:00:00+00:00,2021-12-15T12:00:00+00:00,26.654606,20.6598560836,20.0,-4.4981,,stop,67
