symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,book,2021-09-03T16:00:00+00:00,2021-09-07T12:00:00+00:00,24.2121,23.5125235714,20.0,-0.5779,,stop,23
ATOMUSDT,book,2021-09-07T20:00:00+00:00,2021-09-16T00:00:00+00:00,21.100545,31.5970507143,20.0,9.949,,stop,49
ATOMUSDT,book,2021-09-16T12:00:00+00:00,2021-09-20T12:00:00+00:00,34.707345,36.9072514286,20.0,1.2677,,stop,24
ATOMUSDT,book,2021-09-20T16:00:00+00:00,2021-09-21T20:00:00+00:00,37.67883,29.6211548707,20.0,-4.277,,stop,7
ATOMUSDT,book,2021-09-22T00:00:00+00:00,2021-10-12T08:00:00+00:00,30.43521,29.9964228571,20.0,-0.2883,,stop,122
ATOMUSDT,book,2021-10-12T16:00:00+00:00,2021-10-27T08:00:00+00:00,33.53676,37.2899171429,20.0,2.2382,,stop,88
ATOMUSDT,book,2021-10-27T12:00:00+00:00,2021-11-10T20:00:00+00:00,37.13856,33.4446978571,20.0,-1.9892,,stop,86
ATOMUSDT,book,2021-11-11T04:00:00+00:00,2021-11-16T08:00:00+00:00,32.726355,28.9797150368,20.0,-2.2897,,stop,31
ATOMUSDT,book,2021-11-16T12:00:00+00:00,2021-11-18T12:00:00+00:00,29.524755,26.7292408368,20.0,-1.8937,,stop,12
ATOMUSDT,book,2021-11-18T20:00:00+00:00,2021-11-26T04:00:00+00:00,26.863425,28.6513814286,20.0,1.3311,,stop,44
ATOMUSDT,book,2021-11-26T16:00:00+00:00,2021-12-04T04:00:00+00:00,27.17358,28.66566,20.0,1.0982,,stop,45
ATOMUSDT,book,2021-12-06T12:00:00+00:00,2022-01-08T16:00:00+00:00,23.45172,35.2309471429,20.0,10.0455,,stop,199
ATOMUSDT,book,2022-01-08T20:00:00+00:00,2022-01-21T20:00:00+00:00,35.09754,33.9572985714,20.0,-0.6498,,stop,78
ATOMUSDT,book,2022-01-22T00:00:00+00:00,2022-01-22T04:00:00+00:00,34.6173,29.1794886714,20.0,-3.1417,,stop,1
ATOMUSDT,book,2022-01-22T08:00:00+00:00,2022-01-30T16:00:00+00:00,29.344665,27.1678378571,20.0,-1.4836,,stop,50
ATOMUSDT,book,2022-01-31T00:00:00+00:00,2022-02-10T12:00:00+00:00,27.19359,28.8784107143,20.0,1.2391,,stop,63
ATOMUSDT,book,2022-02-11T08:00:00+00:00,2022-02-11T20:00:00+00:00,29.144565,26.7651043246,20.0,-1.6329,,stop,3
