symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,rnd210048,2021-09-03T20:00:00+00:00,2021-09-07T12:00:00+00:00,24.762375,23.498245,20.0,-1.021,,stop,22
ATOMUSDT,rnd210048,2021-09-07T16:00:00+00:00,2021-09-16T00:00:00+00:00,20.49024,31.9625821429,20.0,11.1979,,stop,50
ATOMUSDT,rnd210048,2021-09-16T12:00:00+00:00,2021-09-20T12:00:00+00:00,34.707345,36.9072514286,20.0,1.2677,,stop,24
ATOMUSDT,rnd210048,2021-09-20T16:00:00+00:00,2021-09-21T20:00:00+00:00,37.67883,29.6211548707,20.0,-4.277,,stop,7
ATOMUSDT,rnd210048,2021-09-22T16:00:00+00:00,2021-10-12T00:00:00+00:00,35.05752,30.9730771429,20.0,-2.3301,,stop,116
ATOMUSDT,rnd210048,2021-10-12T04:00:00+00:00,2021-10-27T08:00:00+00:00,31.025505,38.4550485714,20.0,4.7893,,stop,91
ATOMUSDT,rnd210048,2021-10-27T12:00:00+00:00,2021-11-10T20:00:00+00:00,37.13856,33.4446978571,20.0,-1.9892,,stop,86
ATOMUSDT,rnd210048,2021-11-11T04:00:00+00:00,2021-11-16T08:00:00+00:00,32.726355,28.9797150368,20.0,-2.2897,,stop,31
ATOMUSDT,rnd210048,2021-11-17T12:00:00+00:00,2021-11-18T16:00:00+00:00,28.784385,25.3806169146,20.0,-2.365,,stop,7
ATOMUSDT,rnd210048,2021-11-18T20:00:00+00:00,2021-11-26T04:00:00+00:00,26.863425,28.6513814286,20.0,1.3311,,stop,44
ATOMUSDT,rnd210048,2021-11-26T12:00:00+00:00,2021-12-04T00:00:00+00:00,25.582785,29.0940171429,20.0,2.745,,stop,45
ATOMUSDT,rnd210048,2021-12-04T08:00:00+00:00,2021-12-15T12:00:00+00:00,26.63331,20.6551201307,20.0,-4.4893,,stop,67
ATOMUSDT,rnd210048,2021-12-16T08:00:00+00:00,2021-12-28T00:00:00+00:00,22.55127,29.1739771429,20.0,5.8735,,stop,70
ATOMUSDT,rnd210048,2021-12-29T08:00:00+00:00,2022-01-05T16:00:00+00:00,26.063025,39.0190521429,20.0,9.9421,,stop,44
ATOMUSDT,rnd210048,2022-01-05T20:00:00+00:00,2022-01-08T16:00:00+00:00,37.468725,35.92203,20.0,-0.8256,,stop,17
ATOMUSDT,rnd210048,2022-01-09T20:00:00+00:00,2022-01-19T08:00:00+00:00,37.49874,35.2766385714,20.0,-1.1852,,stop,57
ATOMUSDT,rnd210048,2022-01-19T20:00:00+00:00,2022-01-21T12:00:00+00:00,37.35867,35.6507371429,20.0,-0.9143,,stop,10
ATOMUSDT,rnd210048,2022-01-22T00:00:00+00:00,2022-01-22T04:00:00+00:00,34.6173,29.1794886714,20.0,-3.1417,,stop,1
ATOMUSDT,rnd210048,2022-01-23T12:00:00+00:00,2022-01-31T00:00:00+00:00,32.946465,26.0598207143,20.0,-4.1805,,stop,45
ATOMUSDT,rnd210048,2022-01-31T04:00:00+00:00,2022-02-10T12:00:00+00:00,26.023005,28.8669878571,20.0,2.1857,,stop,62
ATOMUSDT,rnd210048,2022-02-10T16:00:00+00:00,2022-02-11T00:00:00+00:00,30.465225,28.1154459589,20.0,-1.5426,,stop,2
ATOMUSDT,rnd210048,2022-02-11T12:00:00+00:00,2022-02-11T20:00:00+00:00,28.764375,26.4654213839,20.0,-1.5985,,stop,2
ATOMUSDT,rnd210048,2022-02-12T04:00:00+00:00,2022-02-18T16:00:00+00:00,26.483235,26.8522814286,20.0,0.2787,,stop,39
ATOMUSDT,rnd210048,2022-02-18T20:00:00+00:00,2022-02-21T20:00:00+00:00,27.443715,24.5921270711,20.0,-2.0781,,stop,18
ATOMUSDT,rnd210048,2022-02-23T12:00:00+00:00,2022-02-24T00:00:00+00:00,25.762875,23.0638373125,20.0,-2.0953,,stop,3
ATOMUSDT,rnd210048,2022-02-24T16:00:00+00:00,2022-03-05T00:00:00+00:00,23.401695,29.8579207143,20.0,5.5177,,stop,50
ATOMUSDT,rnd210048,2022-03-05T08:00:00+00:00,2022-03-13T12:00:00+00:00,30.37518,26.7939191957,20.0,-2.358,,stop,49
ATOMUSDT,rnd210048,2022-03-14T08:00:00+00:00,2022-03-25T16:00:00+00:00,26.883435,27.6404585714,20.0,0.5632,,stop,68
ATOMUSDT,rnd210048,2022-03-25T20:00:00+00:00,2022-03-31T16:00:00+00:00,28.17408,28.6142571429,20.0,0.3125,,stop,35
ATOMUSDT,rnd210048,2022-04-01T20:00:00+00:00,2022-04-05T20:00:00+00:00,29.604795,29.1868278571,20.0,-0.2824,,stop,24
ATOMUSDT,rnd210048,2022-04-07T08:00:00+00:00,2022-04-11T08:00:00+00:00,27.49374,25.0240788443,20.0,-1.7965,,stop,24
ATOMUSDT,rnd210048,2022-04-12T04:00:00+00:00,2022-04-18T04:00:00+00:00,23.99199,22.6615207143,20.0,-1.1091,,stop,36
