symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,rnd310048,2024-01-03T20:00:00+00:00,2024-01-08T00:00:00+00:00,9.966981,9.27079085714,20.0,-1.397,,stop,25
ATOMUSDT,rnd310048,2024-01-08T04:00:00+00:00,2024-01-12T20:00:00+00:00,9.122559,9.73555835714,20.0,1.3439,,stop,28
ATOMUSDT,rnd310048,2024-01-13T04:00:00+00:00,2024-01-23T08:00:00+00:00,9.962979,8.88746161764,20.0,-2.159,,stop,61
ATOMUSDT,rnd310048,2024-01-23T20:00:00+00:00,2024-02-21T12:00:00+00:00,9.0195075,9.80024028571,20.0,1.7312,,stop,172
ATOMUSDT,rnd310048,2024-02-21T20:00:00+00:00,2024-02-28T16:00:00+00:00,9.8679315,10.6656645,20.0,1.6168,,stop,41
ATOMUSDT,rnd310048,2024-02-29T08:00:00+00:00,2024-03-05T16:00:00+00:00,11.6288115,11.3527493571,20.0,-0.4748,,stop,32
ATOMUSDT,rnd310048,2024-03-06T08:00:00+00:00,2024-03-15T08:00:00+00:00,12.4592265,12.0795286429,20.0,-0.6095,,stop,54
ATOMUSDT,rnd310048,2024-03-15T12:00:00+00:00,2024-03-19T04:00:00+00:00,12.404199,10.9139178826,20.0,-2.4029,,stop,22
ATOMUSDT,rnd310048,2024-03-19T16:00:00+00:00,2024-04-02T00:00:00+00:00,11.431713,11.3494652857,20.0,-0.1439,,stop,80
ATOMUSDT,rnd310048,2024-04-03T00:00:00+00:00,2024-04-12T16:00:00+00:00,10.973484,10.2247976151,20.0,-1.3645,,stop,58
ATOMUSDT,rnd310048,2024-04-13T20:00:00+00:00,2024-04-30T12:00:00+00:00,8.0630295,7.64631778571,20.0,-1.0336,,stop,100
ATOMUSDT,rnd310048,2024-05-01T16:00:00+00:00,2024-05-13T00:00:00+00:00,8.276136,8.3268345,20.0,0.1225,,stop,68
ATOMUSDT,rnd310048,2024-05-13T12:00:00+00:00,2024-05-14T04:00:00+00:00,8.582289,8.25084008764,20.0,-0.7724,,stop,4
ATOMUSDT,rnd310048,2024-05-14T12:00:00+00:00,2024-05-15T08:00:00+00:00,8.3751855,7.99582844296,20.0,-0.9059,,stop,5
ATOMUSDT,rnd310048,2024-05-15T16:00:00+00:00,2024-05-19T20:00:00+00:00,8.3811885,8.17419657143,20.0,-0.4939,,stop,25
ATOMUSDT,rnd310048,2024-05-20T08:00:00+00:00,2024-05-22T12:00:00+00:00,8.3231595,8.56357321429,20.0,0.5777,,stop,13
ATOMUSDT,rnd310048,2024-05-22T20:00:00+00:00,2024-05-23T20:00:00+00:00,8.562279,8.04878830693,20.0,-1.1994,,stop,6
ATOMUSDT,rnd310048,2024-05-24T00:00:00+00:00,2024-06-07T16:00:00+00:00,8.362179,8.14521107143,20.0,-0.5189,,stop,88
