symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,rnd110048,2022-06-02T00:00:00+00:00,2022-06-13T00:00:00+00:00,9.352142,6.8432342154,20.0,-5.3654,,stop,11
ATOMUSDT,rnd110048,2022-09-03T00:00:00+00:00,2022-09-28T00:00:00+00:00,12.6253917,12.6181464857,20.0,-0.0115,,stop,25
ATOMUSDT,rnd110048,2022-11-03T00:00:00+00:00,2022-11-08T00:00:00+00:00,13.3122835,12.6449687143,20.0,-1.0026,,stop,5
ATOMUSDT,rnd110048,2022-12-16T00:00:00+00:00,2023-01-18T00:00:00+00:00,9.442259,11.624868,20.0,4.6231,,stop,33
ATOMUSDT,rnd110048,2023-04-26T00:00:00+00:00,2023-06-07T00:00:00+00:00,11.0623624,9.53245407888,20.0,-2.766,,stop,42
ATOMUSDT,rnd110048,2023-06-19T00:00:00+00:00,2023-08-15T00:00:00+00:00,8.5761345,7.87817361429,20.0,-1.6277,,stop,57
ATOMUSDT,rnd110048,2023-09-23T00:00:00+00:00,2023-10-18T00:00:00+00:00,7.1412716,6.34003294286,20.0,-2.244,,stop,25
ATOMUSDT,rnd110048,2023-12-07T00:00:00+00:00,2023-12-18T00:00:00+00:00,9.7576685,10.3257019714,20.0,1.1643,,stop,11
BTCUSDT,rnd110048,2021-09-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,47164.514264,40047.6845055,20.0,-3.0179,,stop,6
BTCUSDT,rnd110048,2021-09-24T00:00:00+00:00,2021-11-16T00:00:00+00:00,44923.584838,59084.3617757,20.0,6.3044,,stop,53
BTCUSDT,rnd110048,2021-11-19T00:00:00+00:00,2021-12-04T00:00:00+00:00,56965.579106,49464.7679891,20.0,-2.6335,,stop,15
BTCUSDT,rnd110048,2021-12-06T00:00:00+00:00,2022-01-10T00:00:00+00:00,49460.535216,40162.3775909,20.0,-3.7598,,stop,35
BTCUSDT,rnd110048,2022-01-11T00:00:00+00:00,2022-01-21T00:00:00+00:00,41876.859237,36152.5461782,20.0,-2.7339,,stop,10
BTCUSDT,rnd110048,2022-01-22T00:00:00+00:00,2022-02-21T00:00:00+00:00,36492.688903,37530.5353663,20.0,0.5688,,stop,30
BTCUSDT,rnd110048,2022-02-25T00:00:00+00:00,2022-04-11T00:00:00+00:00,38378.507284,39521.0814309,20.0,0.5954,,stop,45
BTCUSDT,rnd110048,2022-04-16T00:00:00+00:00,2022-05-05T00:00:00+00:00,40604.61747,36191.6071373,20.0,-2.1736,,stop,19
BTCUSDT,rnd110048,2022-05-07T00:00:00+00:00,2022-05-09T00:00:00+00:00,36060.587901,31581.7727966,20.0,-2.484,,stop,2
BTCUSDT,rnd110048,2022-05-14T00:00:00+00:00,2022-06-13T00:00:00+00:00,29325.123165,23339.0054636,20.0,-4.0826,,stop,30
BTCUSDT,rnd110048,2022-06-15T00:00:00+00:00,2022-06-18T00:00:00+00:00,22165.197346,17644.9183791,20.0,-4.0787,,stop,3
BTCUSDT,rnd110048,2022-06-19T00:00:00+00:00,2022-11-09T00:00:00+00:00,18995.452027,16838.2760331,20.0,-2.2713,,stop,143
BTCUSDT,rnd110048,2022-11-12T00:00:00+00:00,2023-03-09T00:00:00+00:00,17092.170974,20641.551054,20.0,4.1532,,stop,117
BTCUSDT,rnd110048,2023-03-11T00:00:00+00:00,2023-04-21T00:00:00+00:00,20176.885897,27933.9642909,20.0,7.6891,,stop,41
BTCUSDT,rnd110048,2023-04-26T00:00:00+00:00,2023-05-12T00:00:00+00:00,28337.59104,26103.6724817,20.0,-1.5766,,stop,16
BTCUSDT,rnd110048,2023-05-14T00:00:00+00:00,2023-08-17T00:00:00+00:00,26810.077851,27617.710242,20.0,0.6025,,stop,95
BTCUSDT,rnd110048,2023-08-18T00:00:00+00:00,2023-09-01T00:00:00+00:00,26658.020433,25370.4711699,20.0,-0.966,,stop,14
BTCUSDT,rnd110048,2023-09-02T00:00:00+00:00,2023-11-14T00:00:00+00:00,25838.586552,34834.5218889,20.0,6.9632,,stop,73
BTCUSDT,rnd110048,2023-11-16T00:00:00+00:00,2023-12-31T00:00:00+00:00,37907.41566,42228.611346,20.0,2.2799,,stop,45
DOGEUSDT,rnd110048,2021-09-17T00:00:00+00:00,2021-11-10T00:00:00+00:00,0.24221447,0.247706134286,20.0,0.4535,,stop,54
DOGEUSDT,rnd110048,2021-11-13T00:00:00+00:00,2021-11-26T00:00:00+00:00,0.25973722,0.202348824114,20.0,-4.419,,stop,13
DOGEUSDT,rnd110048,2021-11-27T00:00:00+00:00,2021-12-04T00:00:00+00:00,0.20186208,0.157211011082,20.0,-4.4239,,stop,7
DOGEUSDT,rnd110048,2021-12-06T00:00:00+00:00,2022-01-22T00:00:00+00:00,0.17142256,0.129602725714,20.0,-4.8792,,stop,47
DOGEUSDT,rnd110048,2022-01-25T00:00:00+00:00,2022-05-09T00:00:00+00:00,0.13747849,0.108744162857,20.0,-4.1802,,stop,104
DOGEUSDT,rnd110048,2022-05-15T00:00:00+00:00,2022-06-13T00:00:00+00:00,0.08961635,0.0554727130307,20.0,-7.62,,stop,29
DOGEUSDT,rnd110048,2022-06-14T00:00:00+00:00,2022-08-19T00:00:00+00:00,0.054250434,0.06771186,20.0,4.9627,,stop,66
DOGEUSDT,rnd110048,2022-08-20T00:00:00+00:00,2022-10-30T00:00:00+00:00,0.067858101,0.121601712,20.0,15.84,,stop,71
DOGEUSDT,rnd110048,2022-10-31T00:00:00+00:00,2022-11-06T00:00:00+00:00,0.117893062,0.112158290143,20.0,-0.9729,,stop,6
DOGEUSDT,rnd110048,2022-11-07T00:00:00+00:00,2023-03-10T00:00:00+00:00,0.114919201,0.0630478463958,20.0,-9.0274,,stop,123
DOGEUSDT,rnd110048,2023-03-14T00:00:00+00:00,2023-04-06T00:00:00+00:00,0.072884627,0.0876145242857,20.0,4.042,,stop,23
DOGEUSDT,rnd110048,2023-04-07T00:00:00+00:00,2023-06-05T00:00:00+00:00,0.085521033,0.0668001511928,20.0,-4.3781,,stop,59
DOGEUSDT,rnd110048,2023-06-06T00:00:00+00:00,2023-06-10T00:00:00+00:00,0.06648632,0.0622004627143,20.0,-1.2892,,stop,4
DOGEUSDT,rnd110048,2023-06-11T00:00:00+00:00,2023-08-16T00:00:00+00:00,0.061830275,0.0675406542857,20.0,1.8471,,stop,66
DOGEUSDT,rnd110048,2023-08-17T00:00:00+00:00,2023-08-17T00:00:00+00:00,0.067267334,0.0595665823587,20.0,-2.2896,,stop,0
DOGEUSDT,rnd110048,2023-08-18T00:00:00+00:00,2023-11-21T00:00:00+00:00,0.061099326,0.0723515348571,20.0,3.6833,,stop,95
DOGEUSDT,rnd110048,2023-11-22T00:00:00+00:00,2023-12-31T00:00:00+00:00,0.071843275,0.089433585,20.0,4.8969,,stop,39
ETHUSDT,rnd110048,2021-11-05T00:00:00+00:00,2021-11-26T00:00:00+00:00,4538.202003,3907.95076825,20.0,-2.7775,,stop,21
ETHUSDT,rnd110048,2022-01-02T00:00:00+00:00,2022-01-06T00:00:00+00:00,3770.435202,3347.06050231,20.0,-2.2458,,stop,4
