symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,rnd210048,2024-01-18T00:00:00+00:00,2024-03-19T00:00:00+00:00,10.1672002,11.4509515286,20.0,2.5253,,stop,61
ATOMUSDT,rnd210048,2024-03-22T00:00:00+00:00,2024-04-12T00:00:00+00:00,11.6491242,8.96584628497,20.0,-4.6068,,stop,21
ATOMUSDT,rnd210048,2024-04-13T00:00:00+00:00,2024-04-13T00:00:00+00:00,9.3831823,7.74649160944,20.0,-3.4886,,stop,0
ATOMUSDT,rnd210048,2024-04-15T00:00:00+00:00,2024-06-18T00:00:00+00:00,8.3468368,6.35160468002,20.0,-4.7808,,stop,64
ATOMUSDT,rnd210048,2024-06-19T00:00:00+00:00,2024-07-05T00:00:00+00:00,6.6976957,5.51872630273,20.0,-3.5205,,stop,16
ATOMUSDT,rnd210048,2024-07-06T00:00:00+00:00,2024-08-02T00:00:00+00:00,5.7114152,5.41480872857,20.0,-1.0386,,stop,27
ATOMUSDT,rnd210048,2024-08-04T00:00:00+00:00,2024-08-05T00:00:00+00:00,5.1336651,4.31126744251,20.0,-3.2039,,stop,1
ATOMUSDT,rnd210048,2024-08-06T00:00:00+00:00,2024-09-04T00:00:00+00:00,4.6470333,3.904917,20.0,-3.1939,,stop,29
ATOMUSDT,rnd210048,2024-09-05T00:00:00+00:00,2024-11-03T00:00:00+00:00,4.0772936,3.97896347143,20.0,-0.4823,,stop,59
ATOMUSDT,rnd210048,2024-11-04T00:00:00+00:00,2024-11-25T00:00:00+00:00,3.9831714,8.4769656,20.0,22.5639,,stop,21
ATOMUSDT,rnd210048,2024-11-26T00:00:00+00:00,2024-12-19T00:00:00+00:00,7.9312973,7.15611351429,20.0,-1.9547,,stop,23
ATOMUSDT,rnd210048,2024-12-20T00:00:00+00:00,2025-02-03T00:00:00+00:00,6.8268634,4.41147815615,20.0,-7.0761,,stop,45
ATOMUSDT,rnd210048,2025-02-04T00:00:00+00:00,2025-03-10T00:00:00+00:00,4.9324038,3.59147880006,20.0,-5.4372,,stop,34
ATOMUSDT,rnd210048,2025-03-11T00:00:00+00:00,2025-06-17T00:00:00+00:00,3.5856553,3.97325661429,20.0,2.162,,stop,98
ATOMUSDT,rnd210048,2025-06-18T00:00:00+00:00,2025-07-24T00:00:00+00:00,4.0272286,4.45948084286,20.0,2.1466,,stop,36
ATOMUSDT,rnd210048,2025-07-25T00:00:00+00:00,2025-10-10T00:00:00+00:00,4.6320138,3.8564581642,20.0,-3.3487,,stop,77
ATOMUSDT,rnd210048,2025-10-11T00:00:00+00:00,2026-02-05T00:00:00+00:00,2.9458246,1.78981307143,20.0,-7.8485,,stop,117
ATOMUSDT,rnd210048,2026-02-06T00:00:00+00:00,2026-02-25T00:00:00+00:00,1.8213647,1.94033142857,20.0,1.3063,,stop,19
ATOMUSDT,rnd210048,2026-02-26T00:00:00+00:00,2026-06-05T00:00:00+00:00,1.9435233,1.70863302857,20.0,-2.4172,,stop,99
ATOMUSDT,rnd210048,2026-06-07T00:00:00+00:00,2026-06-30T00:00:00+00:00,1.6311177,1.50960638571,20.0,-1.4899,,stop,23
ATOMUSDT,rnd210048,2026-07-02T00:00:00+00:00,2026-07-27T00:00:00+00:00,1.542002,1.34097075454,20.0,-2.6074,,stop,25
ATOMUSDT,rnd210048,2026-07-28T00:00:00+00:00,2026-08-18T00:00:00+00:00,1.30169,1.37863401429,20.0,1.1822,,stop,21
ATOMUSDT,rnd210048,2026-08-19T00:00:00+00:00,2026-08-28T00:00:00+00:00,1.4158382,1.47051441429,20.0,0.7724,,stop,9
ATOMUSDT,rnd210048,2026-08-29T00:00:00+00:00,2026-08-30T00:00:00+00:00,1.4849279,1.4561046,20.0,-0.3882,,stop,1
BTCUSDT,rnd210048,2024-02-19T00:00:00+00:00,2024-03-05T00:00:00+00:00,52205.458984,61800.2322626,20.0,3.6758,,stop,15
BTCUSDT,rnd210048,2024-04-07T00:00:00+00:00,2024-04-13T00:00:00+00:00,68985.5648,61493.6725375,20.0,-2.172,,stop,6
BTCUSDT,rnd210048,2024-04-17T00:00:00+00:00,2024-07-04T00:00:00+00:00,63876.33142,57529.3002729,20.0,-1.9873,,stop,78
BTCUSDT,rnd210048,2024-07-11T00:00:00+00:00,2024-08-03T00:00:00+00:00,57800.893605,60250.302651,20.0,0.8475,,stop,23
BTCUSDT,rnd210048,2024-08-05T00:00:00+00:00,2024-08-05T00:00:00+00:00,58236.6093,51535.7827165,20.0,-2.3012,,stop,0
BTCUSDT,rnd210048,2024-08-06T00:00:00+00:00,2024-12-20T00:00:00+00:00,54089.044466,95502.9788031,20.0,15.3132,,stop,136
BTCUSDT,rnd210048,2024-12-28T00:00:00+00:00,2025-02-03T00:00:00+00:00,94421.618739,92269.413624,20.0,-0.4559,,stop,37
BTCUSDT,rnd210048,2025-02-07T00:00:00+00:00,2025-02-26T00:00:00+00:00,96679.870655,85902.946103,20.0,-2.2294,,stop,19
BTCUSDT,rnd210048,2025-03-01T00:00:00+00:00,2025-03-09T00:00:00+00:00,84459.604935,80884.0567114,20.0,-0.8467,,stop,8
BTCUSDT,rnd210048,2025-03-12T00:00:00+00:00,2025-11-04T00:00:00+00:00,83040.802887,101512.945676,20.0,4.4489,,stop,237
BTCUSDT,rnd210048,2025-11-10T00:00:00+00:00,2025-11-14T00:00:00+00:00,104859.089835,94702.2702,20.0,-1.9372,,stop,4
BTCUSDT,rnd210048,2025-11-17T00:00:00+00:00,2025-11-21T00:00:00+00:00,94383.989885,82855.9440917,20.0,-2.4428,,stop,4
BTCUSDT,rnd210048,2025-12-07T00:00:00+00:00,2026-01-29T00:00:00+00:00,89352.80784,84471.474141,20.0,-1.0926,,stop,53
BTCUSDT,rnd210048,2026-02-01T00:00:00+00:00,2026-02-05T00:00:00+00:00,78843.46343,70722.438512,20.0,-2.06,,stop,4
BTCUSDT,rnd210048,2026-02-08T00:00:00+00:00,2026-06-04T00:00:00+00:00,69379.446181,61440.0496809,20.0,-2.2887,,stop,116
BTCUSDT,rnd210048,2026-06-05T00:00:00+00:00,2026-07-01T00:00:00+00:00,63969.041787,57884.322787,20.0,-1.9024,,stop,26
BTCUSDT,rnd210048,2026-07-24T00:00:00+00:00,2026-08-30T00:00:00+00:00,65183.608674,77581.0134,20.0,3.8038,,stop,37
DOGEUSDT,rnd210048,2024-01-16T00:00:00+00:00,2024-03-03T00:00:00+00:00,0.081185404,0.126492488571,20.0,11.1614,,stop,47
DOGEUSDT,rnd210048,2024-03-04T00:00:00+00:00,2024-03-05T00:00:00+00:00,0.153659498,0.134778845143,20.0,-2.4575,,stop,1
DOGEUSDT,rnd210048,2024-03-06T00:00:00+00:00,2024-04-13T00:00:00+00:00,0.153238952,0.148021607143,20.0,-0.6809,,stop,38
DOGEUSDT,rnd210048,2024-04-15T00:00:00+00:00,2024-07-04T00:00:00+00:00,0.16231073,0.107889933372,20.0,-6.7058,,stop,80
DOGEUSDT,rnd210048,2024-07-12T00:00:00+00:00,2024-08-01T00:00:00+00:00,0.106778632,0.112771777286,20.0,1.1225,,stop,20
DOGEUSDT,rnd210048,2024-08-03T00:00:00+00:00,2024-08-05T00:00:00+00:00,0.111685002,0.0886660147117,20.0,-4.1221,,stop,2
DOGEUSDT,rnd210048,2024-08-06T00:00:00+00:00,2024-11-13T00:00:00+00:00,0.094492681,0.379456065,20.0,60.3144,,stop,99
DOGEUSDT,rnd210048,2024-11-14T00:00:00+00:00,2024-12-19T00:00:00+00:00,0.399508687,0.325336512,20.0,-3.7132,,stop,35
DOGEUSDT,rnd210048,2024-12-20T00:00:00+00:00,2025-02-02T00:00:00+00:00,0.314718603,0.284595258857,20.0,-1.9143,,stop,44
