symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ATOMUSDT,zero,2021-09-03T16:00:00+00:00,2021-09-07T12:00:00+00:00,24.2,23.5242857143,20.0,-0.5584,,stop,23,عرضي
ATOMUSDT,zero,2021-09-07T20:00:00+00:00,2021-09-16T00:00:00+00:00,21.09,31.6128571429,20.0,9.979,,stop,49,عرضي
ATOMUSDT,zero,2021-09-16T12:00:00+00:00,2021-09-20T12:00:00+00:00,34.69,36.9257142857,20.0,1.289,,stop,24,صاعد
ATOMUSDT,zero,2021-09-20T16:00:00+00:00,2021-09-21T20:00:00+00:00,37.66,29.6171428571,20.0,-4.2713,,stop,7,صاعد
ATOMUSDT,zero,2021-09-22T00:00:00+00:00,2021-10-12T08:00:00+00:00,30.42,30.0114285714,20.0,-0.2686,,stop,122,صاعد
ATOMUSDT,zero,2021-10-12T16:00:00+00:00,2021-10-27T08:00:00+00:00,33.52,37.3085714286,20.0,2.2605,,stop,88,صاعد
ATOMUSDT,zero,2021-10-27T12:00:00+00:00,2021-11-10T20:00:00+00:00,37.12,33.4614285714,20.0,-1.9712,,stop,86,صاعد
ATOMUSDT,zero,2021-11-11T04:00:00+00:00,2021-11-16T08:00:00+00:00,32.71,28.9778571429,20.0,-2.282,,stop,31,صاعد
ATOMUSDT,zero,2021-11-16T12:00:00+00:00,2021-11-18T12:00:00+00:00,29.51,26.7278571429,20.0,-1.8856,,stop,12,عرضي
ATOMUSDT,zero,2021-11-18T20:00:00+00:00,2021-11-26T04:00:00+00:00,26.85,28.6657142857,20.0,1.3525,,stop,44,عرضي
ATOMUSDT,zero,2021-11-26T16:00:00+00:00,2021-12-04T04:00:00+00:00,27.16,28.68,20.0,1.1193,,stop,45,عرضي
ATOMUSDT,zero,2021-12-06T12:00:00+00:00,2022-01-08T16:00:00+00:00,23.44,35.2485714286,20.0,10.0756,,stop,199,عرضي
ATOMUSDT,zero,2022-01-08T20:00:00+00:00,2022-01-21T20:00:00+00:00,35.08,33.9742857143,20.0,-0.6304,,stop,78,صاعد
ATOMUSDT,zero,2022-01-22T00:00:00+00:00,2022-01-22T04:00:00+00:00,34.6,29.1767857143,20.0,-3.1348,,stop,1,صاعد
ATOMUSDT,zero,2022-01-22T08:00:00+00:00,2022-01-30T16:00:00+00:00,29.33,27.1814285714,20.0,-1.4651,,stop,50,صاعد
ATOMUSDT,zero,2022-01-31T00:00:00+00:00,2022-02-10T12:00:00+00:00,27.18,28.8928571429,20.0,1.2604,,stop,63,عرضي
ATOMUSDT,zero,2022-02-11T08:00:00+00:00,2022-02-11T20:00:00+00:00,29.13,26.7639285714,20.0,-1.6245,,stop,3,عرضي
ATOMUSDT,zero,2022-02-12T04:00:00+00:00,2022-02-18T16:00:00+00:00,26.47,26.8657142857,20.0,0.299,,stop,39,عرضي
ATOMUSDT,zero,2022-02-18T20:00:00+00:00,2022-02-21T20:00:00+00:00,27.43,24.5907142857,20.0,-2.0702,,stop,18,عرضي
ATOMUSDT,zero,2022-02-22T00:00:00+00:00,2022-02-24T04:00:00+00:00,23.82,22.5828571429,20.0,-1.0387,,stop,13,هابط
