symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,bars_held,exit_side,regime
ATOMUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,22.92977,10.7520042,20.0,-10.6218,5106,eod,
BTCUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,47162.121157,42121.1712,20.0,-2.1377,5106,eod,
DOGEUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,0.27856166,0.089573403,20.0,-13.5689,5106,eod,
ETHUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,3433.647947,2281.050774,20.0,-6.7135,5106,eod,
FILUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,76.058748,6.0291519,20.0,-18.4146,5106,eod,
IMXUSDT,buyhold,2022-01-10T08:00:00+00:00,2023-12-31T00:00:00+00:00,3.7558763,2.19474312,20.0,-8.313,4318,eod,
LINKUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,26.73471,15.0114597,20.0,-8.7701,5106,eod,
PEPEUSDT,buyhold,2023-05-05T16:00:00+00:00,2023-12-31T00:00:00+00:00,1.972561e-06,1.308297e-06,20.0,-6.735,1436,eod,
SHIBUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,6.868918e-06,1.0406454e-05,20.0,10.3001,5106,eod,
SOLUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,108.410751,100.519155,20.0,-1.4559,5106,eod,
VETUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,0.122949627,0.034904565,20.0,-14.3221,5106,eod,
XLMUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,0.33974109,0.1308297,20.0,-12.2983,5106,eod,
