symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ATOMUSDT,rnd210051,2024-01-03T08:00:00+00:00,2024-01-03T12:00:00+00:00,11.1554833,10.590626136,20.0,-1.0127,,stop,1,صاعد
ATOMUSDT,rnd210051,2024-01-03T20:00:00+00:00,2024-01-08T00:00:00+00:00,9.9749506,9.26337051429,20.0,-1.4267,,stop,25,صاعد
ATOMUSDT,rnd210051,2024-01-08T04:00:00+00:00,2024-01-12T20:00:00+00:00,9.1298534,9.72776601429,20.0,1.3098,,stop,28,صاعد
ATOMUSDT,rnd210051,2024-01-13T08:00:00+00:00,2024-01-22T16:00:00+00:00,10.033026,9.08905199477,20.0,-1.8817,,stop,56,عرضي
ATOMUSDT,rnd210051,2024-01-23T16:00:00+00:00,2024-02-21T08:00:00+00:00,9.1058222,9.80894605714,20.0,1.5443,,stop,172,عرضي
ATOMUSDT,rnd210051,2024-02-22T00:00:00+00:00,2024-02-28T16:00:00+00:00,9.9969792,10.6479967286,20.0,1.3024,,stop,40,صاعد
ATOMUSDT,rnd210051,2024-03-01T04:00:00+00:00,2024-03-05T16:00:00+00:00,11.2956653,11.2526382429,20.0,-0.0762,,stop,27,صاعد
ATOMUSDT,rnd210051,2024-03-06T00:00:00+00:00,2024-03-15T08:00:00+00:00,12.0156,12.3112602429,20.0,0.4921,,stop,56,صاعد
ATOMUSDT,rnd210051,2024-03-15T12:00:00+00:00,2024-03-19T04:00:00+00:00,12.4141174,10.9150878867,20.0,-2.415,,stop,22,صاعد
ATOMUSDT,rnd210051,2024-03-19T08:00:00+00:00,2024-04-02T00:00:00+00:00,11.1695015,11.2818858857,20.0,0.2012,,stop,82,صاعد
ATOMUSDT,rnd210051,2024-04-02T08:00:00+00:00,2024-04-10T12:00:00+00:00,11.1855223,10.5202210674,20.0,-1.1896,,stop,49,صاعد
ATOMUSDT,rnd210051,2024-04-10T16:00:00+00:00,2024-04-12T16:00:00+00:00,10.7018944,10.1536774373,20.0,-1.0245,,stop,12,عرضي
ATOMUSDT,rnd210051,2024-04-13T00:00:00+00:00,2024-04-13T16:00:00+00:00,9.3831823,8.58896639515,20.0,-1.6928,,stop,4,عرضي
ATOMUSDT,rnd210051,2024-04-13T20:00:00+00:00,2024-04-30T12:00:00+00:00,8.0694767,7.64019767143,20.0,-1.064,,stop,100,عرضي
ATOMUSDT,rnd210051,2024-04-30T16:00:00+00:00,2024-05-10T12:00:00+00:00,7.7730919,8.78813198571,20.0,2.6117,,stop,59,هابط
ATOMUSDT,rnd210051,2024-05-11T08:00:00+00:00,2024-05-14T04:00:00+00:00,8.6652502,8.22186928545,20.0,-1.0234,,stop,17,هابط
ATOMUSDT,rnd210051,2024-05-14T12:00:00+00:00,2024-05-15T08:00:00+00:00,8.3818823,7.99611667444,20.0,-0.9205,,stop,5,هابط
ATOMUSDT,rnd210051,2024-05-15T12:00:00+00:00,2024-05-19T20:00:00+00:00,8.0484494,8.20417782857,20.0,0.387,,stop,26,هابط
ATOMUSDT,rnd210051,2024-05-20T00:00:00+00:00,2024-05-22T04:00:00+00:00,8.2156665,8.60522721429,20.0,0.9483,,stop,13,هابط
ATOMUSDT,rnd210051,2024-05-23T04:00:00+00:00,2024-05-23T16:00:00+00:00,8.6161865,8.15771052898,20.0,-1.0642,,stop,3,هابط
ATOMUSDT,rnd210051,2024-05-24T08:00:00+00:00,2024-06-07T16:00:00+00:00,8.3278121,8.10701858571,20.0,-0.5303,,stop,86,هابط
ATOMUSDT,rnd210051,2024-06-08T12:00:00+00:00,2024-06-11T12:00:00+00:00,7.9162778,7.49281808571,20.0,-1.0698,,stop,18,هابط
ATOMUSDT,rnd210051,2024-06-11T20:00:00+00:00,2024-06-14T12:00:00+00:00,7.549802,7.31419345714,20.0,-0.6241,,stop,16,هابط
ATOMUSDT,rnd210051,2024-06-15T00:00:00+00:00,2024-06-18T00:00:00+00:00,7.1222469,6.70994119332,20.0,-1.1578,,stop,18,هابط
ATOMUSDT,rnd210051,2024-06-18T08:00:00+00:00,2024-07-03T16:00:00+00:00,6.5995683,6.35301604286,20.0,-0.7472,,stop,92,هابط
ATOMUSDT,rnd210051,2024-07-03T20:00:00+00:00,2024-07-04T12:00:00+00:00,6.3362264,6.06172875211,20.0,-0.8664,,stop,4,هابط
ATOMUSDT,rnd210051,2024-07-04T16:00:00+00:00,2024-07-05T00:00:00+00:00,6.2020522,5.83802431785,20.0,-1.1739,,stop,2,هابط
ATOMUSDT,rnd210051,2024-07-05T12:00:00+00:00,2024-07-25T00:00:00+00:00,5.547202,5.8274145,20.0,1.0103,,stop,117,هابط
ATOMUSDT,rnd210051,2024-07-25T04:00:00+00:00,2024-07-31T16:00:00+00:00,5.8295686,5.8533807,20.0,0.0817,,stop,39,هابط
