symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ATOMUSDT,rnd510051,2021-09-08T20:00:00+00:00,2021-09-20T12:00:00+00:00,20.987248,36.891978,20.0,15.1566,,stop,70,عرضي
ATOMUSDT,rnd510051,2021-09-24T12:00:00+00:00,2021-09-29T20:00:00+00:00,38.099465,33.0084617143,20.0,-2.6725,,stop,32,صاعد
ATOMUSDT,rnd510051,2021-10-01T04:00:00+00:00,2021-10-05T16:00:00+00:00,35.235747,35.373954,20.0,0.0784,,stop,27,صاعد
ATOMUSDT,rnd510051,2021-10-06T08:00:00+00:00,2021-10-11T16:00:00+00:00,34.474759,31.6331091429,20.0,-1.6485,,stop,32,صاعد
ATOMUSDT,rnd510051,2021-10-15T12:00:00+00:00,2021-10-27T08:00:00+00:00,33.153043,38.3672005714,20.0,3.1455,,stop,71,صاعد
ATOMUSDT,rnd510051,2021-10-27T16:00:00+00:00,2021-11-10T20:00:00+00:00,37.458633,32.9813541429,20.0,-2.3905,,stop,85,صاعد
ATOMUSDT,rnd510051,2021-11-11T20:00:00+00:00,2021-11-16T00:00:00+00:00,33.423394,29.7132878735,20.0,-2.2201,,stop,25,صاعد
ATOMUSDT,rnd510051,2021-11-17T20:00:00+00:00,2021-11-18T16:00:00+00:00,29.278012,25.8693380844,20.0,-2.3285,,stop,5,عرضي
ATOMUSDT,rnd510051,2021-11-20T08:00:00+00:00,2021-11-24T12:00:00+00:00,28.847453,29.6128817143,20.0,0.5307,,stop,25,عرضي
ATOMUSDT,rnd510051,2021-11-25T04:00:00+00:00,2021-11-26T08:00:00+00:00,30.219234,26.9591414958,20.0,-2.1576,,stop,7,عرضي
ATOMUSDT,rnd510051,2021-11-27T16:00:00+00:00,2021-11-28T16:00:00+00:00,27.786075,24.7699036382,20.0,-2.171,,stop,6,عرضي
ATOMUSDT,rnd510051,2021-12-01T08:00:00+00:00,2021-12-03T20:00:00+00:00,27.846153,29.8383025714,20.0,1.4308,,stop,15,عرضي
ATOMUSDT,rnd510051,2021-12-04T00:00:00+00:00,2021-12-04T04:00:00+00:00,32.832627,28.6096717278,20.0,-2.5724,,stop,1,عرضي
ATOMUSDT,rnd510051,2021-12-05T04:00:00+00:00,2021-12-15T16:00:00+00:00,27.475672,20.1761945193,20.0,-5.3134,,stop,63,عرضي
ATOMUSDT,rnd510051,2021-12-16T08:00:00+00:00,2021-12-28T00:00:00+00:00,22.569302,29.1506262857,20.0,5.8321,,stop,70,هابط
ATOMUSDT,rnd510051,2021-12-28T16:00:00+00:00,2022-01-05T16:00:00+00:00,28.026387,38.9878212857,20.0,7.8222,,stop,48,هابط
ATOMUSDT,rnd510051,2022-01-06T04:00:00+00:00,2022-01-08T16:00:00+00:00,36.217021,34.3781074286,20.0,-1.0155,,stop,15,صاعد
ATOMUSDT,rnd510051,2022-01-09T00:00:00+00:00,2022-01-21T20:00:00+00:00,35.896605,33.9643602857,20.0,-1.0766,,stop,77,صاعد
ATOMUSDT,rnd510051,2022-01-22T04:00:00+00:00,2022-01-22T08:00:00+00:00,34.424694,28.8888752907,20.0,-3.2162,,stop,1,صاعد
ATOMUSDT,rnd510051,2022-01-24T20:00:00+00:00,2022-01-28T08:00:00+00:00,35.255773,28.0942029951,20.0,-4.0626,,stop,21,صاعد
ATOMUSDT,rnd510051,2022-02-01T00:00:00+00:00,2022-02-03T00:00:00+00:00,28.096478,25.6837105714,20.0,-1.7175,,stop,12,عرضي
ATOMUSDT,rnd510051,2022-02-03T08:00:00+00:00,2022-02-10T12:00:00+00:00,26.704671,29.1349324286,20.0,1.8201,,stop,43,عرضي
ATOMUSDT,rnd510051,2022-02-12T20:00:00+00:00,2022-02-19T12:00:00+00:00,27.475672,26.1174317143,20.0,-0.9887,,stop,40,عرضي
ATOMUSDT,rnd510051,2022-02-20T16:00:00+00:00,2022-02-21T20:00:00+00:00,26.214034,24.1379709344,20.0,-1.5839,,stop,7,عرضي
ATOMUSDT,rnd510051,2022-02-22T04:00:00+00:00,2022-02-24T04:00:00+00:00,23.480485,22.3651731429,20.0,-0.95,,stop,12,هابط
ATOMUSDT,rnd510051,2022-02-26T12:00:00+00:00,2022-03-05T00:00:00+00:00,28.066439,29.9139184286,20.0,1.3165,,stop,39,هابط
ATOMUSDT,rnd510051,2022-03-07T00:00:00+00:00,2022-03-11T04:00:00+00:00,28.176582,27.0362357143,20.0,-0.8094,,stop,25,عرضي
ATOMUSDT,rnd510051,2022-03-12T04:00:00+00:00,2022-04-01T00:00:00+00:00,27.816114,27.823782,20.0,0.0055,,stop,119,عرضي
ATOMUSDT,rnd510051,2022-04-01T04:00:00+00:00,2022-04-05T20:00:00+00:00,28.096478,29.1577598571,20.0,0.7555,,stop,28,عرضي
ATOMUSDT,rnd510051,2022-04-06T12:00:00+00:00,2022-04-11T00:00:00+00:00,28.476972,26.0466387221,20.0,-1.7069,,stop,27,عرضي
ATOMUSDT,rnd510051,2022-04-15T00:00:00+00:00,2022-04-18T04:00:00+00:00,23.991148,22.4387254005,20.0,-1.2942,,stop,19,هابط
ATOMUSDT,rnd510051,2022-04-18T20:00:00+00:00,2022-04-21T20:00:00+00:00,23.740823,22.9915007143,20.0,-0.6313,,stop,18,هابط
ATOMUSDT,rnd510051,2022-04-23T20:00:00+00:00,2022-04-25T00:00:00+00:00,23.280225,22.0426037432,20.0,-1.0632,,stop,7,هابط
ATOMUSDT,rnd510051,2022-04-26T00:00:00+00:00,2022-04-26T12:00:00+00:00,22.148756,20.8769377958,20.0,-1.1484,,stop,3,هابط
ATOMUSDT,rnd510051,2022-04-29T20:00:00+00:00,2022-04-30T20:00:00+00:00,19.455259,17.8070796633,20.0,-1.6943,,stop,6,هابط
ATOMUSDT,rnd510051,2022-05-02T04:00:00+00:00,2022-05-05T12:00:00+00:00,18.033413,17.7854202857,20.0,-0.275,,stop,20,هابط
ATOMUSDT,rnd510051,2022-05-05T20:00:00+00:00,2022-05-08T00:00:00+00:00,17.763062,15.7996385908,20.0,-2.2107,,stop,13,هابط
