cost,الفترة,المناخ,net,trades,per,gross,costs,median_hold,overlap_ratio,max_concurrent,overlapping_trades
0.00075,SEL,صاعد,67.34,160,0.42087,72.2,4.85,30.0,0.0,1,0
0.00075,SEL,عرضي,-19.84,164,-0.12098,-14.94,4.91,29.0,0.0,1,0
0.00075,SEL,هابط,-5.54,717,-0.00773,15.97,21.51,28.0,0.0,1,0
0.00075,SEL,غير مصنّف,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
0.00075,JUD,صاعد,-22.58,409,-0.05521,-10.33,12.25,28.0,0.0,1,0
0.00075,JUD,عرضي,-31.22,233,-0.13399,-24.25,6.97,25.0,0.0,1,0
0.00075,JUD,هابط,53.17,962,0.05527,82.06,28.9,25.0,0.0,1,0
0.00075,JUD,غير مصنّف,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,SEL,صاعد,71.5,160,0.44688,71.5,0.0,30.5,0.0,1,0
0.0,SEL,عرضي,-15.03,162,-0.09278,-15.03,0.0,29.0,0.0,1,0
0.0,SEL,هابط,19.36,711,0.02723,19.36,0.0,28.0,0.0,1,0
0.0,SEL,غير مصنّف,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,JUD,صاعد,-11.74,408,-0.02877,-11.74,0.0,28.0,0.0,1,0
0.0,JUD,عرضي,-23.17,231,-0.1003,-23.17,0.0,25.0,0.0,1,0
0.0,JUD,هابط,77.15,961,0.08028,77.15,0.0,25.0,0.0,1,0
0.0,JUD,غير مصنّف,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
0.0013,SEL,صاعد,64.19,160,0.40119,72.59,8.4,29.5,0.0,1,0
0.0013,SEL,عرضي,-21.97,166,-0.13235,-13.36,8.6,29.0,0.0,1,0
0.0013,SEL,هابط,-19.41,719,-0.027,17.95,37.36,28.0,0.0,1,0
0.0013,SEL,غير مصنّف,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
0.0013,JUD,صاعد,-33.97,412,-0.08245,-12.59,21.38,27.5,0.0,1,0
0.0013,JUD,عرضي,-35.3,233,-0.1515,-23.23,12.07,25.0,0.0,1,0
0.0013,JUD,هابط,32.81,965,0.034,83.04,50.22,24.0,0.0,1,0
0.0013,JUD,غير مصنّف,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
