symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,bars_held,exit_side,regime
ATOMUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,22.9,10.766,20.0,-10.5974,5106,eod,
BTCUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,47100.89,42176.0,20.0,-2.0912,5106,eod,
DOGEUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,0.2782,0.08969,20.0,-13.5521,5106,eod,
ETHUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,3429.19,2284.02,20.0,-6.679,5106,eod,
FILUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,75.96,6.037,20.0,-18.4105,5106,eod,
IMXUSDT,buyhold,2022-01-10T08:00:00+00:00,2023-12-31T00:00:00+00:00,3.751,2.1976,20.0,-8.2826,4318,eod,
LINKUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,26.7,15.031,20.0,-8.7408,5106,eod,
PEPEUSDT,buyhold,2023-05-05T16:00:00+00:00,2023-12-31T00:00:00+00:00,1.97e-06,1.31e-06,20.0,-6.7005,1436,eod,
SHIBUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,6.86e-06,1.042e-05,20.0,10.379,5106,eod,
SOLUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,108.27,100.65,20.0,-1.4076,5106,eod,
VETUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,0.12279,0.03495,20.0,-14.3074,5106,eod,
XLMUSDT,buyhold,2021-09-01T00:00:00+00:00,2023-12-31T00:00:00+00:00,0.3393,0.131,20.0,-12.2782,5106,eod,
