symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,rnd110052,2021-09-03T12:00:00+00:00,2021-09-07T12:00:00+00:00,24.038015,23.2753875,20.0,-0.6345,,stop,24
ATOMUSDT,rnd110052,2021-09-08T12:00:00+00:00,2021-09-20T12:00:00+00:00,20.275195,36.695315,20.0,16.1972,,stop,72
ATOMUSDT,rnd110052,2021-09-20T16:00:00+00:00,2021-09-21T20:00:00+00:00,37.688245,29.6231538162,20.0,-4.2799,,stop,7
ATOMUSDT,rnd110052,2021-09-22T00:00:00+00:00,2021-10-12T08:00:00+00:00,30.442815,29.98892,20.0,-0.2982,,stop,122
ATOMUSDT,rnd110052,2021-10-12T20:00:00+00:00,2021-10-27T08:00:00+00:00,32.8746375,37.16639,20.0,2.611,,stop,87
ATOMUSDT,rnd110052,2021-10-27T12:00:00+00:00,2021-11-10T20:00:00+00:00,37.14784,33.4363325,20.0,-1.9982,,stop,86
ATOMUSDT,rnd110052,2021-11-12T04:00:00+00:00,2021-11-16T00:00:00+00:00,32.8346075,29.2287409194,20.0,-2.1964,,stop,23
ATOMUSDT,rnd110052,2021-11-16T04:00:00+00:00,2021-11-17T00:00:00+00:00,29.402035,26.9318209737,20.0,-1.6803,,stop,5
ATOMUSDT,rnd110052,2021-11-17T16:00:00+00:00,2021-11-26T04:00:00+00:00,28.2711875,28.52716,20.0,0.1811,,stop,51
ATOMUSDT,rnd110052,2021-11-26T08:00:00+00:00,2021-11-26T08:00:00+00:00,28.3712625,25.7947590531,20.0,-1.8163,,stop,0
ATOMUSDT,rnd110052,2021-11-27T00:00:00+00:00,2021-12-04T04:00:00+00:00,27.080295,28.781255,20.0,1.2562,,stop,43
ATOMUSDT,rnd110052,2021-12-04T12:00:00+00:00,2022-01-08T16:00:00+00:00,25.3089675,34.645425,20.0,7.378,,stop,211
ATOMUSDT,rnd110052,2022-01-08T20:00:00+00:00,2022-01-21T20:00:00+00:00,35.10631,33.948805,20.0,-0.6594,,stop,78
ATOMUSDT,rnd110052,2022-01-22T08:00:00+00:00,2022-01-30T16:00:00+00:00,29.3519975,27.1610425,20.0,-1.4929,,stop,50
ATOMUSDT,rnd110052,2022-01-31T16:00:00+00:00,2022-02-03T00:00:00+00:00,27.9709625,25.583655,20.0,-1.707,,stop,14
ATOMUSDT,rnd110052,2022-02-03T16:00:00+00:00,2022-02-10T12:00:00+00:00,28.7715625,28.7141625,20.0,-0.0399,,stop,41
ATOMUSDT,rnd110052,2022-02-11T00:00:00+00:00,2022-02-11T20:00:00+00:00,29.121825,26.7160586313,20.0,-1.6522,,stop,5
ATOMUSDT,rnd110052,2022-02-12T04:00:00+00:00,2022-02-18T16:00:00+00:00,26.4898525,26.845565,20.0,0.2686,,stop,39
ATOMUSDT,rnd110052,2022-02-19T12:00:00+00:00,2022-02-21T20:00:00+00:00,26.5498975,23.8766194519,20.0,-2.0138,,stop,14
ATOMUSDT,rnd110052,2022-02-22T08:00:00+00:00,2022-02-24T04:00:00+00:00,23.477595,22.34323,20.0,-0.9663,,stop,11
ATOMUSDT,rnd110052,2022-02-24T08:00:00+00:00,2022-03-05T00:00:00+00:00,22.3867775,30.1901975,20.0,6.9715,,stop,52
ATOMUSDT,rnd110052,2022-03-05T08:00:00+00:00,2022-03-13T12:00:00+00:00,30.38277,26.7948016725,20.0,-2.3618,,stop,49
ATOMUSDT,rnd110052,2022-03-13T16:00:00+00:00,2022-03-31T12:00:00+00:00,27.30046,29.13813,20.0,1.3463,,stop,107
ATOMUSDT,rnd110052,2022-03-31T20:00:00+00:00,2022-04-06T00:00:00+00:00,28.7715625,29.0967325,20.0,0.226,,stop,31
ATOMUSDT,rnd110052,2022-04-06T12:00:00+00:00,2022-04-11T00:00:00+00:00,28.46133,26.0453527525,20.0,-1.6977,,stop,27
ATOMUSDT,rnd110052,2022-04-11T08:00:00+00:00,2022-04-11T08:00:00+00:00,26.3897775,25.0549007919,20.0,-1.0117,,stop,0
ATOMUSDT,rnd110052,2022-04-11T12:00:00+00:00,2022-04-11T20:00:00+00:00,25.13884,23.64609212,20.0,-1.1876,,stop,2
ATOMUSDT,rnd110052,2022-04-14T16:00:00+00:00,2022-04-24T16:00:00+00:00,23.917925,22.3817725,20.0,-1.2845,,stop,60
ATOMUSDT,rnd110052,2022-04-25T04:00:00+00:00,2022-04-25T04:00:00+00:00,21.8463725,20.8450127206,20.0,-0.9167,,stop,0
ATOMUSDT,rnd110052,2022-04-26T12:00:00+00:00,2022-04-26T16:00:00+00:00,21.89641,20.5898845675,20.0,-1.1934,,stop,1
ATOMUSDT,rnd110052,2022-04-27T08:00:00+00:00,2022-04-29T16:00:00+00:00,21.1658625,19.5208537281,20.0,-1.5544,,stop,14
ATOMUSDT,rnd110052,2022-04-29T20:00:00+00:00,2022-04-30T20:00:00+00:00,19.4445725,17.8062078206,20.0,-1.6852,,stop,6
ATOMUSDT,rnd110052,2022-05-01T00:00:00+00:00,2022-05-05T12:00:00+00:00,17.8633875,17.692435,20.0,-0.1914,,stop,27
ATOMUSDT,rnd110052,2022-05-07T20:00:00+00:00,2022-05-09T00:00:00+00:00,16.992735,15.3240904488,20.0,-1.964,,stop,7
ATOMUSDT,rnd110052,2022-05-10T08:00:00+00:00,2022-05-11T04:00:00+00:00,14.2406725,11.8121638706,20.0,-3.4107,,stop,5
ATOMUSDT,rnd110052,2022-05-11T08:00:00+00:00,2022-05-12T04:00:00+00:00,11.988985,8.86269013625,20.0,-5.2153,,stop,5
ATOMUSDT,rnd110052,2022-05-12T16:00:00+00:00,2022-06-13T00:00:00+00:00,9.547155,6.6564325,20.0,-6.0557,,stop,188
ATOMUSDT,rnd110052,2022-06-14T08:00:00+00:00,2022-07-12T20:00:00+00:00,6.72504,7.73705,20.0,3.0097,,stop,171
ATOMUSDT,rnd110052,2022-07-13T00:00:00+00:00,2022-07-23T08:00:00+00:00,7.825865,10.0881425,20.0,5.7815,,stop,62
ATOMUSDT,rnd110052,2022-07-24T04:00:00+00:00,2022-07-26T00:00:00+00:00,9.92844075,8.84733598194,20.0,-2.1778,,stop,11
ATOMUSDT,rnd110052,2022-07-26T04:00:00+00:00,2022-08-01T08:00:00+00:00,9.13784825,10.22132825,20.0,2.3714,,stop,37
ATOMUSDT,rnd110052,2022-08-02T20:00:00+00:00,2022-08-10T00:00:00+00:00,10.02251125,10.681697,20.0,1.3154,,stop,43
ATOMUSDT,rnd110052,2022-08-10T08:00:00+00:00,2022-08-19T00:00:00+00:00,10.852133,10.851855,20.0,-0.0005,,stop,52
