symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ATOMUSDT,routed,2021-09-12T08:00:00+00:00,2021-09-20T16:00:00+00:00,29.391752,34.451928,20.0,3.4433,,stop,50,هابط
ATOMUSDT,routed,2021-09-20T20:00:00+00:00,2021-10-12T00:00:00+00:00,35.424164,30.853368,20.0,-2.5806,,stop,127,صاعد
ATOMUSDT,routed,2021-10-12T08:00:00+00:00,2021-10-27T08:00:00+00:00,31.092432,38.39892,20.0,4.6998,,stop,90,صاعد
ATOMUSDT,routed,2021-10-27T12:00:00+00:00,2021-11-10T20:00:00+00:00,37.134848,33.448044,20.0,-1.9856,,stop,86,صاعد
ATOMUSDT,routed,2021-11-11T04:00:00+00:00,2021-11-16T08:00:00+00:00,32.723084,28.9793447664,20.0,-2.2881,,stop,31,صاعد
ATOMUSDT,routed,2021-12-14T00:00:00+00:00,2021-12-28T00:00:00+00:00,21.748696,28.719936,20.0,6.4107,,stop,84,هابط
ATOMUSDT,routed,2021-12-28T04:00:00+00:00,2022-01-05T16:00:00+00:00,28.21128,38.845884,20.0,7.5393,,stop,51,هابط
ATOMUSDT,routed,2022-01-05T20:00:00+00:00,2022-01-08T16:00:00+00:00,37.46498,35.925624,20.0,-0.8218,,stop,17,صاعد
ATOMUSDT,routed,2022-01-08T20:00:00+00:00,2022-01-21T20:00:00+00:00,35.094032,33.960696,20.0,-0.6459,,stop,78,صاعد
ATOMUSDT,routed,2022-01-22T00:00:00+00:00,2022-01-22T04:00:00+00:00,34.61384,29.178949464,20.0,-3.1403,,stop,1,صاعد
ATOMUSDT,routed,2022-01-22T08:00:00+00:00,2022-01-30T16:00:00+00:00,29.341732,27.170556,20.0,-1.4799,,stop,50,صاعد
ATOMUSDT,routed,2022-02-22T00:00:00+00:00,2022-02-24T04:00:00+00:00,23.829528,22.573824,20.0,-1.0539,,stop,13,هابط
ATOMUSDT,routed,2022-02-24T16:00:00+00:00,2022-03-05T00:00:00+00:00,23.399356,29.860908,20.0,5.5228,,stop,50,هابط
ATOMUSDT,routed,2022-03-05T04:00:00+00:00,2022-03-13T20:00:00+00:00,30.122044,26.4668101824,20.0,-2.4269,,stop,52,هابط
ATOMUSDT,routed,2022-03-14T04:00:00+00:00,2022-03-30T00:00:00+00:00,26.2605,29.313984,20.0,2.3255,,stop,95,هابط
ATOMUSDT,routed,2022-03-30T04:00:00+00:00,2022-04-06T00:00:00+00:00,30.16206,29.055516,20.0,-0.7337,,stop,41,هابط
ATOMUSDT,routed,2022-04-10T04:00:00+00:00,2022-04-11T08:00:00+00:00,27.2609,25.42751064,20.0,-1.3451,,stop,7,هابط
ATOMUSDT,routed,2022-04-12T04:00:00+00:00,2022-04-18T04:00:00+00:00,23.989592,22.663788,20.0,-1.1053,,stop,36,هابط
ATOMUSDT,routed,2022-04-18T12:00:00+00:00,2022-04-21T20:00:00+00:00,22.879148,23.352084,20.0,0.4134,,stop,20,هابط
ATOMUSDT,routed,2022-04-22T04:00:00+00:00,2022-04-25T00:00:00+00:00,23.619444,22.2498262224,20.0,-1.1597,,stop,17,هابط
ATOMUSDT,routed,2022-04-25T12:00:00+00:00,2022-04-26T16:00:00+00:00,21.418564,20.46324,20.0,-0.8921,,stop,7,هابط
ATOMUSDT,routed,2022-04-27T04:00:00+00:00,2022-04-29T16:00:00+00:00,20.55822,19.337976,20.0,-1.1871,,stop,15,هابط
ATOMUSDT,routed,2022-04-30T00:00:00+00:00,2022-04-30T20:00:00+00:00,19.447776,17.9102518896,20.0,-1.5812,,stop,5,هابط
ATOMUSDT,routed,2022-05-01T04:00:00+00:00,2022-05-05T12:00:00+00:00,18.327328,17.695776,20.0,-0.6892,,stop,26,هابط
ATOMUSDT,routed,2022-05-05T20:00:00+00:00,2022-05-08T00:00:00+00:00,17.747096,15.7979171616,20.0,-2.1966,,stop,13,هابط
