symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ATOMUSDT,body_b0.4,2021-09-12T08:00:00+00:00,2021-09-20T16:00:00+00:00,29.40938,34.4312485714,20.0,3.4151,,stop,50,هابط
ATOMUSDT,body_b0.4,2021-09-20T20:00:00+00:00,2021-10-12T00:00:00+00:00,35.44541,30.8348485714,20.0,-2.6015,,stop,127,صاعد
ATOMUSDT,body_b0.4,2021-10-12T16:00:00+00:00,2021-10-27T08:00:00+00:00,33.55352,37.2712628571,20.0,2.216,,stop,88,صاعد
ATOMUSDT,body_b0.4,2021-10-27T12:00:00+00:00,2021-11-10T20:00:00+00:00,37.15712,33.4279671429,20.0,-2.0072,,stop,86,صاعد
ATOMUSDT,body_b0.4,2021-11-11T04:00:00+00:00,2021-11-16T00:00:00+00:00,32.74271,28.9815565757,20.0,-2.2974,,stop,29,صاعد
ATOMUSDT,body_b0.4,2021-12-15T20:00:00+00:00,2021-12-28T00:00:00+00:00,22.27225,28.4572285714,20.0,5.554,,stop,73,هابط
ATOMUSDT,body_b0.4,2021-12-28T04:00:00+00:00,2022-01-05T16:00:00+00:00,28.2282,38.8225671429,20.0,7.5062,,stop,51,هابط
ATOMUSDT,body_b0.4,2022-01-05T20:00:00+00:00,2022-01-08T16:00:00+00:00,37.48745,35.90406,20.0,-0.8448,,stop,17,صاعد
ATOMUSDT,body_b0.4,2022-01-08T20:00:00+00:00,2022-01-21T20:00:00+00:00,35.11508,33.9403114286,20.0,-0.6691,,stop,78,صاعد
ATOMUSDT,body_b0.4,2022-01-22T08:00:00+00:00,2022-01-30T16:00:00+00:00,29.35933,27.1542471429,20.0,-1.5021,,stop,50,صاعد
ATOMUSDT,body_b0.4,2022-02-22T00:00:00+00:00,2022-02-24T04:00:00+00:00,23.84382,22.5602742857,20.0,-1.0766,,stop,13,هابط
ATOMUSDT,body_b0.4,2022-02-24T16:00:00+00:00,2022-03-05T00:00:00+00:00,23.41339,29.8429842857,20.0,5.4922,,stop,50,هابط
ATOMUSDT,body_b0.4,2022-03-05T20:00:00+00:00,2022-03-06T20:00:00+00:00,31.35132,27.9412079657,20.0,-2.1754,,stop,6,هابط
ATOMUSDT,body_b0.4,2022-03-10T04:00:00+00:00,2022-03-14T16:00:00+00:00,29.10908,25.8064619914,20.0,-2.2691,,stop,27,عرضي
ATOMUSDT,body_b0.4,2022-03-15T00:00:00+00:00,2022-03-31T12:00:00+00:00,26.84682,29.1565285714,20.0,1.7207,,stop,99,هابط
ATOMUSDT,body_b0.4,2022-03-31T16:00:00+00:00,2022-04-05T20:00:00+00:00,29.71969,29.2978157143,20.0,-0.2839,,stop,31,عرضي
ATOMUSDT,body_b0.4,2022-04-06T00:00:00+00:00,2022-04-06T16:00:00+00:00,29.3293,26.9648082,20.0,-1.6124,,stop,4,عرضي
ATOMUSDT,body_b0.4,2022-04-10T20:00:00+00:00,2022-04-11T08:00:00+00:00,27.23721,25.46172279,20.0,-1.3037,,stop,3,هابط
ATOMUSDT,body_b0.4,2022-04-12T12:00:00+00:00,2022-04-17T20:00:00+00:00,24.98496,23.1064732543,20.0,-1.5037,,stop,32,هابط
ATOMUSDT,body_b0.4,2022-04-18T04:00:00+00:00,2022-04-18T04:00:00+00:00,23.51349,22.5873086529,20.0,-0.7878,,stop,0,هابط
ATOMUSDT,body_b0.4,2022-04-18T12:00:00+00:00,2022-04-21T20:00:00+00:00,22.89287,23.3380671429,20.0,0.3889,,stop,20,هابط
ATOMUSDT,body_b0.4,2022-04-22T04:00:00+00:00,2022-04-25T00:00:00+00:00,23.63361,22.2506228186,20.0,-1.1704,,stop,17,هابط
ATOMUSDT,body_b0.4,2022-04-25T12:00:00+00:00,2022-04-26T16:00:00+00:00,21.43141,20.4509571429,20.0,-0.915,,stop,7,هابط
ATOMUSDT,body_b0.4,2022-04-27T04:00:00+00:00,2022-04-29T16:00:00+00:00,20.57055,19.3263685714,20.0,-1.2097,,stop,15,هابط
ATOMUSDT,body_b0.4,2022-04-30T16:00:00+00:00,2022-05-05T12:00:00+00:00,18.66865,17.8906628571,20.0,-0.8335,,stop,29,هابط
ATOMUSDT,body_b0.4,2022-05-06T20:00:00+00:00,2022-05-08T00:00:00+00:00,17.78777,15.77198223,20.0,-2.2665,,stop,7,هابط
ATOMUSDT,body_b0.4,2022-05-10T08:00:00+00:00,2022-05-11T04:00:00+00:00,14.24423,11.8127625557,20.0,-3.414,,stop,5,هابط
ATOMUSDT,body_b0.4,2022-05-11T20:00:00+00:00,2022-06-13T00:00:00+00:00,10.68067,6.87735718714,20.0,-7.1219,,stop,193,هابط
ATOMUSDT,body_b0.4,2022-06-13T16:00:00+00:00,2022-06-18T20:00:00+00:00,6.36636,5.55729428571,20.0,-2.5417,,stop,31,هابط
