symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2021-09-12T16:00:00+00:00,2021-09-20T16:00:00+00:00,32.032,34.3570371429,20.0,1.4517,,stop,48,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2021-09-21T04:00:00+00:00,2021-10-12T08:00:00+00:00,34.51448,30.5123142857,20.0,-2.3191,,stop,127,صاعد
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2021-10-12T16:00:00+00:00,2021-10-27T08:00:00+00:00,33.55352,37.2712628571,20.0,2.216,,stop,88,صاعد
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2021-10-27T12:00:00+00:00,2021-11-10T20:00:00+00:00,37.15712,33.4279671429,20.0,-2.0072,,stop,86,صاعد
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2021-12-15T20:00:00+00:00,2021-12-28T00:00:00+00:00,22.27225,28.4572285714,20.0,5.554,,stop,73,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2021-12-28T04:00:00+00:00,2022-01-05T16:00:00+00:00,28.2282,38.8225671429,20.0,7.5062,,stop,51,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-01-07T08:00:00+00:00,2022-01-08T16:00:00+00:00,41.39135,34.6263318643,20.0,-3.2688,,stop,8,صاعد
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-01-08T20:00:00+00:00,2022-01-21T20:00:00+00:00,35.11508,33.9403114286,20.0,-0.6691,,stop,78,صاعد
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-01-22T00:00:00+00:00,2022-01-22T04:00:00+00:00,34.6346,29.1821743286,20.0,-3.1485,,stop,1,صاعد
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-01-22T08:00:00+00:00,2022-01-30T16:00:00+00:00,29.35933,27.1542471429,20.0,-1.5021,,stop,50,صاعد
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-02-22T00:00:00+00:00,2022-02-24T04:00:00+00:00,23.84382,22.5602742857,20.0,-1.0766,,stop,13,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-02-28T16:00:00+00:00,2022-03-06T08:00:00+00:00,29.74972,28.8582557143,20.0,-0.5993,,stop,34,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-03-15T08:00:00+00:00,2022-03-31T16:00:00+00:00,26.96694,28.8368485714,20.0,1.3868,,stop,98,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-04-18T16:00:00+00:00,2022-04-21T20:00:00+00:00,23.18316,23.2210414286,20.0,0.0327,,stop,19,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-04-25T12:00:00+00:00,2022-04-26T16:00:00+00:00,21.43141,20.4509571429,20.0,-0.915,,stop,7,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-04-27T16:00:00+00:00,2022-04-29T08:00:00+00:00,21.79177,20.0930853729,20.0,-1.559,,stop,10,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-05-02T16:00:00+00:00,2022-05-05T12:00:00+00:00,17.97796,17.6309228571,20.0,-0.3861,,stop,17,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-05-05T20:00:00+00:00,2022-05-08T00:00:00+00:00,17.75774,15.7990679743,20.0,-2.206,,stop,13,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-05-09T16:00:00+00:00,2022-05-09T20:00:00+00:00,14.52451,13.0578676329,20.0,-2.0195,,stop,1,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-05-10T04:00:00+00:00,2022-05-11T04:00:00+00:00,12.68267,11.9337685714,20.0,-1.181,,stop,6,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-05-11T20:00:00+00:00,2022-06-13T00:00:00+00:00,10.68067,6.87735718714,20.0,-7.1219,,stop,193,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-06-13T16:00:00+00:00,2022-06-18T20:00:00+00:00,6.36636,5.55729428571,20.0,-2.5417,,stop,31,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-06-19T00:00:00+00:00,2022-06-28T00:00:00+00:00,6.07607,7.51390714286,20.0,4.7328,,stop,54,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-06-29T16:00:00+00:00,2022-07-11T20:00:00+00:00,7.23723,8.45724857143,20.0,3.3715,,stop,73,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-07-12T00:00:00+00:00,2022-07-13T12:00:00+00:00,8.18818,7.42717396286,20.0,-1.8588,,stop,9,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-07-14T08:00:00+00:00,2022-07-20T20:00:00+00:00,8.263255,9.61038,20.0,3.2605,,stop,39,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-07-21T16:00:00+00:00,2022-07-23T16:00:00+00:00,11.080069,9.80097250243,20.0,-2.3088,,stop,12,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-07-25T04:00:00+00:00,2022-08-02T00:00:00+00:00,9.292283,9.92649214286,20.0,1.365,,stop,47,عرضي
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-08-10T04:00:00+00:00,2022-08-19T00:00:00+00:00,10.755745,10.8148885714,20.0,0.11,,stop,53,عرضي
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-08-19T04:00:00+00:00,2022-08-26T20:00:00+00:00,10.876866,11.6597571429,20.0,1.4396,,stop,46,عرضي
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-09-06T04:00:00+00:00,2022-09-06T16:00:00+00:00,12.554542,11.7788228151,20.0,-1.2358,,stop,3,عرضي
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-09-06T20:00:00+00:00,2022-09-09T12:00:00+00:00,12.160148,15.642342,20.0,5.7272,,stop,16,عرضي
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-09-13T16:00:00+00:00,2022-09-20T12:00:00+00:00,14.327313,14.2568717143,20.0,-0.0983,,stop,41,عرضي
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-09-20T16:00:00+00:00,2022-09-28T00:00:00+00:00,14.493479,12.9162640924,20.0,-2.1764,,stop,44,عرضي
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-10-06T16:00:00+00:00,2022-10-07T12:00:00+00:00,13.325312,12.676372938,20.0,-0.974,,stop,5,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-10-11T16:00:00+00:00,2022-10-12T00:00:00+00:00,12.520508,11.9387358849,20.0,-0.9293,,stop,2,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-10-13T08:00:00+00:00,2022-10-20T00:00:00+00:00,11.176165,11.6002452857,20.0,0.7589,,stop,40,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-10-21T16:00:00+00:00,2022-11-02T16:00:00+00:00,11.46145,13.2867,20.0,3.185,,stop,72,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-11-02T20:00:00+00:00,2022-11-07T04:00:00+00:00,13.324311,14.309676,20.0,1.479,,stop,26,عرضي
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-11-08T04:00:00+00:00,2022-11-08T16:00:00+00:00,13.535522,12.2427312994,20.0,-1.9102,,stop,3,عرضي
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-11-14T08:00:00+00:00,2022-11-20T20:00:00+00:00,10.527517,9.52244930443,20.0,-1.9094,,stop,39,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-11-21T08:00:00+00:00,2022-11-28T00:00:00+00:00,9.096087,9.63078814286,20.0,1.1757,,stop,40,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-11-28T20:00:00+00:00,2022-12-07T04:00:00+00:00,9.812803,9.72540771429,20.0,-0.1781,,stop,50,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-12-10T20:00:00+00:00,2022-12-12T00:00:00+00:00,9.892883,9.47821672414,20.0,-0.8383,,stop,7,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-12-13T08:00:00+00:00,2022-12-16T08:00:00+00:00,9.243234,9.33808114286,20.0,0.2052,,stop,18,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2022-12-17T00:00:00+00:00,2023-01-14T08:00:00+00:00,8.593585,12.4940648571,20.0,9.0777,,stop,170,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-01-18T16:00:00+00:00,2023-01-24T20:00:00+00:00,11.863852,12.3671918571,20.0,0.8485,,stop,37,عرضي
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-01-26T20:00:00+00:00,2023-02-09T16:00:00+00:00,13.028015,13.7973317143,20.0,1.181,,stop,83,عرضي
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-02-09T20:00:00+00:00,2023-02-25T16:00:00+00:00,13.866853,12.7969045714,20.0,-1.5432,,stop,95,عرضي
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-02-27T16:00:00+00:00,2023-02-28T08:00:00+00:00,12.944932,12.3923486751,20.0,-0.8537,,stop,4,صاعد
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-03-01T04:00:00+00:00,2023-03-03T00:00:00+00:00,12.513501,12.0353811429,20.0,-0.7642,,stop,11,صاعد
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-03-13T16:00:00+00:00,2023-03-15T12:00:00+00:00,11.969958,12.1659647143,20.0,0.3275,,stop,11,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-03-19T20:00:00+00:00,2023-03-20T16:00:00+00:00,12.74273,11.6052203057,20.0,-1.7853,,stop,5,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-03-23T16:00:00+00:00,2023-03-25T16:00:00+00:00,11.928917,10.937968083,20.0,-1.6614,,stop,12,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-03-28T16:00:00+00:00,2023-04-03T00:00:00+00:00,11.34133,10.7022242057,20.0,-1.127,,stop,32,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-04-04T12:00:00+00:00,2023-04-19T08:00:00+00:00,11.362351,11.8706888571,20.0,0.8948,,stop,89,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-04-19T12:00:00+00:00,2023-04-21T12:00:00+00:00,11.82181,11.1001630114,20.0,-1.2209,,stop,12,عرضي
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-04-26T00:00:00+00:00,2023-04-26T16:00:00+00:00,11.059048,10.534455,20.0,-0.9487,,stop,4,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-04-27T00:00:00+00:00,2023-05-03T12:00:00+00:00,10.951941,10.8194554286,20.0,-0.2419,,stop,39,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-05-03T20:00:00+00:00,2023-05-08T00:00:00+00:00,10.869859,10.6529078571,20.0,-0.3992,,stop,25,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-05-08T12:00:00+00:00,2023-05-08T16:00:00+00:00,11.04103,10.5435116486,20.0,-0.9012,,stop,1,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-05-10T16:00:00+00:00,2023-06-05T16:00:00+00:00,10.878868,10.1290859177,20.0,-1.3784,,stop,156,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-06-05T20:00:00+00:00,2023-06-07T12:00:00+00:00,9.977968,9.73282885714,20.0,-0.4914,,stop,10,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-06-10T04:00:00+00:00,2023-06-10T04:00:00+00:00,8.913905,8.51859216643,20.0,-0.887,,stop,0,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-06-10T12:00:00+00:00,2023-07-12T16:00:00+00:00,7.951944,8.96616771429,20.0,2.5509,,stop,193,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-07-13T16:00:00+00:00,2023-07-14T16:00:00+00:00,9.347338,9.80290157143,20.0,0.9747,,stop,6,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-07-14T20:00:00+00:00,2023-07-24T08:00:00+00:00,9.524515,8.898093,20.0,-1.3154,,stop,57,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-07-24T12:00:00+00:00,2023-08-01T00:00:00+00:00,9.056047,8.68253434586,20.0,-0.8249,,stop,45,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-08-07T20:00:00+00:00,2023-08-15T16:00:00+00:00,8.437429,8.29655228571,20.0,-0.3339,,stop,47,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-08-16T00:00:00+00:00,2023-08-16T20:00:00+00:00,8.113105,7.79084207357,20.0,-0.7944,,stop,5,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-08-17T12:00:00+00:00,2023-08-17T20:00:00+00:00,8.140132,7.67227347514,20.0,-1.1495,,stop,2,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-08-23T00:00:00+00:00,2023-08-25T00:00:00+00:00,7.410403,7.035860097,20.0,-1.0109,,stop,12,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-08-26T12:00:00+00:00,2023-08-31T12:00:00+00:00,7.260253,7.08647785714,20.0,-0.4787,,stop,30,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-08-31T20:00:00+00:00,2023-09-02T08:00:00+00:00,6.944938,6.62562716914,20.0,-0.9195,,stop,9,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-09-05T16:00:00+00:00,2023-09-10T04:00:00+00:00,6.820814,6.67018028571,20.0,-0.4417,,stop,27,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-09-15T00:00:00+00:00,2023-09-22T00:00:00+00:00,6.841835,7.10445985714,20.0,0.7677,,stop,42,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-09-23T08:00:00+00:00,2023-10-02T16:00:00+00:00,7.106099,7.20221914286,20.0,0.2705,,stop,56,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-10-02T20:00:00+00:00,2023-10-04T00:00:00+00:00,7.256249,6.938054001,20.0,-0.877,,stop,7,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-10-09T00:00:00+00:00,2023-10-09T08:00:00+00:00,6.950944,6.762924306,20.0,-0.541,,stop,2,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-10-09T16:00:00+00:00,2023-10-10T08:00:00+00:00,6.744738,6.99157285714,20.0,0.7319,,stop,4,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-10-10T12:00:00+00:00,2023-10-11T00:00:00+00:00,6.974968,6.55180249629,20.0,-1.2134,,stop,3,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-10-15T20:00:00+00:00,2023-10-17T08:00:00+00:00,6.611605,6.52190014286,20.0,-0.2714,,stop,9,هابط
ATOMUSDT,combo_vol_k1.5+vol_k1.2,2023-10-19T04:00:00+00:00,2023-10-24T12:00:00+00:00,6.211205,6.957036,20.0,2.4016,,stop,32,هابط
