symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ATOMUSDT,cool_n6,2021-09-12T08:00:00+00:00,2021-09-20T16:00:00+00:00,29.40938,34.4312485714,20.0,3.4151,,stop,50,هابط
ATOMUSDT,cool_n6,2021-09-20T20:00:00+00:00,2021-10-12T00:00:00+00:00,35.44541,30.8348485714,20.0,-2.6015,,stop,127,صاعد
ATOMUSDT,cool_n6,2021-10-13T04:00:00+00:00,2021-10-27T08:00:00+00:00,33.80377,36.9858342857,20.0,1.8827,,stop,85,صاعد
ATOMUSDT,cool_n6,2021-10-27T12:00:00+00:00,2021-11-10T20:00:00+00:00,37.15712,33.4279671429,20.0,-2.0072,,stop,86,صاعد
ATOMUSDT,cool_n6,2021-11-12T20:00:00+00:00,2021-11-16T08:00:00+00:00,31.99196,27.8908269686,20.0,-2.5639,,stop,21,صاعد
ATOMUSDT,cool_n6,2021-12-14T00:00:00+00:00,2021-12-28T00:00:00+00:00,21.76174,28.7026971429,20.0,6.379,,stop,84,هابط
ATOMUSDT,cool_n6,2021-12-28T04:00:00+00:00,2022-01-05T16:00:00+00:00,28.2282,38.8225671429,20.0,7.5062,,stop,51,هابط
ATOMUSDT,cool_n6,2022-01-05T20:00:00+00:00,2022-01-08T16:00:00+00:00,37.48745,35.90406,20.0,-0.8448,,stop,17,صاعد
ATOMUSDT,cool_n6,2022-01-09T20:00:00+00:00,2022-01-19T08:00:00+00:00,37.51748,35.2589914286,20.0,-1.204,,stop,57,صاعد
ATOMUSDT,cool_n6,2022-01-20T16:00:00+00:00,2022-01-21T04:00:00+00:00,41.36132,37.32395868,20.0,-1.9522,,stop,3,صاعد
ATOMUSDT,cool_n6,2022-01-22T08:00:00+00:00,2022-01-30T16:00:00+00:00,29.35933,27.1542471429,20.0,-1.5021,,stop,50,صاعد
ATOMUSDT,cool_n6,2022-02-22T00:00:00+00:00,2022-02-24T04:00:00+00:00,23.84382,22.5602742857,20.0,-1.0766,,stop,13,هابط
ATOMUSDT,cool_n6,2022-02-25T20:00:00+00:00,2022-03-05T00:00:00+00:00,25.3253,29.7059785714,20.0,3.4595,,stop,43,هابط
ATOMUSDT,cool_n6,2022-03-05T04:00:00+00:00,2022-03-13T20:00:00+00:00,30.14011,26.4689716757,20.0,-2.436,,stop,52,هابط
ATOMUSDT,cool_n6,2022-03-15T00:00:00+00:00,2022-03-31T12:00:00+00:00,26.84682,29.1565285714,20.0,1.7207,,stop,99,هابط
ATOMUSDT,cool_n6,2022-03-31T16:00:00+00:00,2022-04-05T20:00:00+00:00,29.71969,29.2978157143,20.0,-0.2839,,stop,31,عرضي
ATOMUSDT,cool_n6,2022-04-10T04:00:00+00:00,2022-04-11T08:00:00+00:00,27.27725,25.4285816786,20.0,-1.3555,,stop,7,هابط
ATOMUSDT,cool_n6,2022-04-12T12:00:00+00:00,2022-04-17T20:00:00+00:00,24.98496,23.1064732543,20.0,-1.5037,,stop,32,هابط
ATOMUSDT,cool_n6,2022-04-19T00:00:00+00:00,2022-04-21T20:00:00+00:00,24.09407,23.06691,20.0,-0.8526,,stop,17,هابط
ATOMUSDT,cool_n6,2022-04-23T00:00:00+00:00,2022-04-25T00:00:00+00:00,23.1231,21.7459751143,20.0,-1.1911,,stop,12,هابط
ATOMUSDT,cool_n6,2022-04-26T08:00:00+00:00,2022-04-26T12:00:00+00:00,22.14212,20.8516046657,20.0,-1.1657,,stop,1,هابط
ATOMUSDT,cool_n6,2022-04-27T16:00:00+00:00,2022-04-29T08:00:00+00:00,21.79177,20.0930853729,20.0,-1.559,,stop,10,هابط
ATOMUSDT,cool_n6,2022-04-30T16:00:00+00:00,2022-05-05T12:00:00+00:00,18.66865,17.8906628571,20.0,-0.8335,,stop,29,هابط
ATOMUSDT,cool_n6,2022-05-06T16:00:00+00:00,2022-05-08T16:00:00+00:00,17.60759,15.6133895529,20.0,-2.2652,,stop,12,هابط
ATOMUSDT,cool_n6,2022-05-10T04:00:00+00:00,2022-05-11T04:00:00+00:00,12.68267,11.9337685714,20.0,-1.181,,stop,6,هابط
ATOMUSDT,cool_n6,2022-05-12T08:00:00+00:00,2022-06-13T04:00:00+00:00,10.04003,6.20949857143,20.0,-7.6305,,stop,191,هابط
ATOMUSDT,cool_n6,2022-06-14T08:00:00+00:00,2022-07-12T20:00:00+00:00,6.72672,7.73511428571,20.0,2.9982,,stop,171,هابط
ATOMUSDT,cool_n6,2022-07-13T00:00:00+00:00,2022-07-23T08:00:00+00:00,7.82782,10.0856185714,20.0,5.7687,,stop,62,هابط
ATOMUSDT,cool_n6,2022-07-23T12:00:00+00:00,2022-07-26T16:00:00+00:00,10.031021,8.73317194329,20.0,-2.5877,,stop,19,عرضي
ATOMUSDT,cool_n6,2022-07-29T12:00:00+00:00,2022-08-19T04:00:00+00:00,10.552542,10.4966357143,20.0,-0.106,,stop,124,عرضي
ATOMUSDT,cool_n6,2022-08-26T08:00:00+00:00,2022-08-27T00:00:00+00:00,12.486474,11.1074982403,20.0,-2.2088,,stop,4,عرضي
ATOMUSDT,cool_n6,2022-09-03T08:00:00+00:00,2022-09-07T00:00:00+00:00,12.235223,11.5902552857,20.0,-1.0543,,stop,22,عرضي
ATOMUSDT,cool_n6,2022-09-12T04:00:00+00:00,2022-09-13T12:00:00+00:00,15.349334,14.2962608571,20.0,-1.3721,,stop,8,عرضي
ATOMUSDT,cool_n6,2022-09-14T20:00:00+00:00,2022-09-20T16:00:00+00:00,13.715702,14.2120594286,20.0,0.7238,,stop,35,عرضي
ATOMUSDT,cool_n6,2022-09-20T20:00:00+00:00,2022-09-28T04:00:00+00:00,14.23422,12.7305424286,20.0,-2.1128,,stop,44,عرضي
ATOMUSDT,cool_n6,2022-10-06T04:00:00+00:00,2022-10-10T20:00:00+00:00,13.189176,12.5694511097,20.0,-0.9397,,stop,28,هابط
ATOMUSDT,cool_n6,2022-10-12T08:00:00+00:00,2022-10-13T00:00:00+00:00,12.135123,11.4718539484,20.0,-1.0931,,stop,4,هابط
ATOMUSDT,cool_n6,2022-10-14T04:00:00+00:00,2022-10-21T08:00:00+00:00,11.962951,11.1055975714,20.0,-1.4333,,stop,43,هابط
ATOMUSDT,cool_n6,2022-10-24T00:00:00+00:00,2022-10-25T00:00:00+00:00,12.126114,11.564537886,20.0,-0.9262,,stop,6,هابط
ATOMUSDT,cool_n6,2022-10-26T12:00:00+00:00,2022-11-02T08:00:00+00:00,12.331319,13.562424,20.0,1.9967,,stop,41,هابط
ATOMUSDT,cool_n6,2022-11-02T12:00:00+00:00,2022-11-07T00:00:00+00:00,13.662649,14.3730411429,20.0,1.0399,,stop,27,عرضي
ATOMUSDT,cool_n6,2022-11-07T08:00:00+00:00,2022-11-08T04:00:00+00:00,14.042028,12.9416168571,20.0,-1.5673,,stop,5,عرضي
ATOMUSDT,cool_n6,2022-11-14T08:00:00+00:00,2022-11-20T20:00:00+00:00,10.527517,9.52244930443,20.0,-1.9094,,stop,39,هابط
ATOMUSDT,cool_n6,2022-11-22T00:00:00+00:00,2022-11-28T00:00:00+00:00,9.021012,9.50091814286,20.0,1.064,,stop,36,هابط
ATOMUSDT,cool_n6,2022-11-28T08:00:00+00:00,2022-12-07T04:00:00+00:00,9.753744,9.77450142857,20.0,0.0426,,stop,53,هابط
ATOMUSDT,cool_n6,2022-12-08T00:00:00+00:00,2022-12-11T20:00:00+00:00,9.627618,9.73596857143,20.0,0.2251,,stop,23,هابط
ATOMUSDT,cool_n6,2022-12-12T08:00:00+00:00,2022-12-13T04:00:00+00:00,9.571562,9.14776222371,20.0,-0.8855,,stop,5,هابط
