symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,rnd210053,2024-01-05T08:00:00+00:00,2024-01-08T00:00:00+00:00,10.162152,9.15226714286,20.0,-1.9875,,stop,16
ATOMUSDT,rnd210053,2024-01-12T08:00:00+00:00,2024-01-12T20:00:00+00:00,10.72071,9.78430875429,20.0,-1.7469,,stop,3
ATOMUSDT,rnd210053,2024-02-13T12:00:00+00:00,2024-02-20T12:00:00+00:00,10.176166,10.0071257143,20.0,-0.3322,,stop,42
ATOMUSDT,rnd210053,2024-02-27T00:00:00+00:00,2024-02-28T16:00:00+00:00,11.146135,10.9877155714,20.0,-0.2843,,stop,10
ATOMUSDT,rnd210053,2024-03-05T16:00:00+00:00,2024-03-05T16:00:00+00:00,12.720708,11.7407412206,20.0,-1.5407,,stop,0
ATOMUSDT,rnd210053,2024-03-09T00:00:00+00:00,2024-03-15T08:00:00+00:00,13.421408,12.2742848571,20.0,-1.7094,,stop,38
ATOMUSDT,rnd210053,2024-03-21T00:00:00+00:00,2024-04-02T00:00:00+00:00,11.768757,11.1131614286,20.0,-1.1141,,stop,72
ATOMUSDT,rnd210053,2024-04-04T04:00:00+00:00,2024-04-10T12:00:00+00:00,10.785775,10.3523515714,20.0,-0.8037,,stop,38
ATOMUSDT,rnd210053,2024-04-16T16:00:00+00:00,2024-04-30T08:00:00+00:00,7.839832,7.77635871429,20.0,-0.1619,,stop,82
ATOMUSDT,rnd210053,2024-05-16T20:00:00+00:00,2024-05-19T20:00:00+00:00,8.467459,8.20550057143,20.0,-0.6187,,stop,18
ATOMUSDT,rnd210053,2024-06-12T00:00:00+00:00,2024-06-14T12:00:00+00:00,7.524517,7.33522885714,20.0,-0.5031,,stop,15
ATOMUSDT,rnd210053,2024-06-20T16:00:00+00:00,2024-06-24T08:00:00+00:00,6.883877,6.49576758729,20.0,-1.1276,,stop,22
ATOMUSDT,rnd210053,2024-06-24T12:00:00+00:00,2024-06-29T12:00:00+00:00,6.651645,6.71328,20.0,0.1853,,stop,30
