symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ATOMUSDT,vol_k1.2,2021-09-12T16:00:00+00:00,2021-09-20T16:00:00+00:00,32.032,34.3570371429,20.0,1.4517,,stop,48,هابط
ATOMUSDT,vol_k1.2,2021-09-20T20:00:00+00:00,2021-10-12T00:00:00+00:00,35.44541,30.8348485714,20.0,-2.6015,,stop,127,صاعد
ATOMUSDT,vol_k1.2,2021-10-12T16:00:00+00:00,2021-10-27T08:00:00+00:00,33.55352,37.2712628571,20.0,2.216,,stop,88,صاعد
ATOMUSDT,vol_k1.2,2021-10-27T12:00:00+00:00,2021-11-10T20:00:00+00:00,37.15712,33.4279671429,20.0,-2.0072,,stop,86,صاعد
ATOMUSDT,vol_k1.2,2021-12-15T20:00:00+00:00,2021-12-28T00:00:00+00:00,22.27225,28.4572285714,20.0,5.554,,stop,73,هابط
ATOMUSDT,vol_k1.2,2021-12-28T04:00:00+00:00,2022-01-05T16:00:00+00:00,28.2282,38.8225671429,20.0,7.5062,,stop,51,هابط
ATOMUSDT,vol_k1.2,2022-01-05T20:00:00+00:00,2022-01-08T16:00:00+00:00,37.48745,35.90406,20.0,-0.8448,,stop,17,صاعد
ATOMUSDT,vol_k1.2,2022-01-08T20:00:00+00:00,2022-01-21T20:00:00+00:00,35.11508,33.9403114286,20.0,-0.6691,,stop,78,صاعد
ATOMUSDT,vol_k1.2,2022-01-22T00:00:00+00:00,2022-01-22T04:00:00+00:00,34.6346,29.1821743286,20.0,-3.1485,,stop,1,صاعد
ATOMUSDT,vol_k1.2,2022-01-22T08:00:00+00:00,2022-01-30T16:00:00+00:00,29.35933,27.1542471429,20.0,-1.5021,,stop,50,صاعد
ATOMUSDT,vol_k1.2,2022-02-22T00:00:00+00:00,2022-02-24T04:00:00+00:00,23.84382,22.5602742857,20.0,-1.0766,,stop,13,هابط
ATOMUSDT,vol_k1.2,2022-02-24T16:00:00+00:00,2022-03-05T00:00:00+00:00,23.41339,29.8429842857,20.0,5.4922,,stop,50,هابط
ATOMUSDT,vol_k1.2,2022-03-13T16:00:00+00:00,2022-03-31T12:00:00+00:00,27.30728,29.13084,20.0,1.3356,,stop,107,هابط
ATOMUSDT,vol_k1.2,2022-03-31T16:00:00+00:00,2022-04-05T20:00:00+00:00,29.71969,29.2978157143,20.0,-0.2839,,stop,31,عرضي
ATOMUSDT,vol_k1.2,2022-04-12T04:00:00+00:00,2022-04-18T04:00:00+00:00,24.00398,22.6501842857,20.0,-1.128,,stop,36,هابط
ATOMUSDT,vol_k1.2,2022-04-18T12:00:00+00:00,2022-04-21T20:00:00+00:00,22.89287,23.3380671429,20.0,0.3889,,stop,20,هابط
ATOMUSDT,vol_k1.2,2022-04-25T12:00:00+00:00,2022-04-26T16:00:00+00:00,21.43141,20.4509571429,20.0,-0.915,,stop,7,هابط
ATOMUSDT,vol_k1.2,2022-04-27T16:00:00+00:00,2022-04-29T08:00:00+00:00,21.79177,20.0930853729,20.0,-1.559,,stop,10,هابط
ATOMUSDT,vol_k1.2,2022-04-30T16:00:00+00:00,2022-05-05T12:00:00+00:00,18.66865,17.8906628571,20.0,-0.8335,,stop,29,هابط
ATOMUSDT,vol_k1.2,2022-05-05T20:00:00+00:00,2022-05-08T00:00:00+00:00,17.75774,15.7990679743,20.0,-2.206,,stop,13,هابط
ATOMUSDT,vol_k1.2,2022-05-09T16:00:00+00:00,2022-05-09T20:00:00+00:00,14.52451,13.0578676329,20.0,-2.0195,,stop,1,هابط
ATOMUSDT,vol_k1.2,2022-05-10T04:00:00+00:00,2022-05-11T04:00:00+00:00,12.68267,11.9337685714,20.0,-1.181,,stop,6,هابط
ATOMUSDT,vol_k1.2,2022-05-11T20:00:00+00:00,2022-06-13T00:00:00+00:00,10.68067,6.87735718714,20.0,-7.1219,,stop,193,هابط
ATOMUSDT,vol_k1.2,2022-06-13T16:00:00+00:00,2022-06-18T20:00:00+00:00,6.36636,5.55729428571,20.0,-2.5417,,stop,31,هابط
ATOMUSDT,vol_k1.2,2022-06-19T00:00:00+00:00,2022-06-28T00:00:00+00:00,6.07607,7.51390714286,20.0,4.7328,,stop,54,هابط
ATOMUSDT,vol_k1.2,2022-06-29T08:00:00+00:00,2022-07-11T20:00:00+00:00,7.2072,8.46866571429,20.0,3.5006,,stop,75,هابط
ATOMUSDT,vol_k1.2,2022-07-12T00:00:00+00:00,2022-07-13T12:00:00+00:00,8.18818,7.42717396286,20.0,-1.8588,,stop,9,هابط
ATOMUSDT,vol_k1.2,2022-07-14T08:00:00+00:00,2022-07-20T20:00:00+00:00,8.263255,9.61038,20.0,3.2605,,stop,39,هابط
ATOMUSDT,vol_k1.2,2022-07-21T16:00:00+00:00,2022-07-23T16:00:00+00:00,11.080069,9.80097250243,20.0,-2.3088,,stop,12,هابط
ATOMUSDT,vol_k1.2,2022-07-25T04:00:00+00:00,2022-08-02T00:00:00+00:00,9.292283,9.92649214286,20.0,1.365,,stop,47,عرضي
ATOMUSDT,vol_k1.2,2022-08-09T12:00:00+00:00,2022-08-10T00:00:00+00:00,11.422411,10.558092339,20.0,-1.5134,,stop,3,عرضي
ATOMUSDT,vol_k1.2,2022-08-10T04:00:00+00:00,2022-08-19T00:00:00+00:00,10.755745,10.8148885714,20.0,0.11,,stop,53,عرضي
ATOMUSDT,vol_k1.2,2022-08-19T04:00:00+00:00,2022-08-26T20:00:00+00:00,10.876866,11.6597571429,20.0,1.4396,,stop,46,عرضي
ATOMUSDT,vol_k1.2,2022-09-06T04:00:00+00:00,2022-09-06T16:00:00+00:00,12.554542,11.7788228151,20.0,-1.2358,,stop,3,عرضي
ATOMUSDT,vol_k1.2,2022-09-06T20:00:00+00:00,2022-09-09T12:00:00+00:00,12.160148,15.642342,20.0,5.7272,,stop,16,عرضي
ATOMUSDT,vol_k1.2,2022-09-13T16:00:00+00:00,2022-09-20T12:00:00+00:00,14.327313,14.2568717143,20.0,-0.0983,,stop,41,عرضي
ATOMUSDT,vol_k1.2,2022-09-20T16:00:00+00:00,2022-09-28T00:00:00+00:00,14.493479,12.9162640924,20.0,-2.1764,,stop,44,عرضي
ATOMUSDT,vol_k1.2,2022-10-06T16:00:00+00:00,2022-10-07T12:00:00+00:00,13.325312,12.676372938,20.0,-0.974,,stop,5,هابط
ATOMUSDT,vol_k1.2,2022-10-11T16:00:00+00:00,2022-10-12T00:00:00+00:00,12.520508,11.9387358849,20.0,-0.9293,,stop,2,هابط
ATOMUSDT,vol_k1.2,2022-10-13T08:00:00+00:00,2022-10-20T00:00:00+00:00,11.176165,11.6002452857,20.0,0.7589,,stop,40,هابط
ATOMUSDT,vol_k1.2,2022-10-21T16:00:00+00:00,2022-11-02T16:00:00+00:00,11.46145,13.2867,20.0,3.185,,stop,72,هابط
ATOMUSDT,vol_k1.2,2022-11-02T20:00:00+00:00,2022-11-07T04:00:00+00:00,13.324311,14.309676,20.0,1.479,,stop,26,عرضي
ATOMUSDT,vol_k1.2,2022-11-08T04:00:00+00:00,2022-11-08T16:00:00+00:00,13.535522,12.2427312994,20.0,-1.9102,,stop,3,عرضي
ATOMUSDT,vol_k1.2,2022-11-14T08:00:00+00:00,2022-11-20T20:00:00+00:00,10.527517,9.52244930443,20.0,-1.9094,,stop,39,هابط
ATOMUSDT,vol_k1.2,2022-11-21T08:00:00+00:00,2022-11-28T00:00:00+00:00,9.096087,9.63078814286,20.0,1.1757,,stop,40,هابط
ATOMUSDT,vol_k1.2,2022-11-28T20:00:00+00:00,2022-12-07T04:00:00+00:00,9.812803,9.72540771429,20.0,-0.1781,,stop,50,هابط
ATOMUSDT,vol_k1.2,2022-12-10T20:00:00+00:00,2022-12-12T00:00:00+00:00,9.892883,9.47821672414,20.0,-0.8383,,stop,7,هابط
ATOMUSDT,vol_k1.2,2022-12-13T08:00:00+00:00,2022-12-16T08:00:00+00:00,9.243234,9.33808114286,20.0,0.2052,,stop,18,هابط
ATOMUSDT,vol_k1.2,2022-12-17T00:00:00+00:00,2023-01-14T08:00:00+00:00,8.593585,12.4940648571,20.0,9.0777,,stop,170,هابط
ATOMUSDT,vol_k1.2,2023-01-18T16:00:00+00:00,2023-01-24T20:00:00+00:00,11.863852,12.3671918571,20.0,0.8485,,stop,37,عرضي
ATOMUSDT,vol_k1.2,2023-01-25T00:00:00+00:00,2023-02-09T16:00:00+00:00,12.456444,13.9534611429,20.0,2.4036,,stop,94,عرضي
ATOMUSDT,vol_k1.2,2023-02-09T20:00:00+00:00,2023-02-25T16:00:00+00:00,13.866853,12.7969045714,20.0,-1.5432,,stop,95,عرضي
ATOMUSDT,vol_k1.2,2023-02-26T00:00:00+00:00,2023-02-28T20:00:00+00:00,12.850838,12.2096875191,20.0,-0.9978,,stop,17,صاعد
ATOMUSDT,vol_k1.2,2023-03-01T00:00:00+00:00,2023-03-03T00:00:00+00:00,12.291279,12.0505088571,20.0,-0.3918,,stop,12,صاعد
ATOMUSDT,vol_k1.2,2023-03-13T16:00:00+00:00,2023-03-15T12:00:00+00:00,11.969958,12.1659647143,20.0,0.3275,,stop,11,هابط
ATOMUSDT,vol_k1.2,2023-03-18T04:00:00+00:00,2023-03-18T16:00:00+00:00,13.169156,12.1163132726,20.0,-1.599,,stop,3,هابط
ATOMUSDT,vol_k1.2,2023-03-19T20:00:00+00:00,2023-03-20T16:00:00+00:00,12.74273,11.6052203057,20.0,-1.7853,,stop,5,هابط
ATOMUSDT,vol_k1.2,2023-03-23T16:00:00+00:00,2023-03-25T16:00:00+00:00,11.928917,10.937968083,20.0,-1.6614,,stop,12,هابط
