symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ATOMUSDT,vol_k1.8,2024-01-03T16:00:00+00:00,2024-01-07T20:00:00+00:00,10.2216605,9.3618305,20.0,-1.6824,,stop,25,صاعد
ATOMUSDT,vol_k1.8,2024-02-11T20:00:00+00:00,2024-02-20T12:00:00+00:00,9.7973425,10.114123,20.0,0.6467,,stop,52,عرضي
ATOMUSDT,vol_k1.8,2024-02-20T16:00:00+00:00,2024-02-28T16:00:00+00:00,10.23867325,10.78718925,20.0,1.0715,,stop,48,صاعد
ATOMUSDT,vol_k1.8,2024-03-04T04:00:00+00:00,2024-03-05T16:00:00+00:00,12.4113015,11.5649427114,20.0,-1.3639,,stop,9,صاعد
ATOMUSDT,vol_k1.8,2024-03-05T20:00:00+00:00,2024-03-15T00:00:00+00:00,11.4345695,12.51903225,20.0,1.8968,,stop,55,صاعد
ATOMUSDT,vol_k1.8,2024-03-15T12:00:00+00:00,2024-03-19T04:00:00+00:00,12.4072985,10.9142852136,20.0,-2.4067,,stop,22,صاعد
ATOMUSDT,vol_k1.8,2024-03-19T08:00:00+00:00,2024-04-02T00:00:00+00:00,11.16336625,11.288099,20.0,0.2235,,stop,82,صاعد
ATOMUSDT,vol_k1.8,2024-05-01T00:00:00+00:00,2024-05-11T08:00:00+00:00,8.4483315,8.57370775,20.0,0.2968,,stop,62,هابط
ATOMUSDT,vol_k1.8,2024-05-15T16:00:00+00:00,2024-05-19T20:00:00+00:00,8.38328275,8.172152,20.0,-0.5037,,stop,25,هابط
ATOMUSDT,vol_k1.8,2024-05-20T20:00:00+00:00,2024-05-23T12:00:00+00:00,8.6965175,8.41868125,20.0,-0.639,,stop,16,هابط
ATOMUSDT,vol_k1.8,2024-05-24T00:00:00+00:00,2024-06-07T16:00:00+00:00,8.3642685,8.14317375,20.0,-0.5287,,stop,88,هابط
ATOMUSDT,vol_k1.8,2024-06-07T20:00:00+00:00,2024-06-11T12:00:00+00:00,8.034021,7.5534735,20.0,-1.1963,,stop,22,هابط
