القياس,cost,الفترة,المناخ,net,trades,per,gross,gross_raw,costs,move,cost_per,median_hold,overlap_ratio,max_concurrent,overlapping_trades
حجم k=3.5 + تهدئة n=3,0.001,حكم,صاعد,16.45,129,0.12752,21.62,21.62410600580664,5.18,0.16762872872718326,0.04012750122749969,18.0,0.0,1,0
حجم k=3.5 + تهدئة n=3,0.001,حكم,عرضي,-12.52,24,-0.52167,-11.57,-11.569005806720993,0.95,-0.4820419086133747,0.03947847961177485,9.5,0.0,1,0
حجم k=3.5 + تهدئة n=3,0.001,حكم,هابط,18.79,281,0.06687,30.05,30.04829529678914,11.26,0.10693343521989017,0.04006686656865124,18.0,0.0,1,0
حجم k=3.5 + تهدئة n=3,0.001,حكم,غير مصنّف,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
حجم k=3.5 + تهدئة n=3,0.0013,حكم,صاعد,15.2,129,0.11783,21.93,21.929206680720227,6.73,0.1699938502381413,0.0521531928545986,18.0,0.0,1,0
حجم k=3.5 + تهدئة n=3,0.0013,حكم,عرضي,-12.71,24,-0.52958,-11.48,-11.475648630876389,1.23,-0.4781520262865162,0.05131169715952016,9.5,0.0,1,0
حجم k=3.5 + تهدئة n=3,0.0013,حكم,هابط,16.02,281,0.05701,30.65,30.650476184858366,14.63,0.1090764277041223,0.05207410302208664,18.0,0.0,1,0
حجم k=3.5 + تهدئة n=3,0.0013,حكم,غير مصنّف,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
حجم k=3.5 + تهدئة n=3,0.00075,حكم,صاعد,17.49,129,0.13558,21.37,21.372765003729405,3.88,0.16568034886611943,0.0301016839986506,18.0,0.0,1,0
حجم k=3.5 + تهدئة n=3,0.00075,حكم,عرضي,-12.36,24,-0.515,-11.65,-11.646844703202012,0.71,-0.4852851959667505,0.029613825733724643,9.5,0.0,1,0
حجم k=3.5 + تهدئة n=3,0.00075,حكم,هابط,21.1,281,0.07509,29.55,29.546197390225913,8.45,0.10514660992962958,0.030056317719157854,18.0,0.0,1,0
حجم k=3.5 + تهدئة n=3,0.00075,حكم,غير مصنّف,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
حجم k=3.5 + تهدئة n=3,0.001,اختيار,صاعد,7.54,62,0.12161,10.03,10.025105788929778,2.49,0.16169525466015772,0.04012157368097918,12.5,0.0,1,0
حجم k=3.5 + تهدئة n=3,0.001,اختيار,عرضي,6.66,15,0.444,7.27,7.2667115794979225,0.61,0.48444743863319484,0.04044400343519799,27.0,0.0,1,0
حجم k=3.5 + تهدئة n=3,0.001,اختيار,هابط,34.78,225,0.15458,43.81,43.81314469797517,9.03,0.1947250875465563,0.040154570517029524,12.0,0.0,1,0
حجم k=3.5 + تهدئة n=3,0.001,اختيار,غير مصنّف,0.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0
