symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ATOMUSDT,k3.5+confirm,2021-09-13T16:00:00+00:00,2021-09-21T00:00:00+00:00,38.20817,32.7843257143,20.0,-2.8391,,stop,44,صاعد
ATOMUSDT,k3.5+confirm,2021-10-19T16:00:00+00:00,2021-10-27T04:00:00+00:00,34.16413,39.0152314286,20.0,2.8399,,stop,45,صاعد
ATOMUSDT,k3.5+confirm,2022-06-08T00:00:00+00:00,2022-06-10T12:00:00+00:00,9.2092,8.37224794286,20.0,-1.8176,,stop,15,هابط
ATOMUSDT,k3.5+confirm,2022-10-17T16:00:00+00:00,2022-10-19T20:00:00+00:00,12.326314,11.8859592857,20.0,-0.7145,,stop,13,هابط
ATOMUSDT,k3.5+confirm,2022-10-25T20:00:00+00:00,2022-11-02T08:00:00+00:00,12.174162,13.5096197143,20.0,2.1939,,stop,45,هابط
ATOMUSDT,k3.5+confirm,2022-12-10T20:00:00+00:00,2022-12-12T00:00:00+00:00,9.892883,9.47821672414,20.0,-0.8383,,stop,7,هابط
ATOMUSDT,k3.5+confirm,2023-01-02T08:00:00+00:00,2023-01-06T04:00:00+00:00,9.898889,9.969021,20.0,0.1417,,stop,23,هابط
ATOMUSDT,k3.5+confirm,2023-01-08T16:00:00+00:00,2023-01-10T00:00:00+00:00,10.50049,10.891098,20.0,0.744,,stop,8,هابط
ATOMUSDT,k3.5+confirm,2023-03-28T16:00:00+00:00,2023-04-03T00:00:00+00:00,11.34133,10.7022242057,20.0,-1.127,,stop,32,هابط
ATOMUSDT,k3.5+confirm,2023-07-13T20:00:00+00:00,2023-07-14T16:00:00+00:00,9.74974,9.70642671429,20.0,-0.0889,,stop,5,هابط
ATOMUSDT,k3.5+confirm,2023-10-10T08:00:00+00:00,2023-10-10T12:00:00+00:00,7.21721,6.85606136143,20.0,-1.0008,,stop,1,هابط
ATOMUSDT,k3.5+confirm,2023-10-30T16:00:00+00:00,2023-10-31T12:00:00+00:00,7.571564,7.67246271429,20.0,0.2665,,stop,5,هابط
ATOMUSDT,k3.5+confirm,2023-12-12T16:00:00+00:00,2023-12-18T04:00:00+00:00,11.978967,10.6504487473,20.0,-2.2181,,stop,33,صاعد
BTCUSDT,k3.5+confirm,2022-04-18T20:00:00+00:00,2022-04-21T20:00:00+00:00,40721.36068,40433.6829857,20.0,-0.1413,,stop,18,هابط
BTCUSDT,k3.5+confirm,2022-10-25T20:00:00+00:00,2022-10-28T12:00:00+00:00,20296.53626,19998.4386857,20.0,-0.2937,,stop,16,هابط
BTCUSDT,k3.5+confirm,2023-10-24T00:00:00+00:00,2023-11-14T16:00:00+00:00,33103.05999,35328.3619886,20.0,1.3445,,stop,130,صاعد
DOGEUSDT,k3.5+confirm,2021-10-05T00:00:00+00:00,2021-10-07T00:00:00+00:00,0.2417415,0.237633557143,20.0,-0.3399,,stop,12,هابط
DOGEUSDT,k3.5+confirm,2021-10-24T20:00:00+00:00,2021-10-27T08:00:00+00:00,0.2629627,0.240759,20.0,-1.6887,,stop,15,هابط
DOGEUSDT,k3.5+confirm,2021-10-28T08:00:00+00:00,2021-10-29T08:00:00+00:00,0.3294291,0.280255706614,20.0,-2.9854,,stop,6,عرضي
DOGEUSDT,k3.5+confirm,2021-12-14T12:00:00+00:00,2021-12-14T12:00:00+00:00,0.2115113,0.188483342271,20.0,-2.1775,,stop,0,هابط
DOGEUSDT,k3.5+confirm,2022-01-14T08:00:00+00:00,2022-01-17T00:00:00+00:00,0.1963962,0.171706464514,20.0,-2.5143,,stop,16,هابط
DOGEUSDT,k3.5+confirm,2022-02-07T00:00:00+00:00,2022-02-08T08:00:00+00:00,0.154154,0.1583415,20.0,0.5433,,stop,8,هابط
DOGEUSDT,k3.5+confirm,2022-03-23T20:00:00+00:00,2022-03-25T16:00:00+00:00,0.1272271,0.130911814286,20.0,0.5792,,stop,11,هابط
DOGEUSDT,k3.5+confirm,2022-05-27T16:00:00+00:00,2022-06-10T12:00:00+00:00,0.0834834,0.0765861942857,20.0,-1.6524,,stop,83,هابط
DOGEUSDT,k3.5+confirm,2022-09-24T04:00:00+00:00,2022-09-25T20:00:00+00:00,0.06601595,0.0611458144071,20.0,-1.4754,,stop,10,هابط
DOGEUSDT,k3.5+confirm,2022-10-25T20:00:00+00:00,2022-10-27T08:00:00+00:00,0.0638638,0.0768573514286,20.0,4.0691,,stop,9,هابط
DOGEUSDT,k3.5+confirm,2022-11-08T08:00:00+00:00,2022-11-08T16:00:00+00:00,0.10284274,0.08758007226,20.0,-2.9682,,stop,2,عرضي
DOGEUSDT,k3.5+confirm,2022-11-27T12:00:00+00:00,2022-11-28T00:00:00+00:00,0.10482472,0.09316895778,20.0,-2.2239,,stop,3,هابط
DOGEUSDT,k3.5+confirm,2023-01-09T04:00:00+00:00,2023-01-09T20:00:00+00:00,0.0749749,0.0755429528571,20.0,0.1515,,stop,4,هابط
DOGEUSDT,k3.5+confirm,2023-04-01T20:00:00+00:00,2023-04-02T20:00:00+00:00,0.082082,0.0778549242857,20.0,-1.03,,stop,6,هابط
DOGEUSDT,k3.5+confirm,2023-04-03T20:00:00+00:00,2023-04-06T20:00:00+00:00,0.09711702,0.0853030601229,20.0,-2.4329,,stop,18,هابط
DOGEUSDT,k3.5+confirm,2023-07-13T20:00:00+00:00,2023-07-14T16:00:00+00:00,0.07018011,0.0689381357143,20.0,-0.3539,,stop,5,هابط
DOGEUSDT,k3.5+confirm,2023-07-24T08:00:00+00:00,2023-07-24T08:00:00+00:00,0.07674667,0.0723884947586,20.0,-1.1357,,stop,0,عرضي
DOGEUSDT,k3.5+confirm,2023-08-29T20:00:00+00:00,2023-08-31T16:00:00+00:00,0.06701695,0.0641348937643,20.0,-0.8601,,stop,11,هابط
DOGEUSDT,k3.5+confirm,2023-10-24T00:00:00+00:00,2023-10-25T04:00:00+00:00,0.06748742,0.0646638428571,20.0,-0.8368,,stop,7,هابط
DOGEUSDT,k3.5+confirm,2023-11-27T08:00:00+00:00,2023-11-27T12:00:00+00:00,0.08096088,0.0774315851914,20.0,-0.8719,,stop,1,صاعد
DOGEUSDT,k3.5+confirm,2023-12-22T00:00:00+00:00,2023-12-26T16:00:00+00:00,0.095095,0.0898497032143,20.0,-1.1032,,stop,28,صاعد
ETHUSDT,k3.5+confirm,2022-05-26T16:00:00+00:00,2022-05-27T04:00:00+00:00,1863.89203,1724.0805094,20.0,-1.5002,,stop,3,هابط
ETHUSDT,k3.5+confirm,2022-10-25T20:00:00+00:00,2022-11-02T08:00:00+00:00,1494.83334,1534.77226286,20.0,0.5344,,stop,45,هابط
ETHUSDT,k3.5+confirm,2022-12-13T16:00:00+00:00,2022-12-15T12:00:00+00:00,1325.10378,1277.85515143,20.0,-0.7131,,stop,11,هابط
ETHUSDT,k3.5+confirm,2023-01-09T04:00:00+00:00,2023-01-12T12:00:00+00:00,1311.68037,1375.88702143,20.0,0.979,,stop,20,هابط
ETHUSDT,k3.5+confirm,2023-04-10T20:00:00+00:00,2023-04-12T00:00:00+00:00,1890.62874,1855.93506429,20.0,-0.367,,stop,7,صاعد
ETHUSDT,k3.5+confirm,2023-07-13T20:00:00+00:00,2023-07-14T16:00:00+00:00,1997.25526,1938.3810101,20.0,-0.5896,,stop,5,صاعد
ETHUSDT,k3.5+confirm,2023-10-24T00:00:00+00:00,2023-10-27T16:00:00+00:00,1767.23547,1745.51274,20.0,-0.2458,,stop,22,هابط
ETHUSDT,k3.5+confirm,2023-11-09T16:00:00+00:00,2023-11-14T16:00:00+00:00,2037.04501,2005.81646143,20.0,-0.3066,,stop,30,صاعد
FILUSDT,k3.5+confirm,2022-01-04T16:00:00+00:00,2022-01-05T16:00:00+00:00,37.46743,35.4087714986,20.0,-1.0989,,stop,6,هابط
FILUSDT,k3.5+confirm,2022-03-27T20:00:00+00:00,2022-03-29T00:00:00+00:00,22.11209,25.28469,20.0,2.8696,,stop,7,هابط
FILUSDT,k3.5+confirm,2022-04-17T00:00:00+00:00,2022-04-17T16:00:00+00:00,21.69167,20.3926854729,20.0,-1.1977,,stop,4,هابط
FILUSDT,k3.5+confirm,2022-05-01T04:00:00+00:00,2022-05-09T08:00:00+00:00,14.75474,12.4868834743,20.0,-3.0741,,stop,49,هابط
FILUSDT,k3.5+confirm,2022-07-30T08:00:00+00:00,2022-08-01T04:00:00+00:00,7.08708,10.2140614286,20.0,8.8245,,stop,11,هابط
FILUSDT,k3.5+confirm,2022-11-03T04:00:00+00:00,2022-11-06T20:00:00+00:00,5.79579,5.91408,20.0,0.4082,,stop,22,هابط
FILUSDT,k3.5+confirm,2022-12-17T04:00:00+00:00,2023-01-24T20:00:00+00:00,3.051048,4.99756885714,20.0,12.7597,,stop,232,هابط
FILUSDT,k3.5+confirm,2023-04-07T16:00:00+00:00,2023-04-09T12:00:00+00:00,5.917912,5.61871623086,20.0,-1.0112,,stop,11,هابط
FILUSDT,k3.5+confirm,2023-06-10T12:00:00+00:00,2023-07-08T20:00:00+00:00,3.362359,4.21720714286,20.0,5.0848,,stop,170,هابط
FILUSDT,k3.5+confirm,2023-10-21T16:00:00+00:00,2023-10-24T04:00:00+00:00,3.331328,3.80005328571,20.0,2.814,,stop,15,هابط
FILUSDT,k3.5+confirm,2023-12-16T20:00:00+00:00,2023-12-17T20:00:00+00:00,5.866861,5.257847889,20.0,-2.0761,,stop,6,صاعد
IMXUSDT,k3.5+confirm,2022-01-26T12:00:00+00:00,2022-01-27T16:00:00+00:00,2.85285,2.55187414286,20.0,-2.11,,stop,7,هابط
IMXUSDT,k3.5+confirm,2022-02-03T04:00:00+00:00,2022-02-03T20:00:00+00:00,3.242239,3.52161771429,20.0,1.7234,,stop,4,هابط
IMXUSDT,k3.5+confirm,2022-03-07T16:00:00+00:00,2022-03-08T12:00:00+00:00,1.514513,1.49478942857,20.0,-0.2605,,stop,5,هابط
IMXUSDT,k3.5+confirm,2022-03-19T12:00:00+00:00,2022-03-20T08:00:00+00:00,1.900899,2.01112971429,20.0,1.1598,,stop,5,هابط
IMXUSDT,k3.5+confirm,2022-06-29T12:00:00+00:00,2022-07-02T00:00:00+00:00,0.92092,0.866561142857,20.0,-1.1805,,stop,15,هابط
IMXUSDT,k3.5+confirm,2022-07-28T16:00:00+00:00,2022-07-31T08:00:00+00:00,0.945945,1.140858,20.0,4.121,,stop,16,هابط
IMXUSDT,k3.5+confirm,2022-08-29T08:00:00+00:00,2022-09-06T16:00:00+00:00,0.848848,0.785026473429,20.0,-1.5037,,stop,50,هابط
IMXUSDT,k3.5+confirm,2022-09-07T16:00:00+00:00,2022-09-12T16:00:00+00:00,0.807807,0.837019285714,20.0,0.7232,,stop,30,هابط
IMXUSDT,k3.5+confirm,2022-10-25T20:00:00+00:00,2022-10-28T00:00:00+00:00,0.576576,0.577279285714,20.0,0.0244,,stop,13,هابط
IMXUSDT,k3.5+confirm,2022-11-03T08:00:00+00:00,2022-11-05T08:00:00+00:00,0.608608,0.647637428571,20.0,1.2826,,stop,12,هابط
IMXUSDT,k3.5+confirm,2022-12-13T16:00:00+00:00,2022-12-16T16:00:00+00:00,0.438438,0.439417285714,20.0,0.0447,,stop,18,هابط
IMXUSDT,k3.5+confirm,2022-12-19T20:00:00+00:00,2022-12-22T12:00:00+00:00,0.437437,0.426715714286,20.0,-0.4902,,stop,16,هابط
IMXUSDT,k3.5+confirm,2023-01-09T04:00:00+00:00,2023-01-10T00:00:00+00:00,0.465465,0.469387285714,20.0,0.1685,,stop,5,هابط
IMXUSDT,k3.5+confirm,2023-01-10T20:00:00+00:00,2023-01-18T12:00:00+00:00,0.494494,0.565862142857,20.0,2.8865,,stop,46,هابط
IMXUSDT,k3.5+confirm,2023-02-28T04:00:00+00:00,2023-03-02T08:00:00+00:00,1.034033,0.987012,20.0,-0.9095,,stop,13,صاعد
IMXUSDT,k3.5+confirm,2023-03-14T16:00:00+00:00,2023-03-15T12:00:00+00:00,1.235234,1.06399037314,20.0,-2.7727,,stop,5,صاعد
IMXUSDT,k3.5+confirm,2023-04-13T04:00:00+00:00,2023-04-18T00:00:00+00:00,1.148147,1.10575028571,20.0,-0.7385,,stop,29,صاعد
IMXUSDT,k3.5+confirm,2023-06-03T00:00:00+00:00,2023-06-05T12:00:00+00:00,0.804804,0.756956571429,20.0,-1.189,,stop,15,هابط
IMXUSDT,k3.5+confirm,2023-07-13T20:00:00+00:00,2023-07-14T16:00:00+00:00,0.755755,0.737832857143,20.0,-0.4743,,stop,5,هابط
IMXUSDT,k3.5+confirm,2023-11-19T12:00:00+00:00,2023-11-30T00:00:00+00:00,1.2971959,1.24752265714,20.0,-0.7659,,stop,63,صاعد
IMXUSDT,k3.5+confirm,2023-12-09T20:00:00+00:00,2023-12-11T00:00:00+00:00,1.9262243,1.70960227213,20.0,-2.2492,,stop,7,صاعد
LINKUSDT,k3.5+confirm,2022-06-08T00:00:00+00:00,2022-06-10T20:00:00+00:00,8.72872,8.14613142857,20.0,-1.3349,,stop,17,هابط
LINKUSDT,k3.5+confirm,2022-10-25T20:00:00+00:00,2022-10-31T20:00:00+00:00,7.138131,7.75666414286,20.0,1.733,,stop,36,هابط
LINKUSDT,k3.5+confirm,2022-12-13T16:00:00+00:00,2022-12-15T12:00:00+00:00,6.929923,6.55318468414,20.0,-1.0873,,stop,11,هابط
LINKUSDT,k3.5+confirm,2023-01-14T04:00:00+00:00,2023-01-16T12:00:00+00:00,6.825819,6.47023757143,20.0,-1.0419,,stop,14,هابط
LINKUSDT,k3.5+confirm,2023-08-09T16:00:00+00:00,2023-08-14T00:00:00+00:00,7.721714,7.30119121457,20.0,-1.0892,,stop,26,صاعد
LINKUSDT,k3.5+confirm,2023-09-18T04:00:00+00:00,2023-10-01T16:00:00+00:00,6.628622,7.80761314286,20.0,3.5573,,stop,81,هابط
LINKUSDT,k3.5+confirm,2023-10-21T16:00:00+00:00,2023-10-23T08:00:00+00:00,8.960952,10.2508817143,20.0,2.879,,stop,10,صاعد
PEPEUSDT,k3.5+confirm,2023-05-20T20:00:00+00:00,2023-05-22T00:00:00+00:00,1.75175e-06,1.55198217857e-06,20.0,-2.2808,,stop,7,هابط
PEPEUSDT,k3.5+confirm,2023-06-06T16:00:00+00:00,2023-06-10T04:00:00+00:00,1.21121e-06,1.02803807571e-06,20.0,-3.0246,,stop,21,هابط
PEPEUSDT,k3.5+confirm,2023-06-21T20:00:00+00:00,2023-06-24T16:00:00+00:00,1.4014e-06,1.49136428571e-06,20.0,1.2839,,stop,17,هابط
PEPEUSDT,k3.5+confirm,2023-07-13T20:00:00+00:00,2023-07-14T16:00:00+00:00,1.7017e-06,1.64121428571e-06,20.0,-0.7109,,stop,5,هابط
PEPEUSDT,k3.5+confirm,2023-08-08T20:00:00+00:00,2023-08-15T16:00:00+00:00,1.22122e-06,1.30298142857e-06,20.0,1.339,,stop,41,هابط
PEPEUSDT,k3.5+confirm,2023-09-22T16:00:00+00:00,2023-10-02T16:00:00+00:00,7.007e-07,7.52104285714e-07,20.0,1.4672,,stop,60,هابط
PEPEUSDT,k3.5+confirm,2023-10-21T16:00:00+00:00,2023-10-24T04:00:00+00:00,7.007e-07,9.5904e-07,20.0,7.3738,,stop,15,هابط
PEPEUSDT,k3.5+confirm,2023-10-25T16:00:00+00:00,2023-11-21T20:00:00+00:00,1.22122e-06,1.03039714286e-06,20.0,-3.1251,,stop,163,هابط
SHIBUSDT,k3.5+confirm,2021-09-17T00:00:00+00:00,2021-09-17T12:00:00+00:00,8.54854e-06,8.16040285714e-06,20.0,-0.9081,,stop,3,هابط
SHIBUSDT,k3.5+confirm,2021-10-04T16:00:00+00:00,2021-10-05T00:00:00+00:00,1.029028e-05,1.29927085714e-05,20.0,5.2524,,stop,2,صاعد
SHIBUSDT,k3.5+confirm,2021-10-05T16:00:00+00:00,2021-10-07T04:00:00+00:00,1.935934e-05,2.86627371429e-05,20.0,9.6113,,stop,9,صاعد
SHIBUSDT,k3.5+confirm,2021-10-23T20:00:00+00:00,2021-10-24T12:00:00+00:00,3.308305e-05,3.98957785714e-05,20.0,4.1186,,stop,4,صاعد
SHIBUSDT,k3.5+confirm,2021-10-24T16:00:00+00:00,2021-10-24T16:00:00+00:00,4.225221e-05,3.58716595757e-05,20.0,-3.0202,,stop,0,صاعد
SHIBUSDT,k3.5+confirm,2021-11-04T20:00:00+00:00,2021-11-18T12:00:00+00:00,4.988984e-05,4.23847157143e-05,20.0,-3.0087,,stop,82,صاعد
SHIBUSDT,k3.5+confirm,2021-11-25T20:00:00+00:00,2021-11-26T08:00:00+00:00,4.303299e-05,3.583461951e-05,20.0,-3.3455,,stop,3,صاعد
SHIBUSDT,k3.5+confirm,2022-03-19T16:00:00+00:00,2022-03-19T20:00:00+00:00,2.535533e-05,2.38671532414e-05,20.0,-1.1739,,stop,1,هابط
SHIBUSDT,k3.5+confirm,2022-03-23T20:00:00+00:00,2022-03-28T20:00:00+00:00,2.396394e-05,2.72898257143e-05,20.0,2.7757,,stop,30,هابط
SHIBUSDT,k3.5+confirm,2022-04-12T16:00:00+00:00,2022-04-18T04:00:00+00:00,2.681679e-05,2.39267678529e-05,20.0,-2.1554,,stop,33,هابط
SHIBUSDT,k3.5+confirm,2022-06-21T16:00:00+00:00,2022-06-22T00:00:00+00:00,1.040039e-05,1.010988e-05,20.0,-0.5587,,stop,2,هابط
SHIBUSDT,k3.5+confirm,2022-09-09T12:00:00+00:00,2022-09-13T12:00:00+00:00,1.299298e-05,1.22934085714e-05,20.0,-1.0768,,stop,24,هابط
SHIBUSDT,k3.5+confirm,2022-10-13T20:00:00+00:00,2022-10-19T20:00:00+00:00,1.047046e-05,9.67684489714e-06,20.0,-1.5159,,stop,36,هابط
SHIBUSDT,k3.5+confirm,2022-10-25T20:00:00+00:00,2022-10-27T08:00:00+00:00,1.030029e-05,1.116882e-05,20.0,1.6864,,stop,9,هابط
SHIBUSDT,k3.5+confirm,2022-10-28T20:00:00+00:00,2022-10-29T20:00:00+00:00,1.168167e-05,1.292706e-05,20.0,2.1322,,stop,6,هابط
SHIBUSDT,k3.5+confirm,2022-12-05T08:00:00+00:00,2022-12-05T16:00:00+00:00,9.77977e-06,9.35255094429e-06,20.0,-0.8737,,stop,2,هابط
SHIBUSDT,k3.5+confirm,2022-12-13T16:00:00+00:00,2022-12-16T08:00:00+00:00,9.17917e-06,8.68119440143e-06,20.0,-1.085,,stop,16,هابط
SHIBUSDT,k3.5+confirm,2022-12-18T04:00:00+00:00,2022-12-19T20:00:00+00:00,8.64864e-06,7.97280207429e-06,20.0,-1.5629,,stop,10,هابط
SHIBUSDT,k3.5+confirm,2023-01-10T12:00:00+00:00,2023-01-11T00:00:00+00:00,9.57957e-06,8.87604221571e-06,20.0,-1.4688,,stop,3,هابط
SHIBUSDT,k3.5+confirm,2023-04-01T20:00:00+00:00,2023-04-02T12:00:00+00:00,1.138137e-05,1.08508654157e-05,20.0,-0.9322,,stop,4,هابط
SHIBUSDT,k3.5+confirm,2023-05-22T12:00:00+00:00,2023-05-24T00:00:00+00:00,8.82882e-06,8.71128e-06,20.0,-0.2663,,stop,9,هابط
SHIBUSDT,k3.5+confirm,2023-06-18T16:00:00+00:00,2023-06-20T12:00:00+00:00,7.35735e-06,6.99142300714e-06,20.0,-0.9947,,stop,11,هابط
SHIBUSDT,k3.5+confirm,2023-06-22T04:00:00+00:00,2023-06-24T16:00:00+00:00,8.12812e-06,7.67802857143e-06,20.0,-1.1075,,stop,15,هابط
SHIBUSDT,k3.5+confirm,2023-07-13T20:00:00+00:00,2023-07-14T16:00:00+00:00,7.94794e-06,7.88496428571e-06,20.0,-0.1585,,stop,5,هابط
