symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ATOMUSDT,k3.5+cool_n3,2024-01-03T16:00:00+00:00,2024-01-07T20:00:00+00:00,10.2216605,9.3618305,20.0,-1.6824,,stop,25,صاعد
ATOMUSDT,k3.5+cool_n3,2024-02-11T20:00:00+00:00,2024-02-20T12:00:00+00:00,9.7973425,10.114123,20.0,0.6467,,stop,52,عرضي
ATOMUSDT,k3.5+cool_n3,2024-03-05T20:00:00+00:00,2024-03-15T00:00:00+00:00,11.4345695,12.51903225,20.0,1.8968,,stop,55,صاعد
ATOMUSDT,k3.5+cool_n3,2024-03-27T16:00:00+00:00,2024-04-01T04:00:00+00:00,12.4633405,11.6611951821,20.0,-1.2872,,stop,27,صاعد
ATOMUSDT,k3.5+cool_n3,2024-05-01T00:00:00+00:00,2024-05-11T08:00:00+00:00,8.4483315,8.57370775,20.0,0.2968,,stop,62,هابط
ATOMUSDT,k3.5+cool_n3,2024-05-21T00:00:00+00:00,2024-05-22T12:00:00+00:00,8.92568925,8.49788248306,20.0,-0.9586,,stop,9,هابط
ATOMUSDT,k3.5+cool_n3,2024-06-07T20:00:00+00:00,2024-06-11T12:00:00+00:00,8.034021,7.5534735,20.0,-1.1963,,stop,22,هابط
ATOMUSDT,k3.5+cool_n3,2024-08-04T20:00:00+00:00,2024-08-05T00:00:00+00:00,5.06679725,4.67150527706,20.0,-1.5603,,stop,1,هابط
ATOMUSDT,k3.5+cool_n3,2024-09-04T04:00:00+00:00,2024-09-06T16:00:00+00:00,4.06404575,3.77282115319,20.0,-1.4332,,stop,15,هابط
ATOMUSDT,k3.5+cool_n3,2024-09-18T20:00:00+00:00,2024-09-30T12:00:00+00:00,4.2571905,4.81909725,20.0,2.6398,,stop,70,هابط
ATOMUSDT,k3.5+cool_n3,2024-10-01T20:00:00+00:00,2024-10-09T20:00:00+00:00,4.44833375,4.17900625,20.0,-1.2109,,stop,48,عرضي
ATOMUSDT,k3.5+cool_n3,2024-12-10T00:00:00+00:00,2024-12-10T16:00:00+00:00,8.39929475,7.28971621644,20.0,-2.6421,,stop,4,صاعد
ATOMUSDT,k3.5+cool_n3,2025-03-02T20:00:00+00:00,2025-03-03T08:00:00+00:00,4.8616435,4.51611101737,20.0,-1.4215,,stop,3,هابط
ATOMUSDT,k3.5+cool_n3,2025-04-04T16:00:00+00:00,2025-04-06T16:00:00+00:00,5.04277925,4.52384810306,20.0,-2.0581,,stop,12,هابط
ATOMUSDT,k3.5+cool_n3,2025-05-09T12:00:00+00:00,2025-05-13T00:00:00+00:00,4.92068775,5.08318475,20.0,0.6605,,stop,21,هابط
ATOMUSDT,k3.5+cool_n3,2025-06-13T04:00:00+00:00,2025-06-20T16:00:00+00:00,4.099072,3.88836725,20.0,-1.0281,,stop,45,هابط
ATOMUSDT,k3.5+cool_n3,2025-07-02T20:00:00+00:00,2025-07-04T04:00:00+00:00,4.24017775,4.04642636669,20.0,-0.9139,,stop,8,هابط
ATOMUSDT,k3.5+cool_n3,2025-07-09T20:00:00+00:00,2025-07-12T12:00:00+00:00,4.315234,4.53388275,20.0,1.0134,,stop,16,هابط
ATOMUSDT,k3.5+cool_n3,2025-08-08T04:00:00+00:00,2025-08-11T12:00:00+00:00,4.50437575,4.46336425,20.0,-0.1821,,stop,20,هابط
ATOMUSDT,k3.5+cool_n3,2025-10-01T12:00:00+00:00,2025-10-07T12:00:00+00:00,4.211156,4.06280775,20.0,-0.7045,,stop,36,هابط
ATOMUSDT,k3.5+cool_n3,2025-10-11T00:00:00+00:00,2025-12-01T12:00:00+00:00,2.9442065,2.19135525,20.0,-5.1141,,stop,309,هابط
