symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,rnd310054,2024-01-15T08:00:00+00:00,2024-01-18T16:00:00+00:00,10.043033,9.64020728571,20.0,-0.8022,,stop,20
ATOMUSDT,rnd310054,2024-02-12T08:00:00+00:00,2024-02-20T12:00:00+00:00,9.753744,10.1572611429,20.0,0.8274,,stop,49
ATOMUSDT,rnd310054,2024-05-01T20:00:00+00:00,2024-05-14T04:00:00+00:00,8.366358,8.23133185714,20.0,-0.3228,,stop,74
ATOMUSDT,rnd310054,2024-06-17T04:00:00+00:00,2024-06-17T16:00:00+00:00,7.129122,6.917197878,20.0,-0.5945,,stop,3
ATOMUSDT,rnd310054,2024-08-17T04:00:00+00:00,2024-08-25T04:00:00+00:00,4.570566,5.07178028571,20.0,2.1932,,stop,48
ATOMUSDT,rnd310054,2024-09-02T04:00:00+00:00,2024-09-03T16:00:00+00:00,4.355351,4.17053957143,20.0,-0.8487,,stop,9
ATOMUSDT,rnd310054,2024-09-14T08:00:00+00:00,2024-09-16T00:00:00+00:00,4.170166,4.01061565543,20.0,-0.7652,,stop,10
ATOMUSDT,rnd310054,2024-10-05T16:00:00+00:00,2024-10-07T20:00:00+00:00,4.66466,4.46367471429,20.0,-0.8617,,stop,13
ATOMUSDT,rnd310054,2024-10-09T16:00:00+00:00,2024-10-10T16:00:00+00:00,4.338334,4.08371048743,20.0,-1.1738,,stop,6
ATOMUSDT,rnd310054,2024-10-14T08:00:00+00:00,2024-10-17T08:00:00+00:00,4.466462,4.299696,20.0,-0.7467,,stop,18
ATOMUSDT,rnd310054,2024-10-26T04:00:00+00:00,2024-11-01T00:00:00+00:00,4.469465,4.14388839214,20.0,-1.4569,,stop,35
ATOMUSDT,rnd310054,2024-11-22T00:00:00+00:00,2024-11-24T12:00:00+00:00,6.42642,8.56314257143,20.0,6.6498,,stop,15
ATOMUSDT,rnd310054,2024-12-31T16:00:00+00:00,2025-01-07T16:00:00+00:00,6.472466,6.98429442857,20.0,1.5816,,stop,42
ATOMUSDT,rnd310054,2025-01-20T20:00:00+00:00,2025-02-02T16:00:00+00:00,6.131125,5.33114566071,20.0,-2.6096,,stop,77
ATOMUSDT,rnd310054,2025-02-08T04:00:00+00:00,2025-02-18T12:00:00+00:00,4.385381,4.538457,20.0,0.6981,,stop,62
ATOMUSDT,rnd310054,2025-03-05T04:00:00+00:00,2025-03-10T16:00:00+00:00,4.120116,3.69601457143,20.0,-2.0587,,stop,33
ATOMUSDT,rnd310054,2025-04-05T20:00:00+00:00,2025-04-06T16:00:00+00:00,4.863859,4.46385496243,20.0,-1.6448,,stop,5
ATOMUSDT,rnd310054,2025-08-20T08:00:00+00:00,2025-08-25T04:00:00+00:00,4.34434,4.57413557143,20.0,1.0579,,stop,29
ATOMUSDT,rnd310054,2025-10-03T04:00:00+00:00,2025-10-07T12:00:00+00:00,4.23423,4.04438014286,20.0,-0.8967,,stop,26
ATOMUSDT,rnd310054,2025-10-10T08:00:00+00:00,2025-10-10T16:00:00+00:00,4.049045,3.90666085714,20.0,-0.7033,,stop,2
ATOMUSDT,rnd310054,2025-12-12T16:00:00+00:00,2025-12-17T16:00:00+00:00,2.105103,1.97216871429,20.0,-1.263,,stop,30
ATOMUSDT,rnd310054,2026-03-21T20:00:00+00:00,2026-03-22T20:00:00+00:00,1.830829,1.75353799243,20.0,-0.8443,,stop,6
