symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,rnd410054,2021-09-10T08:00:00+00:00,2021-09-20T12:00:00+00:00,25.99597,36.4977514286,20.0,8.0795,,stop,61
ATOMUSDT,rnd410054,2021-09-28T08:00:00+00:00,2021-10-10T20:00:00+00:00,36.036,32.9498742857,20.0,-1.7128,,stop,75
ATOMUSDT,rnd410054,2021-10-22T12:00:00+00:00,2021-10-27T04:00:00+00:00,35.32529,38.8696628571,20.0,2.0067,,stop,28
ATOMUSDT,rnd410054,2021-10-29T08:00:00+00:00,2021-11-10T20:00:00+00:00,38.19816,32.6940046971,20.0,-2.8819,,stop,75
ATOMUSDT,rnd410054,2022-01-22T20:00:00+00:00,2022-01-31T00:00:00+00:00,28.15813,25.6614557143,20.0,-1.7733,,stop,49
ATOMUSDT,rnd410054,2022-02-09T00:00:00+00:00,2022-02-11T20:00:00+00:00,30.42039,27.5820660386,20.0,-1.8661,,stop,17
ATOMUSDT,rnd410054,2022-03-02T12:00:00+00:00,2022-03-06T08:00:00+00:00,30.95092,29.0152414286,20.0,-1.2508,,stop,23
ATOMUSDT,rnd410054,2022-04-13T20:00:00+00:00,2022-04-18T04:00:00+00:00,24.8248,22.9161466286,20.0,-1.5377,,stop,26
ATOMUSDT,rnd410054,2022-05-30T20:00:00+00:00,2022-06-01T16:00:00+00:00,10.23022,9.66746571429,20.0,-1.1002,,stop,11
ATOMUSDT,rnd410054,2022-06-13T20:00:00+00:00,2022-06-18T16:00:00+00:00,6.47647,5.65434,20.0,-2.5388,,stop,29
ATOMUSDT,rnd410054,2022-08-14T00:00:00+00:00,2022-08-15T20:00:00+00:00,11.916905,11.195698095,20.0,-1.2104,,stop,11
ATOMUSDT,rnd410054,2022-12-05T00:00:00+00:00,2022-12-06T08:00:00+00:00,10.266256,10.073916,20.0,-0.3747,,stop,8
ATOMUSDT,rnd410054,2022-12-07T04:00:00+00:00,2022-12-07T04:00:00+00:00,10.126116,9.73797541971,20.0,-0.7666,,stop,0
ATOMUSDT,rnd410054,2022-12-16T16:00:00+00:00,2022-12-16T20:00:00+00:00,9.073064,8.56752361457,20.0,-1.1144,,stop,1
ATOMUSDT,rnd410054,2023-02-01T20:00:00+00:00,2023-02-09T16:00:00+00:00,14.662648,13.8264454286,20.0,-1.1406,,stop,47
ATOMUSDT,rnd410054,2023-03-12T16:00:00+00:00,2023-03-15T12:00:00+00:00,11.075064,12.1357092857,20.0,1.9154,,stop,17
ATOMUSDT,rnd410054,2023-04-29T00:00:00+00:00,2023-05-01T16:00:00+00:00,11.726715,10.8799313207,20.0,-1.4442,,stop,16
ATOMUSDT,rnd410054,2023-05-22T00:00:00+00:00,2023-05-24T12:00:00+00:00,10.48047,10.2638687143,20.0,-0.4133,,stop,15
ATOMUSDT,rnd410054,2023-05-25T16:00:00+00:00,2023-05-31T12:00:00+00:00,10.436426,10.4708044286,20.0,0.0659,,stop,35
ATOMUSDT,rnd410054,2023-07-09T08:00:00+00:00,2023-07-12T16:00:00+00:00,9.373364,9.08404971429,20.0,-0.6173,,stop,20
ATOMUSDT,rnd410054,2023-07-12T20:00:00+00:00,2023-07-14T16:00:00+00:00,9.002994,9.81888557143,20.0,1.8125,,stop,11
ATOMUSDT,rnd410054,2023-07-22T04:00:00+00:00,2023-07-24T00:00:00+00:00,9.548539,9.14866688957,20.0,-0.8376,,stop,11
ATOMUSDT,rnd410054,2023-08-05T20:00:00+00:00,2023-08-15T16:00:00+00:00,8.505497,8.23832485714,20.0,-0.6282,,stop,59
ATOMUSDT,rnd410054,2023-08-27T12:00:00+00:00,2023-08-30T12:00:00+00:00,7.132125,7.195797,20.0,0.1785,,stop,18
ATOMUSDT,rnd410054,2023-10-11T12:00:00+00:00,2023-11-09T16:00:00+00:00,6.674668,8.21334985714,20.0,4.6105,,stop,175
ATOMUSDT,rnd410054,2023-12-14T00:00:00+00:00,2023-12-31T00:00:00+00:00,11.67166,10.755234,20.0,-1.5703,,stop,102
BTCUSDT,rnd410054,2021-10-15T00:00:00+00:00,2021-10-22T12:00:00+00:00,57405.28794,61774.8775714,20.0,1.5224,,stop,45
BTCUSDT,rnd410054,2021-11-14T08:00:00+00:00,2021-11-16T00:00:00+00:00,64692.20758,61997.30064,20.0,-0.8331,,stop,10
BTCUSDT,rnd410054,2021-11-18T04:00:00+00:00,2021-11-19T00:00:00+00:00,59899.85001,55608.2789243,20.0,-1.4329,,stop,5
BTCUSDT,rnd410054,2022-02-23T04:00:00+00:00,2022-02-24T00:00:00+00:00,37788.41066,34830.6701243,20.0,-1.5654,,stop,5
BTCUSDT,rnd410054,2022-02-28T00:00:00+00:00,2022-03-04T00:00:00+00:00,37736.77908,41410.5194571,20.0,1.947,,stop,24
BTCUSDT,rnd410054,2022-03-06T00:00:00+00:00,2022-03-07T16:00:00+00:00,39437.36797,37342.6326002,20.0,-1.0623,,stop,10
BTCUSDT,rnd410054,2022-04-19T04:00:00+00:00,2022-04-21T20:00:00+00:00,40734.48379,40348.43118,20.0,-0.1895,,stop,16
BTCUSDT,rnd410054,2022-06-04T04:00:00+00:00,2022-06-07T00:00:00+00:00,29589.68012,29848.0791857,20.0,0.1747,,stop,17
BTCUSDT,rnd410054,2022-07-29T04:00:00+00:00,2022-08-04T16:00:00+00:00,23936.6127,22492.5529891,20.0,-1.2066,,stop,39
BTCUSDT,rnd410054,2022-09-06T16:00:00+00:00,2022-09-06T16:00:00+00:00,19838.18837,19179.0722423,20.0,-0.6645,,stop,0
BTCUSDT,rnd410054,2022-11-17T00:00:00+00:00,2022-11-21T16:00:00+00:00,16678.27161,15844.6539527,20.0,-0.9996,,stop,28
BTCUSDT,rnd410054,2022-11-21T20:00:00+00:00,2022-12-15T12:00:00+00:00,15737.23151,17463.4861757,20.0,2.1938,,stop,142
BTCUSDT,rnd410054,2023-05-30T12:00:00+00:00,2023-05-31T04:00:00+00:00,28049.41139,27223.1377875,20.0,-0.5892,,stop,4
BTCUSDT,rnd410054,2023-08-28T20:00:00+00:00,2023-08-29T20:00:00+00:00,26022.26627,27631.6250014,20.0,1.2369,,stop,6
DOGEUSDT,rnd410054,2021-10-08T08:00:00+00:00,2021-10-12T12:00:00+00:00,0.2457455,0.2167785045,20.0,-2.3575,,stop,25
DOGEUSDT,rnd410054,2021-10-17T20:00:00+00:00,2021-10-18T20:00:00+00:00,0.235235,0.246838628571,20.0,0.9866,,stop,6
DOGEUSDT,rnd410054,2021-11-05T12:00:00+00:00,2021-11-10T04:00:00+00:00,0.2605603,0.2676321,20.0,0.5428,,stop,28
DOGEUSDT,rnd410054,2021-11-19T16:00:00+00:00,2021-11-22T16:00:00+00:00,0.2359357,0.216451175014,20.0,-1.6517,,stop,18
DOGEUSDT,rnd410054,2021-11-23T04:00:00+00:00,2021-11-24T08:00:00+00:00,0.2225223,0.217567928571,20.0,-0.4453,,stop,7
DOGEUSDT,rnd410054,2022-02-15T00:00:00+00:00,2022-02-21T20:00:00+00:00,0.1459458,0.133044764914,20.0,-1.7679,,stop,41
