symbol,في_السلة_15,زائدة,start,end,تبدأ_بعد_الاختيار,تنتهي_قبل_الحكم,rows
ATOMUSDT,True,False,2021-09-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,False,False,2629240
BNBUSDT,False,True,2021-09-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,False,False,2629240
BTCUSDT,True,False,2021-09-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,False,False,2629240
DOGEUSDT,True,False,2021-09-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,False,False,2629240
ETHUSDT,True,False,2021-09-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,False,False,2629240
FILUSDT,True,False,2021-09-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,False,False,2629240
GRAMUSDT,True,False,2024-08-08 10:00:00+00:00,2026-08-31 23:59:00+00:00,True,False,1081980
HNTUSDT,False,True,2021-09-01 00:00:00+00:00,2022-10-14 02:59:00+00:00,False,True,587580
IMXUSDT,True,False,2022-01-10 10:00:00+00:00,2026-08-31 23:59:00+00:00,True,False,2440120
LINKUSDT,True,False,2021-09-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,False,False,2629240
PEPEUSDT,True,False,2023-05-05 18:00:00+00:00,2026-08-31 23:59:00+00:00,True,False,1748520
RENDERUSDT,True,False,2024-07-26 08:00:00+00:00,2026-08-31 23:59:00+00:00,True,False,1104000
SHIBUSDT,True,False,2021-09-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,False,False,2629239
SOLUSDT,True,False,2021-09-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,False,False,2629239
TONUSDT,True,False,2024-08-08 10:00:00+00:00,2026-06-30 02:59:00+00:00,True,False,994620
VETUSDT,True,False,2021-09-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,False,False,2629240
XLMUSDT,True,False,2021-09-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,False,False,2629240
