symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2021-09-13T16:00:00+00:00,2021-09-21T00:00:00+00:00,38.20817,32.7843257143,20.0,-2.8391,,stop,44,صاعد
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2021-10-12T16:00:00+00:00,2021-10-27T08:00:00+00:00,33.55352,37.2712628571,20.0,2.216,,stop,88,صاعد
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2021-10-27T12:00:00+00:00,2021-11-10T20:00:00+00:00,37.15712,33.4279671429,20.0,-2.0072,,stop,86,صاعد
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2021-12-22T16:00:00+00:00,2021-12-28T00:00:00+00:00,26.94692,29.2364485714,20.0,1.6993,,stop,32,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2022-04-18T20:00:00+00:00,2022-04-21T20:00:00+00:00,23.73371,22.9984071429,20.0,-0.6196,,stop,18,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2022-05-10T08:00:00+00:00,2022-05-11T04:00:00+00:00,14.24423,11.8127625557,20.0,-3.414,,stop,5,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2022-05-20T12:00:00+00:00,2022-05-24T12:00:00+00:00,11.99198,10.70626302,20.0,-2.1443,,stop,24,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2022-06-07T04:00:00+00:00,2022-06-10T12:00:00+00:00,8.97897,8.39445428571,20.0,-1.302,,stop,20,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2022-06-22T20:00:00+00:00,2022-06-28T20:00:00+00:00,7.28728,7.44825857143,20.0,0.4418,,stop,36,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2022-08-10T04:00:00+00:00,2022-08-19T00:00:00+00:00,10.755745,10.8148885714,20.0,0.11,,stop,53,عرضي
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2022-09-13T16:00:00+00:00,2022-09-20T12:00:00+00:00,14.327313,14.2568717143,20.0,-0.0983,,stop,41,عرضي
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2022-10-13T16:00:00+00:00,2022-10-20T16:00:00+00:00,11.333322,11.3190981429,20.0,-0.0251,,stop,42,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2022-10-25T20:00:00+00:00,2022-11-02T08:00:00+00:00,12.174162,13.5096197143,20.0,2.1939,,stop,45,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2022-12-27T12:00:00+00:00,2022-12-28T00:00:00+00:00,9.327318,9.04487121771,20.0,-0.6056,,stop,3,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2023-01-02T08:00:00+00:00,2023-01-06T04:00:00+00:00,9.898889,9.969021,20.0,0.1417,,stop,23,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2023-01-08T16:00:00+00:00,2023-01-10T00:00:00+00:00,10.50049,10.891098,20.0,0.744,,stop,8,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2023-03-14T20:00:00+00:00,2023-03-15T12:00:00+00:00,13.331318,12.215340432,20.0,-1.6742,,stop,4,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2023-03-28T16:00:00+00:00,2023-04-03T00:00:00+00:00,11.34133,10.7022242057,20.0,-1.127,,stop,32,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2023-04-13T16:00:00+00:00,2023-04-18T00:00:00+00:00,11.80179,12.2003588571,20.0,0.6754,,stop,26,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2023-04-19T12:00:00+00:00,2023-04-21T12:00:00+00:00,11.82181,11.1001630114,20.0,-1.2209,,stop,12,عرضي
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2023-04-27T00:00:00+00:00,2023-05-03T12:00:00+00:00,10.951941,10.8194554286,20.0,-0.2419,,stop,39,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2023-05-10T16:00:00+00:00,2023-06-05T16:00:00+00:00,10.878868,10.1290859177,20.0,-1.3784,,stop,156,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2023-06-20T20:00:00+00:00,2023-06-26T20:00:00+00:00,8.7087,9.11972828571,20.0,0.9439,,stop,36,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2023-07-13T20:00:00+00:00,2023-07-14T16:00:00+00:00,9.74974,9.70642671429,20.0,-0.0889,,stop,5,هابط
ATOMUSDT,k=3.0 + تهدئة 3 + جسم 0.4,2023-08-17T12:00:00+00:00,2023-08-17T20:00:00+00:00,8.140132,7.67227347514,20.0,-1.1495,,stop,2,هابط
