symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ETHUSDT,انحراف الدخول × عرضي,2022-08-10T16:00:00+00:00,2022-08-17T12:00:00+00:00,1839.32749,1833.55318286,20.0,-0.0628,,stop,41,عرضي
ETHUSDT,انحراف الدخول × عرضي,2023-02-14T16:00:00+00:00,2023-02-22T00:00:00+00:00,1546.38484,1627.66356429,20.0,1.0512,,stop,44,عرضي
ETHUSDT,انحراف الدخول × عرضي,2023-06-21T16:00:00+00:00,2023-06-28T16:00:00+00:00,1851.65981,1828.72658571,20.0,-0.2477,,stop,42,عرضي
ETHUSDT,انحراف الدخول × عرضي,2023-08-08T20:00:00+00:00,2023-08-15T16:00:00+00:00,1860.92907,1825.17884986,20.0,-0.3842,,stop,41,عرضي
FILUSDT,انحراف الدخول × عرضي,2022-08-16T16:00:00+00:00,2022-08-18T20:00:00+00:00,8.63863,7.83435922714,20.0,-1.862,,stop,13,عرضي
FILUSDT,انحراف الدخول × عرضي,2023-01-21T04:00:00+00:00,2023-01-23T12:00:00+00:00,4.906902,5.260734,20.0,1.4422,,stop,14,عرضي
FILUSDT,انحراف الدخول × عرضي,2023-07-13T20:00:00+00:00,2023-07-14T16:00:00+00:00,4.6046,4.35095897143,20.0,-1.1017,,stop,5,عرضي
LINKUSDT,انحراف الدخول × عرضي,2021-09-06T16:00:00+00:00,2021-09-07T08:00:00+00:00,35.61558,32.54550192,20.0,-1.724,,stop,4,عرضي
LINKUSDT,انحراف الدخول × عرضي,2021-11-05T16:00:00+00:00,2021-11-10T20:00:00+00:00,32.82279,34.7437928571,20.0,1.1705,,stop,31,عرضي
LINKUSDT,انحراف الدخول × عرضي,2023-04-10T20:00:00+00:00,2023-04-12T00:00:00+00:00,7.295288,7.097895,20.0,-0.5412,,stop,7,عرضي
SOLUSDT,انحراف الدخول × عرضي,2021-12-15T20:00:00+00:00,2021-12-29T20:00:00+00:00,175.42525,170.485058571,20.0,-0.5632,,stop,84,عرضي
SOLUSDT,انحراف الدخول × عرضي,2023-07-07T16:00:00+00:00,2023-07-14T04:00:00+00:00,21.24122,28.2474385714,20.0,6.5968,,stop,39,عرضي
XLMUSDT,انحراف الدخول × عرضي,2022-09-30T00:00:00+00:00,2022-10-11T08:00:00+00:00,0.1156155,0.118010442857,20.0,0.4143,,stop,68,عرضي
XLMUSDT,انحراف الدخول × عرضي,2023-01-21T00:00:00+00:00,2023-01-24T20:00:00+00:00,0.0889889,0.08991,20.0,0.207,,stop,23,عرضي
XLMUSDT,انحراف الدخول × عرضي,2023-08-20T12:00:00+00:00,2023-08-21T12:00:00+00:00,0.1309308,0.122522440629,20.0,-1.2844,,stop,6,عرضي
XLMUSDT,انحراف الدخول × عرضي,2023-08-29T16:00:00+00:00,2023-08-31T12:00:00+00:00,0.1240239,0.118012911814,20.0,-0.9693,,stop,11,عرضي
XLMUSDT,انحراف الدخول × عرضي,2023-09-03T16:00:00+00:00,2023-09-05T16:00:00+00:00,0.1178177,0.122834185714,20.0,0.8516,,stop,12,عرضي
XLMUSDT,انحراف الدخول × عرضي,2023-10-20T00:00:00+00:00,2023-10-24T08:00:00+00:00,0.1075074,0.113657657143,20.0,1.1442,,stop,26,عرضي
