symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ETHUSDT,انحراف الدخول × هابط,2023-10-24T04:00:00+00:00,2023-11-14T16:00:00+00:00,1811.06926,1997.28500143,20.0,2.0564,,stop,129,هابط
FILUSDT,انحراف الدخول × هابط,2021-10-31T16:00:00+00:00,2021-11-06T08:00:00+00:00,63.44338,57.98533662,20.0,-1.7206,,stop,34,هابط
FILUSDT,انحراف الدخول × هابط,2021-11-09T16:00:00+00:00,2021-11-10T20:00:00+00:00,66.77671,63.5820685714,20.0,-0.9568,,stop,7,هابط
FILUSDT,انحراف الدخول × هابط,2021-11-26T04:00:00+00:00,2021-11-26T08:00:00+00:00,57.5575,53.2042425,20.0,-1.5127,,stop,1,هابط
FILUSDT,انحراف الدخول × هابط,2022-03-23T04:00:00+00:00,2022-03-28T20:00:00+00:00,19.04903,24.6610285714,20.0,5.8922,,stop,34,هابط
FILUSDT,انحراف الدخول × هابط,2022-09-11T16:00:00+00:00,2022-09-13T12:00:00+00:00,6.65665,6.10054335,20.0,-1.6708,,stop,11,هابط
FILUSDT,انحراف الدخول × هابط,2022-11-03T08:00:00+00:00,2022-11-06T20:00:00+00:00,5.99599,5.80276285714,20.0,-0.6445,,stop,21,هابط
FILUSDT,انحراف الدخول × هابط,2023-10-21T16:00:00+00:00,2023-10-24T04:00:00+00:00,3.331328,3.80005328571,20.0,2.814,,stop,15,هابط
LINKUSDT,انحراف الدخول × هابط,2022-05-22T12:00:00+00:00,2022-05-24T12:00:00+00:00,7.27727,6.97730142857,20.0,-0.8244,,stop,12,هابط
LINKUSDT,انحراف الدخول × هابط,2022-06-08T00:00:00+00:00,2022-06-10T20:00:00+00:00,8.72872,8.14613142857,20.0,-1.3349,,stop,17,هابط
LINKUSDT,انحراف الدخول × هابط,2022-10-25T20:00:00+00:00,2022-10-31T20:00:00+00:00,7.138131,7.75666414286,20.0,1.733,,stop,36,هابط
LINKUSDT,انحراف الدخول × هابط,2022-11-22T16:00:00+00:00,2022-12-07T04:00:00+00:00,6.408402,6.89452714286,20.0,1.5171,,stop,87,هابط
LINKUSDT,انحراف الدخول × هابط,2022-12-13T16:00:00+00:00,2022-12-15T12:00:00+00:00,6.929923,6.55318468414,20.0,-1.0873,,stop,11,هابط
LINKUSDT,انحراف الدخول × هابط,2023-09-18T12:00:00+00:00,2023-10-02T12:00:00+00:00,6.737731,7.75994657143,20.0,3.0343,,stop,84,هابط
SOLUSDT,انحراف الدخول × هابط,2022-07-27T20:00:00+00:00,2022-08-01T16:00:00+00:00,39.41938,40.78917,20.0,0.695,,stop,29,هابط
SOLUSDT,انحراف الدخول × هابط,2023-06-20T20:00:00+00:00,2023-06-23T00:00:00+00:00,16.37636,16.5106157143,20.0,0.164,,stop,13,هابط
SOLUSDT,انحراف الدخول × هابط,2023-07-06T20:00:00+00:00,2023-07-07T04:00:00+00:00,20.93091,19.2437898043,20.0,-1.6121,,stop,2,هابط
SOLUSDT,انحراف الدخول × هابط,2023-08-29T16:00:00+00:00,2023-08-31T12:00:00+00:00,21.35133,20.2471340271,20.0,-1.0343,,stop,11,هابط
SOLUSDT,انحراف الدخول × هابط,2023-09-05T16:00:00+00:00,2023-09-06T12:00:00+00:00,20.4204,19.4366581714,20.0,-0.9635,,stop,5,هابط
XLMUSDT,انحراف الدخول × هابط,2022-05-31T08:00:00+00:00,2022-06-01T16:00:00+00:00,0.1488487,0.138031958443,20.0,-1.4534,,stop,8,هابط
XLMUSDT,انحراف الدخول × هابط,2022-09-20T16:00:00+00:00,2022-09-21T20:00:00+00:00,0.1187186,0.109180738543,20.0,-1.6068,,stop,7,هابط
XLMUSDT,انحراف الدخول × هابط,2022-10-25T20:00:00+00:00,2022-11-01T12:00:00+00:00,0.1127126,0.108891,20.0,-0.6781,,stop,40,هابط
XLMUSDT,انحراف الدخول × هابط,2022-11-04T12:00:00+00:00,2022-11-07T04:00:00+00:00,0.1130129,0.108234514286,20.0,-0.8456,,stop,16,هابط
XLMUSDT,انحراف الدخول × هابط,2023-05-31T00:00:00+00:00,2023-06-05T12:00:00+00:00,0.0908908,0.0895817571429,20.0,-0.288,,stop,33,هابط
XLMUSDT,انحراف الدخول × هابط,2023-06-21T16:00:00+00:00,2023-06-28T08:00:00+00:00,0.0856856,0.0997572857143,20.0,3.2845,,stop,40,هابط
