symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,rnd210056,2024-02-13T04:00:00+00:00,2024-02-21T04:00:00+00:00,9.953944,9.97487228571,20.0,0.0421,,stop,48
ATOMUSDT,rnd210056,2024-03-04T12:00:00+00:00,2024-03-05T16:00:00+00:00,12.54253,11.67833997,20.0,-1.378,,stop,7
ATOMUSDT,rnd210056,2024-03-06T04:00:00+00:00,2024-03-15T08:00:00+00:00,11.79178,12.2099207143,20.0,0.7092,,stop,55
ATOMUSDT,rnd210056,2024-03-31T12:00:00+00:00,2024-04-01T04:00:00+00:00,12.295283,11.6880475384,20.0,-0.9878,,stop,4
ATOMUSDT,rnd210056,2024-05-18T04:00:00+00:00,2024-05-19T08:00:00+00:00,8.717709,8.38574343386,20.0,-0.7616,,stop,7
ATOMUSDT,rnd210056,2024-06-17T08:00:00+00:00,2024-06-17T16:00:00+00:00,7.14714,6.92538625286,20.0,-0.6205,,stop,2
ATOMUSDT,rnd210056,2024-06-21T00:00:00+00:00,2024-06-24T08:00:00+00:00,6.845839,6.49201905386,20.0,-1.0337,,stop,20
ATOMUSDT,rnd210056,2024-07-02T04:00:00+00:00,2024-07-03T00:00:00+00:00,6.888882,6.66256990371,20.0,-0.657,,stop,5
ATOMUSDT,rnd210056,2024-08-04T04:00:00+00:00,2024-08-05T00:00:00+00:00,5.189184,4.79973660171,20.0,-1.501,,stop,5
ATOMUSDT,rnd210056,2024-09-10T04:00:00+00:00,2024-09-16T00:00:00+00:00,4.04404,3.96916971429,20.0,-0.3703,,stop,35
ATOMUSDT,rnd210056,2024-12-21T12:00:00+00:00,2025-01-13T08:00:00+00:00,7.046039,6.05864957143,20.0,-2.8027,,stop,137
ATOMUSDT,rnd210056,2025-01-14T16:00:00+00:00,2025-01-19T08:00:00+00:00,6.218212,6.29997942857,20.0,0.263,,stop,28
ATOMUSDT,rnd210056,2025-01-28T12:00:00+00:00,2025-02-02T08:00:00+00:00,5.897892,5.60125028571,20.0,-1.0059,,stop,29
ATOMUSDT,rnd210056,2025-03-24T16:00:00+00:00,2025-03-28T04:00:00+00:00,4.923919,4.64355650957,20.0,-1.1388,,stop,21
ATOMUSDT,rnd210056,2025-04-18T00:00:00+00:00,2025-04-28T00:00:00+00:00,4.117113,4.337658,20.0,1.0714,,stop,60
ATOMUSDT,rnd210056,2025-05-19T12:00:00+00:00,2025-05-25T00:00:00+00:00,4.649645,4.679316,20.0,0.1276,,stop,33
ATOMUSDT,rnd210056,2025-08-04T00:00:00+00:00,2025-08-11T20:00:00+00:00,4.277273,4.45368471429,20.0,0.8249,,stop,47
ATOMUSDT,rnd210056,2025-09-16T12:00:00+00:00,2025-09-20T00:00:00+00:00,4.466462,4.44198214286,20.0,-0.1096,,stop,21
ATOMUSDT,rnd210056,2025-11-01T04:00:00+00:00,2025-11-03T08:00:00+00:00,2.98298,2.79375487714,20.0,-1.2687,,stop,13
ATOMUSDT,rnd210056,2026-02-01T16:00:00+00:00,2026-02-05T16:00:00+00:00,1.917916,1.85100428571,20.0,-0.6978,,stop,24
ATOMUSDT,rnd210056,2026-03-05T12:00:00+00:00,2026-03-06T12:00:00+00:00,1.878877,1.774600623,20.0,-1.11,,stop,6
ATOMUSDT,rnd210056,2026-03-16T08:00:00+00:00,2026-03-18T12:00:00+00:00,1.907906,1.93477757143,20.0,0.2817,,stop,13
ATOMUSDT,rnd210056,2026-03-20T20:00:00+00:00,2026-03-26T04:00:00+00:00,1.818817,1.71906050443,20.0,-1.0969,,stop,32
ATOMUSDT,rnd210056,2026-05-11T00:00:00+00:00,2026-05-13T12:00:00+00:00,2.015013,2.07635014286,20.0,0.6088,,stop,15
