symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,regime
ATOMUSDT,a_k3.0_SEL,2021-09-13T16:00:00+00:00,2021-09-21T00:00:00+00:00,38.2138955,32.7794031429,20.0,-2.8442,,stop,44,صاعد
ATOMUSDT,a_k3.0_SEL,2021-10-12T16:00:00+00:00,2021-10-27T08:00:00+00:00,33.558548,37.2656665714,20.0,2.2093,,stop,88,صاعد
ATOMUSDT,a_k3.0_SEL,2021-10-27T12:00:00+00:00,2021-11-10T20:00:00+00:00,37.162688,33.4229479286,20.0,-2.0126,,stop,86,صاعد
ATOMUSDT,a_k3.0_SEL,2021-12-22T16:00:00+00:00,2021-12-28T00:00:00+00:00,26.950958,29.2320587143,20.0,1.6928,,stop,32,هابط
ATOMUSDT,a_k3.0_SEL,2022-01-21T04:00:00+00:00,2022-01-21T20:00:00+00:00,38.2539415,33.654480003,20.0,-2.4047,,stop,4,صاعد
ATOMUSDT,a_k3.0_SEL,2022-05-10T04:00:00+00:00,2022-05-11T04:00:00+00:00,12.6845705,11.9319767143,20.0,-1.1866,,stop,6,هابط
ATOMUSDT,a_k3.0_SEL,2022-06-07T04:00:00+00:00,2022-06-10T12:00:00+00:00,8.9803155,8.39319385714,20.0,-1.3076,,stop,20,هابط
ATOMUSDT,a_k3.0_SEL,2022-06-22T20:00:00+00:00,2022-06-28T20:00:00+00:00,7.288372,7.44714021429,20.0,0.4357,,stop,36,هابط
ATOMUSDT,a_k3.0_SEL,2022-08-10T04:00:00+00:00,2022-08-19T00:00:00+00:00,10.75735675,10.8132647143,20.0,0.1039,,stop,53,عرضي
ATOMUSDT,a_k3.0_SEL,2022-10-17T16:00:00+00:00,2022-10-19T20:00:00+00:00,12.3281611,11.8841746071,20.0,-0.7203,,stop,13,هابط
ATOMUSDT,a_k3.0_SEL,2022-10-25T20:00:00+00:00,2022-11-02T08:00:00+00:00,12.1759863,13.5075912429,20.0,2.1873,,stop,45,هابط
ATOMUSDT,a_k3.0_SEL,2022-12-10T20:00:00+00:00,2022-12-12T00:00:00+00:00,9.89436545,9.47827431366,20.0,-0.8411,,stop,7,هابط
ATOMUSDT,a_k3.0_SEL,2022-12-27T12:00:00+00:00,2022-12-28T00:00:00+00:00,9.3287157,9.04490922159,20.0,-0.6085,,stop,3,هابط
ATOMUSDT,a_k3.0_SEL,2023-01-02T08:00:00+00:00,2023-01-06T04:00:00+00:00,9.90037235,9.96752415,20.0,0.1357,,stop,23,هابط
ATOMUSDT,a_k3.0_SEL,2023-01-08T16:00:00+00:00,2023-01-10T00:00:00+00:00,10.5020635,10.8894627,20.0,0.7378,,stop,8,هابط
ATOMUSDT,a_k3.0_SEL,2023-02-14T16:00:00+00:00,2023-02-22T08:00:00+00:00,13.41641115,13.3668960857,20.0,-0.0738,,stop,46,صاعد
ATOMUSDT,a_k3.0_SEL,2023-03-28T16:00:00+00:00,2023-04-03T00:00:00+00:00,11.3430295,10.7023148107,20.0,-1.1297,,stop,32,هابط
ATOMUSDT,a_k3.0_SEL,2023-04-19T12:00:00+00:00,2023-04-21T12:00:00+00:00,11.8235815,11.1002657831,20.0,-1.2235,,stop,12,عرضي
ATOMUSDT,a_k3.0_SEL,2023-04-27T00:00:00+00:00,2023-05-03T12:00:00+00:00,10.95358215,10.8178308857,20.0,-0.2479,,stop,39,هابط
ATOMUSDT,a_k3.0_SEL,2023-05-10T16:00:00+00:00,2023-06-05T16:00:00+00:00,10.8804982,10.1291933592,20.0,-1.381,,stop,156,هابط
ATOMUSDT,a_k3.0_SEL,2023-06-20T20:00:00+00:00,2023-06-26T20:00:00+00:00,8.710005,9.11835895714,20.0,0.9377,,stop,36,هابط
ATOMUSDT,a_k3.0_SEL,2023-07-13T20:00:00+00:00,2023-07-14T16:00:00+00:00,9.751201,9.70496929286,20.0,-0.0948,,stop,5,هابط
ATOMUSDT,a_k3.0_SEL,2023-08-17T12:00:00+00:00,2023-08-17T20:00:00+00:00,8.1413518,7.67233987936,20.0,-1.1522,,stop,2,هابط
ATOMUSDT,a_k3.0_SEL,2023-08-29T16:00:00+00:00,2023-08-31T12:00:00+00:00,7.3864847,7.10990603724,20.0,-0.7489,,stop,11,هابط
ATOMUSDT,a_k3.0_SEL,2023-10-10T08:00:00+00:00,2023-10-10T12:00:00+00:00,7.2182915,6.85611217906,20.0,-1.0035,,stop,1,هابط
ATOMUSDT,a_k3.0_SEL,2023-10-30T16:00:00+00:00,2023-10-31T12:00:00+00:00,7.5726986,7.67131069286,20.0,0.2604,,stop,5,هابط
