symbol,entry_time,exit_time,entry,exit,notional,pnl,reason,stage,bars_held
BTCUSDT,2022-01-09T20:00:00+00:00,2022-01-21T00:00:00+00:00,42695.27,38857.0,150.0,-13.8394,إلغاء-دورة,0,67
BTCUSDT,2022-01-25T00:00:00+00:00,2022-03-31T12:00:00+00:00,36660.35,46453.81,150.0,39.5775,توزيع-قمة,0,393
BTCUSDT,2022-05-13T04:00:00+00:00,2022-06-13T00:00:00+00:00,30582.54,26028.8,150.0,-22.6665,إلغاء-دورة,0,185
BTCUSDT,2022-06-20T00:00:00+00:00,2022-11-08T16:00:00+00:00,20574.0,17763.4604,150.0,-20.8272,إلغاء-دورة,0,850
BTCUSDT,2022-09-27T04:00:00+00:00,2022-11-08T16:00:00+00:00,20099.04,17763.4604,250.0,-29.6246,إلغاء-دورة,1,255
BTCUSDT,2022-09-30T16:00:00+00:00,2022-11-08T16:00:00+00:00,19756.02,17763.4604,300.0,-30.9579,إلغاء-دورة,2,234
BTCUSDT,2022-10-13T20:00:00+00:00,2022-11-08T16:00:00+00:00,19369.94,17763.4604,300.0,-25.5954,إلغاء-دورة,3,155
BTCUSDT,2022-11-23T04:00:00+00:00,2023-01-18T12:00:00+00:00,16584.66,21042.73,250.0,66.3781,توزيع-قمة,1,338
BTCUSDT,2022-11-18T04:00:00+00:00,2023-01-24T20:00:00+00:00,16855.75,22632.89,150.0,50.888,توزيع-قمة,0,406
BTCUSDT,2023-06-16T16:00:00+00:00,2023-06-24T12:00:00+00:00,25840.0,30398.71,150.0,26.0049,توزيع-قمة,0,47
BTCUSDT,2023-08-27T16:00:00+00:00,2023-10-22T04:00:00+00:00,26122.14,29816.26,250.0,34.6133,توزيع-قمة,1,333
BTCUSDT,2023-08-23T20:00:00+00:00,2023-10-26T08:00:00+00:00,26632.01,34102.66,150.0,41.5783,توزيع-قمة,0,381
BNBUSDT,2022-01-11T12:00:00+00:00,2022-01-21T20:00:00+00:00,448.4,397.488,150.0,-17.3765,إلغاء-دورة,0,62
BNBUSDT,2022-01-25T20:00:00+00:00,2022-02-24T04:00:00+00:00,384.2,329.28,150.0,-21.7758,إلغاء-دورة,0,176
BNBUSDT,2022-02-26T00:00:00+00:00,2022-05-09T16:00:00+00:00,375.0,317.03,150.0,-23.5173,إلغاء-دورة,0,436
BNBUSDT,2022-05-13T04:00:00+00:00,2022-06-13T12:00:00+00:00,307.4,214.424,150.0,-45.6406,إلغاء-دورة,0,188
BNBUSDT,2022-06-16T00:00:00+00:00,2022-06-18T16:00:00+00:00,233.6,194.432,150.0,-25.4749,إلغاء-دورة,0,16
BNBUSDT,2022-06-19T16:00:00+00:00,2022-08-09T08:00:00+00:00,209.4,317.6,150.0,76.9164,توزيع-قمة,0,304
BNBUSDT,2022-11-22T16:00:00+00:00,2022-12-16T16:00:00+00:00,264.5,243.34,150.0,-12.3583,إلغاء-دورة,0,144
BNBUSDT,2023-06-13T12:00:00+00:00,2023-08-17T20:00:00+00:00,243.4,215.992,150.0,-17.2363,إلغاء-دورة,0,392
BNBUSDT,2023-06-16T08:00:00+00:00,2023-08-17T20:00:00+00:00,239.4,215.992,250.0,-25.0301,إلغاء-دورة,1,375
BNBUSDT,2023-10-15T16:00:00+00:00,2023-11-07T08:00:00+00:00,209.3,247.6,300.0,53.9757,توزيع-قمة,2,136
BNBUSDT,2023-09-12T12:00:00+00:00,2023-11-09T16:00:00+00:00,212.5,244.9,250.0,37.3695,توزيع-قمة,1,349
BNBUSDT,2023-08-23T08:00:00+00:00,2023-11-11T00:00:00+00:00,216.4,248.2,150.0,21.5958,توزيع-قمة,0,478
SOLUSDT,2022-01-11T20:00:00+00:00,2022-01-20T20:00:00+00:00,142.41,127.39999999999999,150.0,-16.1584,إلغاء-دورة,0,54
SOLUSDT,2022-02-23T08:00:00+00:00,2022-02-24T00:00:00+00:00,89.17,79.2134,150.0,-17.0948,إلغاء-دورة,0,4
SOLUSDT,2022-03-15T20:00:00+00:00,2022-05-08T16:00:00+00:00,84.58,73.84299999999999,150.0,-19.3818,إلغاء-دورة,0,323
SOLUSDT,2022-06-06T04:00:00+00:00,2022-06-11T12:00:00+00:00,41.77,34.9958,150.0,-24.6531,إلغاء-دورة,0,32
SOLUSDT,2022-06-15T20:00:00+00:00,2022-10-13T08:00:00+00:00,31.48,28.9616,150.0,-12.3583,إلغاء-دورة,0,717
SOLUSDT,2022-10-14T04:00:00+00:00,2022-10-21T08:00:00+00:00,31.65,27.3126,150.0,-20.8925,إلغاء-دورة,0,43
SOLUSDT,2022-10-16T20:00:00+00:00,2022-10-21T08:00:00+00:00,30.39,27.3126,250.0,-25.8993,إلغاء-دورة,1,27
SOLUSDT,2022-10-23T20:00:00+00:00,2022-11-08T00:00:00+00:00,28.82,26.3032,150.0,-13.4547,إلغاء-دورة,0,91
SOLUSDT,2022-11-23T00:00:00+00:00,2022-12-27T12:00:00+00:00,12.43,10.7212,150.0,-20.957,إلغاء-دورة,0,207
LINKUSDT,2022-02-23T12:00:00+00:00,2022-02-24T00:00:00+00:00,14.41,12.759599999999999,150.0,-17.5246,إلغاء-دورة,0,3
LINKUSDT,2022-02-25T16:00:00+00:00,2022-04-30T20:00:00+00:00,14.07,11.172,150.0,-31.2048,إلغاء-دورة,0,385
LINKUSDT,2022-05-04T20:00:00+00:00,2022-05-06T12:00:00+00:00,12.02,10.4174,150.0,-20.3367,إلغاء-دورة,0,10
LINKUSDT,2022-05-13T12:00:00+00:00,2022-06-13T08:00:00+00:00,7.58,5.4194,150.0,-43.0344,إلغاء-دورة,0,185
LINKUSDT,2022-06-14T20:00:00+00:00,2022-11-09T20:00:00+00:00,6.59,5.8236,150.0,-17.7888,إلغاء-دورة,0,888
LINKUSDT,2022-06-19T12:00:00+00:00,2022-11-09T20:00:00+00:00,6.33,5.8236,250.0,-20.5972,إلغاء-دورة,1,860
LINKUSDT,2022-11-15T08:00:00+00:00,2022-11-21T16:00:00+00:00,6.454,5.5762,150.0,-20.7378,إلغاء-دورة,0,38
LINKUSDT,2022-11-20T08:00:00+00:00,2022-11-21T16:00:00+00:00,6.232,5.5762,250.0,-26.8886,إلغاء-دورة,1,8
LINKUSDT,2023-01-01T20:00:00+00:00,2023-02-09T20:00:00+00:00,5.606,6.984,250.0,60.6433,توزيع-قمة,1,234
LINKUSDT,2022-11-22T04:00:00+00:00,2023-02-15T04:00:00+00:00,6.065,6.773,150.0,17.0753,توزيع-قمة,0,510
LINKUSDT,2023-05-12T20:00:00+00:00,2023-06-10T04:00:00+00:00,6.481,5.71242,150.0,-18.1318,إلغاء-دورة,0,170
LINKUSDT,2023-05-26T16:00:00+00:00,2023-06-10T04:00:00+00:00,6.351,5.71242,250.0,-25.7209,إلغاء-دورة,1,87
LINKUSDT,2023-06-20T20:00:00+00:00,2023-07-22T08:00:00+00:00,5.218,7.97,250.0,130.8598,توزيع-قمة,1,189
LINKUSDT,2023-06-13T12:00:00+00:00,2023-07-23T20:00:00+00:00,5.315,7.89,150.0,72.0935,توزيع-قمة,0,242
