symbol,entry_time,exit_time,entry,exit,notional,pnl,reason,stage,bars_held
BTCUSDT,2025-11-23T16:00:00+00:00,2026-01-31T16:00:00+00:00,87087.44,78988.0,150.0,-14.3038,إلغاء-دورة,0,414
BTCUSDT,2026-02-25T04:00:00+00:00,2026-05-07T00:00:00+00:00,65391.74,80834.91,250.0,58.2385,توزيع-قمة,1,425
BTCUSDT,2026-02-06T20:00:00+00:00,2026-05-07T12:00:00+00:00,70731.45,79890.63,150.0,18.9839,توزيع-قمة,0,538
BTCUSDT,2026-06-27T16:00:00+00:00,2026-08-23T04:00:00+00:00,60840.06,76007.13,250.0,61.5125,توزيع-قمة,1,339
BTCUSDT,2026-06-07T12:00:00+00:00,2026-08-26T12:00:00+00:00,62621.97,78011.65,150.0,36.3781,توزيع-قمة,0,480
BNBUSDT,2026-04-04T20:00:00+00:00,2026-05-12T04:00:00+00:00,593.46,658.59,300.0,32.0594,توزيع-قمة,2,224
BNBUSDT,2026-02-25T12:00:00+00:00,2026-05-12T12:00:00+00:00,605.0,652.26,250.0,18.8291,توزيع-قمة,1,456
BNBUSDT,2026-02-13T20:00:00+00:00,2026-05-13T12:00:00+00:00,618.14,664.19,150.0,10.7561,توزيع-قمة,0,532
BNBUSDT,2026-06-07T12:00:00+00:00,2026-08-30T20:00:00+00:00,593.37,684.74,150.0,22.6483,نهاية-العينة,0,506
BNBUSDT,2026-06-29T20:00:00+00:00,2026-08-30T20:00:00+00:00,561.78,684.74,250.0,53.9277,نهاية-العينة,1,372
SOLUSDT,2025-04-04T20:00:00+00:00,2025-04-06T16:00:00+00:00,122.61,109.75999999999999,150.0,-16.0693,إلغاء-دورة,0,11
SOLUSDT,2025-11-20T04:00:00+00:00,2025-11-21T04:00:00+00:00,143.18,126.24359999999999,150.0,-18.0865,إلغاء-دورة,0,6
SOLUSDT,2025-11-23T16:00:00+00:00,2025-12-18T16:00:00+00:00,132.88,118.9328,150.0,-16.0927,إلغاء-دورة,0,150
SOLUSDT,2025-12-25T16:00:00+00:00,2026-01-30T00:00:00+00:00,123.68,113.0822,150.0,-13.2092,إلغاء-دورة,0,212
SOLUSDT,2026-05-31T04:00:00+00:00,2026-06-02T16:00:00+00:00,83.24,75.166,150.0,-14.9012,إلغاء-دورة,0,15
SOLUSDT,2026-06-08T00:00:00+00:00,2026-08-23T04:00:00+00:00,66.5,92.49,150.0,58.0823,توزيع-قمة,0,457
LINKUSDT,2024-07-06T20:00:00+00:00,2024-08-04T16:00:00+00:00,13.078,10.831940000000001,150.0,-26.0841,إلغاء-دورة,0,173
LINKUSDT,2025-04-09T20:00:00+00:00,2025-07-21T16:00:00+00:00,12.6,19.26,150.0,78.6903,توزيع-قمة,0,617
LINKUSDT,2026-06-27T16:00:00+00:00,2026-08-23T00:00:00+00:00,7.456,11.456,250.0,133.1228,توزيع-قمة,1,338
LINKUSDT,2026-06-07T08:00:00+00:00,2026-08-25T16:00:00+00:00,7.716,11.456,150.0,72.1278,توزيع-قمة,0,476
