symbol,entry_time,exit_time,entry,exit,notional,pnl,reason,stage,bars_held
BTCUSDT,2026-05-11T16:00:00+00:00,2026-07-30T16:00:00+00:00,81445.89,64800.0,316.6666666666667,-65.2991,عشوائي,0,480
BTCUSDT,2024-04-21T16:00:00+00:00,2024-07-10T16:00:00+00:00,65043.7,57392.03,316.6666666666667,-37.8942,عشوائي,0,480
BTCUSDT,2025-01-01T08:00:00+00:00,2025-03-22T08:00:00+00:00,93684.11,84239.25,316.6666666666667,-32.5792,عشوائي,0,480
BNBUSDT,2024-06-10T08:00:00+00:00,2024-09-04T20:00:00+00:00,641.0,507.6,550.0,-115.4624,عشوائي,0,519
BNBUSDT,2024-10-08T04:00:00+00:00,2025-01-02T16:00:00+00:00,569.8,704.81,550.0,128.7556,عشوائي,0,519
SOLUSDT,2024-05-03T08:00:00+00:00,2024-05-17T00:00:00+00:00,137.23,162.19,150.0,26.8754,عشوائي,0,82
SOLUSDT,2025-02-01T00:00:00+00:00,2025-02-14T16:00:00+00:00,231.77,201.56,150.0,-19.8514,عشوائي,0,82
SOLUSDT,2025-06-21T16:00:00+00:00,2025-07-05T08:00:00+00:00,140.29,148.18,150.0,8.0721,عشوائي,0,82
SOLUSDT,2026-01-06T08:00:00+00:00,2026-01-20T00:00:00+00:00,137.6,134.24,150.0,-3.999,عشوائي,0,82
SOLUSDT,2026-08-09T00:00:00+00:00,2026-08-22T16:00:00+00:00,76.02,94.49,150.0,36.016,عشوائي,0,82
SOLUSDT,2026-07-10T20:00:00+00:00,2026-07-24T12:00:00+00:00,77.9,74.04,150.0,-7.7601,عشوائي,0,82
LINKUSDT,2025-08-27T20:00:00+00:00,2025-11-15T04:00:00+00:00,24.18,14.08,233.33333333333334,-97.7756,عشوائي,0,476
LINKUSDT,2024-08-06T00:00:00+00:00,2024-10-24T08:00:00+00:00,9.49,11.4,233.33333333333334,46.3178,عشوائي,0,476
LINKUSDT,2025-11-23T16:00:00+00:00,2026-02-11T00:00:00+00:00,12.68,8.53,233.33333333333334,-76.7276,عشوائي,0,476
