symbol,entry_time,exit_time,entry,exit,notional,pnl,reason,stage,bars_held
BTCUSDT,2022-02-12T04:00:00+00:00,2022-04-01T08:00:00+00:00,42288.45,45064.26,333.3333333333333,21.0639,عشوائي,0,289
BTCUSDT,2023-06-08T12:00:00+00:00,2023-07-26T16:00:00+00:00,26432.01,29401.93,333.3333333333333,36.6017,عشوائي,0,289
BTCUSDT,2023-01-15T20:00:00+00:00,2023-03-05T00:00:00+00:00,20870.15,22387.02,333.3333333333333,23.4057,عشوائي,0,289
BTCUSDT,2023-11-09T00:00:00+00:00,2023-12-27T04:00:00+00:00,35624.72,42455.83,333.3333333333333,63.0047,عشوائي,0,289
BTCUSDT,2022-10-18T00:00:00+00:00,2022-12-05T04:00:00+00:00,19548.48,17313.93,333.3333333333333,-38.781,عشوائي,0,289
BTCUSDT,2022-05-26T00:00:00+00:00,2022-07-13T04:00:00+00:00,29542.14,19705.25,333.3333333333333,-111.5035,عشوائي,0,289
BNBUSDT,2022-02-22T12:00:00+00:00,2022-04-04T12:00:00+00:00,364.7,438.1,250.0,49.6254,عشوائي,0,246
BNBUSDT,2023-05-21T04:00:00+00:00,2023-07-01T04:00:00+00:00,310.5,242.1,250.0,-55.5203,عشوائي,0,246
BNBUSDT,2023-11-04T00:00:00+00:00,2023-12-15T00:00:00+00:00,230.3,251.0,250.0,21.8447,عشوائي,0,246
BNBUSDT,2022-10-04T08:00:00+00:00,2022-11-14T08:00:00+00:00,290.9,284.5,250.0,-6.0619,عشوائي,0,246
BNBUSDT,2023-09-02T00:00:00+00:00,2023-10-13T00:00:00+00:00,213.7,205.1,250.0,-10.6121,عشوائي,0,246
BNBUSDT,2022-08-01T00:00:00+00:00,2022-09-11T00:00:00+00:00,283.5,294.4,250.0,9.0156,عشوائي,0,246
BNBUSDT,2023-01-27T00:00:00+00:00,2023-03-09T00:00:00+00:00,304.8,289.6,250.0,-13.0129,عشوائي,0,246
BNBUSDT,2021-09-27T20:00:00+00:00,2021-11-07T20:00:00+00:00,340.3,649.6,250.0,226.1296,عشوائي,0,246
SOLUSDT,2023-11-23T00:00:00+00:00,2023-12-08T04:00:00+00:00,57.55,71.39,185.71428571428572,44.1325,عشوائي,0,91
SOLUSDT,2022-06-16T00:00:00+00:00,2022-07-01T04:00:00+00:00,34.75,33.13,185.71428571428572,-9.0645,عشوائي,0,91
SOLUSDT,2022-10-24T04:00:00+00:00,2022-11-08T08:00:00+00:00,28.61,28.0,185.71428571428572,-4.3772,عشوائي,0,91
SOLUSDT,2023-05-17T00:00:00+00:00,2023-06-01T04:00:00+00:00,20.68,20.61,185.71428571428572,-1.0538,عشوائي,0,91
SOLUSDT,2023-08-01T08:00:00+00:00,2023-08-16T12:00:00+00:00,23.48,23.09,185.71428571428572,-3.5043,عشوائي,0,91
SOLUSDT,2023-07-08T12:00:00+00:00,2023-07-23T16:00:00+00:00,21.93,24.9,185.71428571428572,24.667,عشوائي,0,91
SOLUSDT,2022-12-12T16:00:00+00:00,2022-12-27T20:00:00+00:00,13.11,11.09,185.71428571428572,-28.9759,عشوائي,0,91
LINKUSDT,2022-02-01T00:00:00+00:00,2022-03-03T20:00:00+00:00,17.15,14.89,288.8888888888889,-38.6455,عشوائي,0,185
LINKUSDT,2021-11-24T08:00:00+00:00,2021-12-25T04:00:00+00:00,26.56,21.71,288.8888888888889,-53.2952,عشوائي,0,185
LINKUSDT,2023-10-15T00:00:00+00:00,2023-11-14T20:00:00+00:00,7.331,13.945,288.8888888888889,259.372,عشوائي,0,185
LINKUSDT,2023-07-13T12:00:00+00:00,2023-08-13T08:00:00+00:00,6.453,7.507,288.8888888888889,46.4135,عشوائي,0,185
LINKUSDT,2022-09-11T12:00:00+00:00,2022-10-12T08:00:00+00:00,7.99,7.194,288.8888888888889,-29.378,عشوائي,0,185
LINKUSDT,2022-07-13T20:00:00+00:00,2022-08-13T16:00:00+00:00,6.004,9.12,288.8888888888889,148.9216,عشوائي,0,185
LINKUSDT,2023-05-16T16:00:00+00:00,2023-06-16T12:00:00+00:00,6.651,5.271,288.8888888888889,-60.4668,عشوائي,0,185
LINKUSDT,2022-04-17T12:00:00+00:00,2022-05-18T08:00:00+00:00,14.6,7.49,288.8888888888889,-141.0254,عشوائي,0,185
LINKUSDT,2022-03-16T20:00:00+00:00,2022-04-16T16:00:00+00:00,14.45,13.93,288.8888888888889,-11.0358,عشوائي,0,185
