category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,9162,9163,2024-09-07T08:42:00+00:00,2024-09-07T08:43:00+00:00,1,-0.0027979314990064603,-0.05595862998012921,20.0,زمني,0,False,True,,False,496.34885999999995,496.2,0.0003,496.1,1,baseline,0,"{""close"": 496.1, ""rsi"": 62.53440733635792, ""rsi7"": 70.54758107765, ""macd"": 0.07736419129851296, ""adx"": 29.82935740586582, ""stoch_k"": 67.826617826619, ""stoch_d"": 67.76794740504472, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9624696486854016, ""hurst"": 0.2231028913397422, ""atr14"": 0.4320553008783531, ""vol_sma20"": 95.54755, ""vol_ratio"": 0.6992120677086959, ""atr_pct"": 0.0008709036502284884, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,Bollinger,1,9166,9167,2024-09-07T08:46:00+00:00,2024-09-07T08:47:00+00:00,1,-0.004204665435975491,-0.08409330871950982,20.0,زمني,0,False,True,,False,496.44889,496.3,0.0003,495.5,1,baseline,0,"{""close"": 496.3, ""rsi"": 62.19920729156582, ""rsi7"": 66.40316622499401, ""macd"": 0.06198215306595395, ""adx"": 30.943014631349854, ""stoch_k"": 79.16666666666744, ""stoch_d"": 68.98148148148275, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9047791036821603, ""hurst"": 0.2052418019267098, ""atr14"": 0.40291366744029555, ""vol_sma20"": 93.94885, ""vol_ratio"": 0.31683197825199566, ""atr_pct"": 0.0008118349132385564, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,9178,9179,2024-09-07T08:58:00+00:00,2024-09-07T08:59:00+00:00,1,-0.0027979720167002225,-0.05595944033400445,20.0,زمني,0,False,True,,False,496.24883,496.1,0.0003,496.0,1,baseline,0,"{""close"": 496.0, ""rsi"": 57.59781817498113, ""rsi7"": 64.67253778083412, ""macd"": -0.026760877543325637, ""adx"": 17.441566239857394, ""stoch_k"": 42.85714285714243, ""stoch_d"": 34.920634920634406, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9636401884113738, ""hurst"": 0.2043417915815764, ""atr14"": 0.4225915068669635, ""vol_sma20"": 76.79625, ""vol_ratio"": 0.38734964272344025, ""atr_pct"": 0.0008519990057801683, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,MicroBurst,1,9181,9196,2024-09-07T09:01:00+00:00,2024-09-07T09:16:00+00:00,15,-0.005290809190809106,-0.10581618381618212,20.0,وقف,0,False,True,,False,496.34885999999995,496.2,0.0003,494.85981341999997,1,baseline,0,"{""close"": 496.2, ""rsi"": 60.68885201410776, ""rsi7"": 70.9623910493976, ""macd"": 0.032691149157402274, ""adx"": 17.38222119475289, ""stoch_k"": 77.83882783882783, ""stoch_d"": 66.17826617826607, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9469210687654103, ""hurst"": 0.1803975945237292, ""atr14"": 0.41345974511177946, ""vol_sma20"": 77.03945, ""vol_ratio"": 1.7466635600332039, ""atr_pct"": 0.0008332522069967341, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,RSI,1,9206,9207,2024-09-07T09:26:00+00:00,2024-09-07T09:27:00+00:00,1,-0.0027987449683641577,-0.05597489936728316,20.0,زمني,0,False,True,,False,494.34826,494.2,0.0003,494.1,1,baseline,0,"{""close"": 494.2, ""rsi"": 39.02780959094889, ""rsi7"": 42.47160951075076, ""macd"": -0.13114761166166272, ""adx"": 33.09625591649469, ""stoch_k"": 23.52564102564057, ""stoch_d"": 14.0618968844773, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9563674217731033, ""hurst"": 0.30365962307700717, ""atr14"": 0.41528594384397116, ""vol_sma20"": 118.25255, ""vol_ratio"": 0.6493898017421189, ""atr_pct"": 0.0008403195949898243, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,9227,9235,2024-09-07T09:47:00+00:00,2024-09-07T09:55:00+00:00,8,-0.0019195850139132355,-0.03839170027826471,20.0,قفل-ربح,0,False,True,,False,493.34796,493.2,0.0003,493.5349329988872,1,baseline,0,"{""close"": 493.3, ""rsi"": 45.11915575715952, ""rsi7"": 50.96544351650272, ""macd"": 0.06137342571288107, ""adx"": 38.48237162722477, ""stoch_k"": 41.440781440780704, ""stoch_d"": 30.533170533169038, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9802457267278438, ""hurst"": 0.4432609021625373, ""atr14"": 0.41545516137460126, ""vol_sma20"": 132.6833, ""vol_ratio"": 0.10190430898236628, ""atr_pct"": 0.0008421957457421473, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,Bollinger,1,9248,9249,2024-09-07T10:08:00+00:00,2024-09-07T10:09:00+00:00,1,-0.0027987041385549825,-0.05597408277109965,20.0,زمني,0,False,True,,False,494.44829,494.3,0.0003,494.2,1,baseline,0,"{""close"": 494.3, ""rsi"": 60.73211758407192, ""rsi7"": 69.51634440592069, ""macd"": 0.08207785238010054, ""adx"": 16.40105514302588, ""stoch_k"": 95.83333333333478, ""stoch_d"": 94.04761904761953, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.7468225119501005, ""hurst"": 0.40871333000926285, ""atr14"": 0.3097689975923909, ""vol_sma20"": 34.830799999999996, ""vol_ratio"": 0.47079022014998223, ""atr_pct"": 0.0006266821719449543, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,9253,9254,2024-09-07T10:13:00+00:00,2024-09-07T10:14:00+00:00,1,-0.002798540984386264,-0.05597081968772528,20.0,زمني,0,False,True,,False,494.84840999999994,494.7,0.0003,494.6,1,baseline,0,"{""close"": 494.7, ""rsi"": 66.76264633674609, ""rsi7"": 77.92186082045495, ""macd"": 0.08739318138170551, ""adx"": 17.926861611033587, ""stoch_k"": 91.90476190476204, ""stoch_d"": 91.81657848324532, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.714463164076971, ""hurst"": 0.4520685848841788, ""atr14"": 0.2903677790932928, ""vol_sma20"": 35.546749999999996, ""vol_ratio"": 0.33676777764493243, ""atr_pct"": 0.0005869573056262236, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,MicroBurst,1,9256,9257,2024-09-07T10:16:00+00:00,2024-09-07T10:17:00+00:00,1,-0.0034032312860385536,-0.06806462572077107,20.0,زمني,0,False,True,,False,494.94844,494.8,0.0003,494.4,1,baseline,0,"{""close"": 494.9, ""rsi"": 65.33759663380913, ""rsi7"": 70.73067204474623, ""macd"": 0.07010826794558611, ""adx"": 16.522526271610115, ""stoch_k"": 82.96703296703355, ""stoch_d"": 82.29548229548233, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.7922600171371998, ""hurst"": 0.47465508442773435, ""atr14"": 0.317907438290075, ""vol_sma20"": 39.07895, ""vol_ratio"": 2.4644981505388452, ""atr_pct"": 0.0006423670201860477, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,MicroBurst,1,9261,9263,2024-09-07T10:21:00+00:00,2024-09-07T10:23:00+00:00,2,-0.0020329326203456606,-0.040658652406913215,20.0,قفل-ربح,0,False,True,,False,494.74838,494.6,0.0003,494.8796760481768,1,baseline,0,"{""close"": 494.6, ""rsi"": 57.576481904705815, ""rsi7"": 58.1853030213407, ""macd"": -0.008586379825941987, ""adx"": 14.919907386204502, ""stoch_k"": 48.14814814814974, ""stoch_d"": 48.765432098766375, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.7411187914865393, ""hurst"": 0.49644922625386484, ""atr14"": 0.2916814915010014, ""vol_sma20"": 46.834799999999994, ""vol_ratio"": 1.7162451852041645, ""atr_pct"": 0.0005897320895693519, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,9271,9295,2024-09-07T10:31:00+00:00,2024-09-07T10:55:00+00:00,24,-0.005290809190809106,-0.10581618381618212,20.0,وقف,0,False,True,,False,494.64835,494.5,0.0003,493.16440495,1,baseline,0,"{""close"": 494.5, ""rsi"": 51.89682568867642, ""rsi7"": 50.33595461887286, ""macd"": -0.04529645879952762, ""adx"": 14.883728634481692, ""stoch_k"": 33.33333333333139, ""stoch_d"": 28.888888888886612, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9593865107550282, ""hurst"": 0.5217989939208479, ""atr14"": 0.37046662817124243, ""vol_sma20"": 105.02735, ""vol_ratio"": 6.8894054739075115, ""atr_pct"": 0.0007491741722370929, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,Bollinger,1,9299,9302,2024-09-07T10:59:00+00:00,2024-09-07T11:02:00+00:00,3,-0.0020196455297441683,-0.04039291059488337,20.0,قفل-ربح,0,False,True,,False,493.24793,493.1,0.0003,493.38539678296087,1,baseline,0,"{""close"": 493.2, ""rsi"": 38.925276779419086, ""rsi7"": 35.27663956516295, ""macd"": -0.06105941378927013, ""adx"": 28.8427577975552, ""stoch_k"": 9.523809523810447, ""stoch_d"": 7.264957264957649, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8498739811522924, ""hurst"": 0.34990173340085023, ""atr14"": 0.30545205557190575, ""vol_sma20"": 102.39959999999999, ""vol_ratio"": 0.20685627678233118, ""atr_pct"": 0.0006193269577694764, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,9312,9313,2024-09-07T11:12:00+00:00,2024-09-07T11:13:00+00:00,1,-0.0028959647188708175,-0.05791929437741635,20.0,زمني,0,False,True,,False,493.49591999999996,493.2,0.0006,493.2,1,baseline,0,"{""close"": 493.2, ""rsi"": 51.040801884846516, ""rsi7"": 60.33134543405455, ""macd"": 0.024598448553578067, ""adx"": 36.354916244597504, ""stoch_k"": 53.96825396825354, ""stoch_d"": 37.03703703703675, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.2162466280777264, ""hurst"": 0.38875810463611943, ""atr14"": 0.43123311970823797, ""vol_sma20"": 237.25775, ""vol_ratio"": 0.35928857961436456, ""atr_pct"": 0.0008743575014360057, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,MACD,1,15634,15635,2024-09-11T20:34:00+00:00,2024-09-11T20:35:00+00:00,1,-0.0037216025029527216,-0.07443205005905443,20.0,زمني,0,False,True,symbol_collision,True,532.25963,532.1,0.0003,531.5,1,baseline,0,"{""close"": 532.1, ""rsi"": 44.41855779256838, ""rsi7"": 50.25439512437044, ""macd"": 0.013431589603336347, ""adx"": 22.411525585562156, ""stoch_k"": 38.446969696970136, ""stoch_d"": 33.987373737373666, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.753509909690013, ""hurst"": 0.27623217041237785, ""atr14"": 0.43438032484278716, ""vol_sma20"": 158.45725, ""vol_ratio"": 0.13048314292971763, ""atr_pct"": 0.0008163509205840766, ""retest_entry"": true}"
