category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
اتجاهي,dir,directional,SOLUSDT,صاعد,Stochastic,1,18530,18531,2024-09-13T20:50:00+00:00,2024-09-13T20:51:00+00:00,1,-0.0024526334447098797,-0.04905266889419759,20.0,زمني,0,False,True,symbol_collision,True,138.291475,138.25,0.0003,138.27,1,baseline,0,"{""close"": 138.24, ""rsi"": 44.54378327371638, ""rsi7"": 40.48100510861347, ""macd"": -0.025489936358517092, ""adx"": 19.993495956675325, ""stoch_k"": 19.354838709677963, ""stoch_d"": 13.73193115128762, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9021543691273676, ""hurst"": 0.31551174120283787, ""atr14"": 0.11203814262098048, ""vol_sma20"": 1235.6031000000019, ""vol_ratio"": 1.0398743738988663, ""atr_pct"": 0.0008104611011355648, ""retest_entry"": true}"
اتجاهي,dir,directional,SOLUSDT,صاعد,FVG,1,18533,18536,2024-09-13T20:53:00+00:00,2024-09-13T20:56:00+00:00,3,-0.0019662815406999985,-0.03932563081399997,20.0,قفل-ربح,0,False,True,symbol_collision,True,138.33148699999998,138.29,0.0003,138.37743850902663,1,baseline,0,"{""close"": 138.28, ""rsi"": 48.15312125624085, ""rsi7"": 50.30217003461545, ""macd"": -0.012064294806406362, ""adx"": 21.161279273198126, ""stoch_k"": 32.18390804597798, ""stoch_d"": 26.22667161043238, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8285979813630813, ""hurst"": 0.33985566209491325, ""atr14"": 0.102076457484801, ""vol_sma20"": 1232.9239000000018, ""vol_ratio"": 0.3336061536320282, ""atr_pct"": 0.0007381867044026685, ""retest_entry"": true}"
اتجاهي,dir,directional,SOLUSDT,صاعد,MACD,1,18546,18547,2024-09-13T21:06:00+00:00,2024-09-13T21:07:00+00:00,1,-0.0024527273154619877,-0.049054546309239756,20.0,زمني,0,False,True,symbol_collision,True,138.381502,138.34,0.0003,138.36,1,baseline,0,"{""close"": 138.34, ""rsi"": 52.13581716864703, ""rsi7"": 56.164991048433194, ""macd"": 0.002486500387295301, ""adx"": 14.116995421466768, ""stoch_k"": 36.96236559139755, ""stoch_d"": 30.872375832053546, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8548255608860539, ""hurst"": 0.37217454751902646, ""atr14"": 0.10189309099203363, ""vol_sma20"": 993.3850000000018, ""vol_ratio"": 1.3745889056106118, ""atr_pct"": 0.0007365410654332342, ""retest_entry"": true}"
اتجاهي,dir,directional,SOLUSDT,صاعد,FVG,1,18552,18553,2024-09-13T21:12:00+00:00,2024-09-13T21:13:00+00:00,1,-0.003675974511878307,-0.07351949023756614,20.0,زمني,0,False,True,symbol_collision,True,138.691595,138.65,0.0003,138.5,1,baseline,0,"{""close"": 138.66, ""rsi"": 67.07989766418136, ""rsi7"": 77.83306520750509, ""macd"": 0.03529627994546405, ""adx"": 15.552970040050221, ""stoch_k"": 64.70313230481612, ""stoch_d"": 58.789153810194364, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.1090045508064847, ""hurst"": 0.3430246076328824, ""atr14"": 0.13126550143835747, ""vol_sma20"": 1665.459150000002, ""vol_ratio"": 2.784826034310115, ""atr_pct"": 0.0009466717253595663, ""retest_entry"": true}"
اتجاهي,dir,directional,SOLUSDT,صاعد,MicroBurst,1,18556,18562,2024-09-13T21:16:00+00:00,2024-09-13T21:22:00+00:00,6,-0.0018012904387479422,-0.03602580877495884,20.0,قفل-ربح,0,False,True,symbol_collision,True,138.963328,138.88,0.0006,139.03246991150786,1,baseline,0,"{""close"": 138.87, ""rsi"": 69.470109453737, ""rsi7"": 76.59499919746187, ""macd"": 0.04568411061526645, ""adx"": 20.71468809316628, ""stoch_k"": 68.93189964157698, ""stoch_d"": 65.27120669056143, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.2855238767112267, ""hurst"": 0.33443683779105815, ""atr14"": 0.1535455015249094, ""vol_sma20"": 2126.4262000000017, ""vol_ratio"": 3.572721216471088, ""atr_pct"": 0.0011056779831850607, ""retest_entry"": true}"
اتجاهي,dir,directional,SOLUSDT,صاعد,FVG,1,18575,18578,2024-09-13T21:35:00+00:00,2024-09-13T21:38:00+00:00,3,-0.0025047499915861722,-0.05009499983172344,20.0,قفل-ربح,0,False,True,symbol_collision,True,139.245208,139.12,0.0009,139.3,1,baseline,0,"{""close"": 139.11, ""rsi"": 55.2121015926904, ""rsi7"": 51.28117505237812, ""macd"": -0.035844255065397235, ""adx"": 44.62443856201293, ""stoch_k"": 28.700410396718713, ""stoch_d"": 23.067701723448035, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.5792998437253367, ""hurst"": 0.3924257169220047, ""atr14"": 0.20353448947368877, ""vol_sma20"": 3666.534600000002, ""vol_ratio"": 0.575392906424502, ""atr_pct"": 0.001463119038700947, ""retest_entry"": true}"
اتجاهي,dir,directional,SOLUSDT,صاعد,Bollinger,1,18590,18605,2024-09-13T21:50:00+00:00,2024-09-13T22:05:00+00:00,15,-0.0018351508521085638,-0.03670301704217128,20.0,قفل-ربح,0,False,True,symbol_collision,True,138.96167599999998,138.92,0.0003,139.02610095347953,1,baseline,0,"{""close"": 138.93, ""rsi"": 47.318870118957335, ""rsi7"": 45.124398603580644, ""macd"": -0.051588886374586765, ""adx"": 28.056130203659148, ""stoch_k"": 17.94871794871855, ""stoch_d"": 11.661340270035916, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0588040078158028, ""hurst"": 0.41380936164493237, ""atr14"": 0.14313392879333492, ""vol_sma20"": 2117.253200000002, ""vol_ratio"": 0.5117030877553989, ""atr_pct"": 0.0010302593305501686, ""retest_entry"": true}"
اتجاهي,dir,directional,SOLUSDT,صاعد,MicroBurst,1,18608,18614,2024-09-13T22:08:00+00:00,2024-09-13T22:14:00+00:00,6,-0.000666697916630564,-0.01333395833261128,20.0,تتبع,0,False,True,symbol_collision,True,139.211751,139.17,0.0003,139.439328882,1,baseline,0,"{""close"": 139.17, ""rsi"": 60.43749559334031, ""rsi7"": 68.25131338104431, ""macd"": 0.028575927050049823, ""adx"": 23.57231200270393, ""stoch_k"": 54.54545454545308, ""stoch_d"": 57.48293748293603, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9593319643987255, ""hurst"": 0.4393402410984798, ""atr14"": 0.12727546254850863, ""vol_sma20"": 1672.1455000000017, ""vol_ratio"": 1.51799230389939, ""atr_pct"": 0.0009145323169397761, ""retest_entry"": true}"
اتجاهي,dir,directional,SOLUSDT,صاعد,FVG,1,18638,18639,2024-09-13T22:38:00+00:00,2024-09-13T22:39:00+00:00,1,-0.002811757312517835,-0.05623514625035671,20.0,زمني,0,False,True,symbol_collision,True,139.321784,139.28,0.0003,139.25,1,baseline,0,"{""close"": 139.28, ""rsi"": 47.55882835510035, ""rsi7"": 48.703664522244935, ""macd"": -0.0396100637076801, ""adx"": 27.427016547389456, ""stoch_k"": 27.504002846468733, ""stoch_d"": 15.493157273979733, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0521457195997475, ""hurst"": 0.40771539096917236, ""atr14"": 0.14734946809173538, ""vol_sma20"": 3103.832650000002, ""vol_ratio"": 0.4535379831125879, ""atr_pct"": 0.0010579370196132638, ""retest_entry"": true}"
اتجاهي,dir,directional,SOLUSDT,صاعد,EMA,1,18642,18664,2024-09-13T22:42:00+00:00,2024-09-13T23:04:00+00:00,22,-0.005290809190809106,-0.10581618381618212,20.0,وقف,0,False,True,symbol_collision,True,139.411811,139.37,0.0003,138.993575567,1,baseline,0,"{""close"": 139.38, ""rsi"": 53.24851782085441, ""rsi7"": 60.48232016100541, ""macd"": -0.004755247599216243, ""adx"": 23.64143125437552, ""stoch_k"": 53.2644504342609, ""stoch_d"": 46.11202162686664, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9119196192878432, ""hurst"": 0.40056879405208723, ""atr14"": 0.12891368591649208, ""vol_sma20"": 1698.8179500000017, ""vol_ratio"": 1.102408883777098, ""atr_pct"": 0.0009249080636855509, ""retest_entry"": true}"
