category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,2183,2968,2021-09-02T12:23:00+00:00,2021-09-03T01:28:00+00:00,785,-0.02724883627406457,-27.248836274064573,1000.0,كسر-سفلي,0,False,True,,False,29.948982,29.94,0.0003,29.2,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,3437,4214,2021-09-03T09:17:00+00:00,2021-09-03T22:14:00+00:00,777,-0.014145841848896773,-14.145841848896774,1000.0,كسر-سفلي,0,False,True,,False,30.968569999999996,30.95,0.0006,30.61,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,6541,7924,2021-09-05T13:01:00+00:00,2021-09-06T12:04:00+00:00,1383,0.05868110791561034,58.68110791561034,1000.0,كسر-سفلي,0,True,True,,False,30.939279,30.93,0.0003,32.85,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,11872,13472,2021-09-09T05:52:00+00:00,2021-09-10T08:32:00+00:00,1600,-0.016742900026663638,-16.742900026663637,1000.0,كسر-سفلي,0,False,True,,False,27.976775999999997,27.96,0.0006,27.58,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,16340,17516,2021-09-12T08:20:00+00:00,2021-09-13T03:56:00+00:00,1176,-0.0027167087812505404,-2.7167087812505404,1000.0,كسر-سفلي,0,False,True,,False,27.774974999999998,27.75,0.0009,27.78,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,19537,22421,2021-09-14T13:37:00+00:00,2021-09-16T13:41:00+00:00,2884,0.09180015368873005,91.80015368873005,1000.0,كسر-سفلي,0,True,True,,False,28.008399999999998,28.0,0.0003,30.65,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,25105,25481,2021-09-18T10:25:00+00:00,2021-09-18T16:41:00+00:00,376,-0.034847873627144955,-34.847873627144956,1000.0,كسر-سفلي,0,False,True,,False,29.388813999999996,29.38,0.0003,28.43,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,31214,32305,2021-09-22T16:14:00+00:00,2021-09-23T10:25:00+00:00,1091,-0.005286756167867533,-5.286756167867534,1000.0,كسر-سفلي,0,False,True,,False,23.847151999999998,23.84,0.0003,23.79,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,32566,33436,2021-09-23T14:46:00+00:00,2021-09-24T05:16:00+00:00,870,-0.018332651373806845,-18.332651373806844,1000.0,كسر-سفلي,0,False,True,,False,24.727415999999998,24.72,0.0003,24.33,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,35718,36454,2021-09-25T19:18:00+00:00,2021-09-26T07:34:00+00:00,736,-0.018285881659867106,-18.285881659867105,1000.0,كسر-سفلي,0,False,True,,False,23.794268,23.78,0.0006,23.42,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,36731,37385,2021-09-26T12:11:00+00:00,2021-09-26T23:05:00+00:00,654,-0.03968876432728183,-39.68876432728183,1000.0,كسر-سفلي,0,False,True,,False,25.137538999999997,25.13,0.0003,24.21,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,37553,38171,2021-09-27T01:53:00+00:00,2021-09-27T12:11:00+00:00,618,-0.0566349974027277,-56.6349974027277,1000.0,كسر-سفلي,0,False,True,,False,25.427626,25.42,0.0003,24.05,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,40934,41262,2021-09-29T12:14:00+00:00,2021-09-29T17:42:00+00:00,328,-0.04286214415042874,-42.86214415042873,1000.0,كسر-سفلي,0,False,True,,False,23.787134000000002,23.78,0.0003,22.82,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,41820,42631,2021-09-30T03:00:00+00:00,2021-09-30T16:31:00+00:00,811,-0.026660724573979326,-26.660724573979326,1000.0,كسر-سفلي,0,False,True,,False,24.047212,24.04,0.0003,23.46,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,43522,44795,2021-10-01T07:22:00+00:00,2021-10-02T04:35:00+00:00,1273,0.05997718812851886,59.97718812851886,1000.0,كسر-سفلي,0,True,True,,False,24.321869999999997,24.3,0.0009,25.84,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,45335,47469,2021-10-02T13:35:00+00:00,2021-10-04T01:09:00+00:00,2134,0.00016201493039931796,0.16201493039931797,1000.0,كسر-سفلي,0,True,True,,False,26.736031999999998,26.72,0.0006,26.81,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,49472,50707,2021-10-05T10:32:00+00:00,2021-10-06T07:07:00+00:00,1235,-0.029722181464640944,-29.722181464640943,1000.0,كسر-سفلي,0,False,True,,False,27.218163,27.21,0.0003,26.47,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,55402,56106,2021-10-09T13:22:00+00:00,2021-10-10T01:06:00+00:00,704,-0.019007577134837327,-19.007577134837327,1000.0,كسر-سفلي,0,False,True,,False,27.358205,27.35,0.0003,26.9,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,60402,63023,2021-10-13T00:42:00+00:00,2021-10-14T20:23:00+00:00,2621,0.06193155059645292,61.931550596452915,1000.0,كسر-سفلي,0,True,True,,False,25.047511999999998,25.04,0.0003,26.66,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,64842,66125,2021-10-16T02:42:00+00:00,2021-10-17T00:05:00+00:00,1283,-0.014905443998613613,-14.905443998613613,1000.0,كسر-سفلي,0,False,True,,False,27.408219999999996,27.4,0.0003,27.07,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,69816,69866,2021-10-19T13:36:00+00:00,2021-10-19T14:26:00+00:00,50,-0.0271272682270465,-27.1272682270465,1000.0,كسر-سفلي,0,False,True,,False,26.263615999999995,26.24,0.0009,25.61,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,71192,74198,2021-10-20T12:32:00+00:00,2021-10-22T14:38:00+00:00,3006,0.09040142007431963,90.40142007431963,1000.0,كسر-سفلي,0,True,True,,False,26.343687999999997,26.32,0.0009,28.8,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,75230,76477,2021-10-23T07:50:00+00:00,2021-10-24T04:37:00+00:00,1247,0.005684404218480894,5.684404218480894,1000.0,كسر-سفلي,0,True,True,,False,30.119032999999998,30.11,0.0003,30.36,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,77930,79520,2021-10-25T04:50:00+00:00,2021-10-26T07:20:00+00:00,1590,0.03358742370043242,33.58742370043242,1000.0,كسر-سفلي,0,True,True,,False,30.628365999999996,30.61,0.0006,31.73,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,80222,80995,2021-10-26T19:02:00+00:00,2021-10-27T07:55:00+00:00,773,-0.043995249412193835,-43.995249412193836,1000.0,كسر-سفلي,0,False,True,,False,32.999672999999994,32.97,0.0009,31.63,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,82490,83080,2021-10-28T08:50:00+00:00,2021-10-28T18:40:00+00:00,590,-0.04502956767983279,-45.02956767983279,1000.0,كسر-سفلي,0,False,True,,False,30.728426,30.71,0.0006,29.43,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,83192,84930,2021-10-28T20:32:00+00:00,2021-10-30T01:30:00+00:00,1738,-0.011008366618809457,-11.008366618809458,1000.0,كسر-سفلي,0,False,True,,False,30.839249,30.83,0.0003,30.57,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,LINKUSDT,عرضي,Donchian-96/48,1,88158,90900,2021-11-01T07:18:00+00:00,2021-11-03T05:00:00+00:00,2742,0.04128204428485375,41.28204428485375,1000.0,كسر-سفلي,0,True,True,,False,30.507431999999998,30.48,0.0009,31.84,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
