category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,2377,4975,2021-09-02T15:37:00+00:00,2021-09-04T10:55:00+00:00,2598,0.19192619184303464,191.92619184303464,1000.0,كسر-سفلي,0,True,True,,False,119.051388,118.98,0.0006,142.27,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,7618,7925,2021-09-06T06:58:00+00:00,2021-09-06T12:05:00+00:00,307,-0.0519004095954178,-51.9004095954178,1000.0,كسر-سفلي,0,False,True,,False,145.016958,144.93,0.0006,137.89,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,8132,9510,2021-09-06T15:32:00+00:00,2021-09-07T14:30:00+00:00,1378,0.14245217247207836,142.45217247207836,1000.0,كسر-سفلي,0,True,True,,False,147.804328,147.76,0.0003,169.35,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,11195,12589,2021-09-08T18:35:00+00:00,2021-09-09T17:49:00+00:00,1394,0.06587721116118679,65.87721116118679,1000.0,كسر-سفلي,0,True,True,,False,180.674186,180.62,0.0003,193.02,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,24857,26551,2021-09-18T06:17:00+00:00,2021-09-19T10:31:00+00:00,1694,0.06340064825604765,63.400648256047646,1000.0,كسر-سفلي,0,True,True,,False,149.31953799999997,149.23,0.0006,159.2,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,31149,32386,2021-09-22T15:09:00+00:00,2021-09-23T11:46:00+00:00,1237,0.03267243577629367,32.67243577629367,1000.0,كسر-سفلي,0,True,True,,False,138.611571,138.57,0.0003,143.47,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,36948,38690,2021-09-26T15:48:00+00:00,2021-09-27T20:50:00+00:00,1742,-0.002551693369925787,-2.551693369925787,1000.0,كسر-سفلي,0,False,True,,False,139.43361,139.35,0.0006,139.44,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,40567,41183,2021-09-29T04:07:00+00:00,2021-09-29T16:23:00+00:00,616,-0.036053391105820155,-36.053391105820154,1000.0,كسر-سفلي,0,False,True,,False,139.561856,139.52,0.0003,134.84,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,41881,47247,2021-09-30T04:01:00+00:00,2021-10-03T21:27:00+00:00,5366,0.1954655257078671,195.4655257078671,1000.0,كسر-سفلي,0,True,True,,False,140.574294,140.49,0.0006,168.54,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,53794,54564,2021-10-08T10:34:00+00:00,2021-10-08T23:24:00+00:00,770,-0.019557462802376892,-19.557462802376893,1000.0,كسر-سفلي,0,False,True,,False,161.768516,161.72,0.0003,158.97,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,59929,60767,2021-10-12T16:49:00+00:00,2021-10-13T06:47:00+00:00,838,-0.012615632014229146,-12.615632014229146,1000.0,كسر-سفلي,0,False,True,,False,147.384202,147.34,0.0003,145.86,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,62180,62910,2021-10-14T06:20:00+00:00,2021-10-14T18:30:00+00:00,730,-0.013982059568681399,-13.982059568681398,1000.0,كسر-سفلي,0,False,True,,False,151.155333,151.11,0.0003,149.43,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,63516,65123,2021-10-15T04:36:00+00:00,2021-10-16T07:23:00+00:00,1607,0.011182002664125744,11.182002664125744,1000.0,كسر-سفلي,0,True,True,,False,155.913492,155.82,0.0006,158.02,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,65309,65993,2021-10-16T10:29:00+00:00,2021-10-16T21:53:00+00:00,684,-0.042719511903047014,-42.719511903047014,1000.0,كسر-سفلي,0,False,True,,False,164.59869999999998,164.5,0.0006,157.93,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,66562,67128,2021-10-17T07:22:00+00:00,2021-10-17T16:48:00+00:00,566,-0.03597470426845658,-35.97470426845658,1000.0,كسر-سفلي,0,False,True,,False,164.999485,164.95,0.0003,159.43,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,71049,72810,2021-10-20T10:09:00+00:00,2021-10-21T15:30:00+00:00,1761,0.1284538850668508,128.4538850668508,1000.0,كسر-سفلي,0,True,True,,False,158.24746,158.2,0.0003,179.04,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,73346,74462,2021-10-22T00:26:00+00:00,2021-10-22T19:02:00+00:00,1116,0.023704389187664578,23.704389187664578,1000.0,كسر-سفلي,0,True,True,,False,195.09542799999997,194.92,0.0009,200.18,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,77521,79334,2021-10-24T22:01:00+00:00,2021-10-26T04:14:00+00:00,1813,0.029278291573439492,29.278291573439493,1000.0,كسر-سفلي,0,True,True,,False,200.94049199999998,200.82,0.0006,207.3,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,82471,85174,2021-10-28T08:31:00+00:00,2021-10-30T05:34:00+00:00,2703,-0.0014156346918992192,-1.415634691899219,1000.0,كسر-سفلي,0,False,True,,False,196.26648099999997,196.09,0.0009,196.44,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,87559,88738,2021-10-31T21:19:00+00:00,2021-11-01T16:58:00+00:00,1179,-0.012146021675761733,-12.146021675761732,1000.0,كسر-سفلي,0,False,True,,False,202.811614,202.69,0.0006,200.87,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,89836,91427,2021-11-02T11:16:00+00:00,2021-11-03T13:47:00+00:00,1591,0.073076095329855,73.076095329855,1000.0,كسر-سفلي,0,True,True,,False,207.522238,207.46,0.0003,223.2,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,91730,93008,2021-11-03T18:50:00+00:00,2021-11-04T16:08:00+00:00,1278,-0.003912733186876257,-3.9127331868762574,1000.0,كسر-سفلي,0,False,True,,False,235.560647,235.49,0.0003,235.25,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,93300,94063,2021-11-04T21:00:00+00:00,2021-11-05T09:43:00+00:00,763,-0.0367076582724505,-36.707658272450495,1000.0,كسر-سفلي,0,False,True,,False,248.74916,248.6,0.0006,240.17,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,95274,96887,2021-11-06T05:54:00+00:00,2021-11-07T08:47:00+00:00,1613,0.01986417739864043,19.86417739864043,1000.0,كسر-سفلي,0,True,True,,False,245.193536,245.12,0.0003,250.64,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,101589,101881,2021-11-10T15:09:00+00:00,2021-11-10T20:01:00+00:00,292,-0.03769866370840136,-37.698663708401355,1000.0,كسر-سفلي,0,False,True,,False,244.463317,244.39,0.0003,235.86,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,105845,106898,2021-11-13T14:05:00+00:00,2021-11-14T07:38:00+00:00,1053,0.0072681895152767115,7.2681895152767115,1000.0,كسر-سفلي,0,True,True,,False,233.62006899999997,233.41,0.0009,235.86,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,107903,108823,2021-11-15T00:23:00+00:00,2021-11-15T15:43:00+00:00,920,-0.011148059717113214,-11.148059717113215,1000.0,كسر-سفلي,0,False,True,,False,240.85657599999996,240.64,0.0009,238.72,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,112254,112566,2021-11-18T00:54:00+00:00,2021-11-18T06:06:00+00:00,312,-0.04783153776902236,-47.83153776902236,1000.0,كسر-سفلي,0,False,True,,False,222.546744,222.48,0.0003,212.39,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,114460,115564,2021-11-19T13:40:00+00:00,2021-11-20T08:04:00+00:00,1104,0.022362199095967976,22.362199095967977,1000.0,كسر-سفلي,0,True,True,,False,207.46222,207.4,0.0003,212.59,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,117592,118271,2021-11-21T17:52:00+00:00,2021-11-22T05:11:00+00:00,679,-0.01898959614077489,-18.98959614077489,1000.0,كسر-سفلي,0,False,True,,False,219.10571199999998,219.04,0.0003,215.44,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,120609,121019,2021-11-23T20:09:00+00:00,2021-11-24T02:59:00+00:00,410,-0.0459352458516931,-45.9352458516931,1000.0,كسر-سفلي,0,False,True,,False,224.687386,224.62,0.0003,214.86,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,SOLUSDT,عرضي,Donchian-96/48,1,123061,123781,2021-11-25T13:01:00+00:00,2021-11-26T01:01:00+00:00,720,-0.036173881370343275,-36.173881370343274,1000.0,كسر-سفلي,0,False,True,,False,214.53434099999998,214.47,0.0003,207.25,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
