category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,3276,6692,2023-09-03T06:36:00+00:00,2023-09-05T15:32:00+00:00,3416,0.08019542189291269,80.19542189291269,1000.0,كسر-سفلي,0,True,True,,False,0.1140342,0.114,0.0003,0.1235,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,8623,10683,2023-09-06T23:43:00+00:00,2023-09-08T10:03:00+00:00,2060,-0.009417433883801037,-9.417433883801037,1000.0,كسر-سفلي,0,False,True,,False,0.12411159999999999,0.124,0.0009,0.1233,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,11675,13208,2023-09-09T02:35:00+00:00,2023-09-10T04:08:00+00:00,1533,0.013856701769338294,13.856701769338294,1000.0,كسر-سفلي,0,True,True,,False,0.12733819,0.1273,0.0003,0.1294,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,13527,14861,2023-09-10T09:27:00+00:00,2023-09-11T07:41:00+00:00,1334,-0.028146178911192126,-28.146178911192127,1000.0,كسر-سفلي,0,False,True,,False,0.13348004,0.1334,0.0006,0.1301,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,20247,20859,2023-09-15T01:27:00+00:00,2023-09-15T11:39:00+00:00,612,-0.01657536700082464,-16.575367000824638,1000.0,كسر-سفلي,0,False,True,,False,0.12133639,0.1213,0.0003,0.1196,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,25112,26763,2023-09-18T10:32:00+00:00,2023-09-19T14:03:00+00:00,1651,-0.009633719220843067,-9.633719220843068,1000.0,كسر-سفلي,0,False,True,,False,0.11843552,0.1184,0.0003,0.1176,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,37815,38695,2023-09-27T06:15:00+00:00,2023-09-27T20:55:00+00:00,880,-0.011148712817073386,-11.148712817073386,1000.0,كسر-سفلي,0,False,True,,False,0.11286767999999998,0.1128,0.0006,0.1119,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,39843,41666,2023-09-28T16:03:00+00:00,2023-09-29T22:26:00+00:00,1823,-0.008715960501590262,-8.715960501590262,1000.0,كسر-سفلي,0,False,True,,False,0.11413422999999999,0.1141,0.0003,0.1134,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,43567,44271,2023-10-01T06:07:00+00:00,2023-10-01T17:51:00+00:00,704,-0.009072715379904468,-9.072715379904468,1000.0,كسر-سفلي,0,False,True,,False,0.1130678,0.113,0.0006,0.1123,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,44544,45363,2023-10-01T22:24:00+00:00,2023-10-02T12:03:00+00:00,819,-0.00843657194755381,-8.43657194755381,1000.0,كسر-سفلي,0,False,True,,False,0.11420268999999998,0.1141,0.0009,0.1135,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
