category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
اتجاهي,dir,directional,BNBUSDT,صاعد,Bollinger,1,18694,18699,2025-01-13T23:34:00+00:00,2025-01-13T23:39:00+00:00,5,-0.002023899942438989,-0.04047799884877978,20.0,تتبع,0,False,True,,False,687.40616,687.2,0.0003,687.59480688,1,baseline,0,"{""close"": 687.2, ""rsi"": 59.743548489886344, ""rsi7"": 61.36658571238173, ""macd"": -0.018370259076217393, ""adx"": 23.608294982065086, ""stoch_k"": 60.90982286634205, ""stoch_d"": 62.248084711849145, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.603362091184069, ""hurst"": 0.3506474424806944, ""atr14"": 0.2890390630552152, ""vol_sma20"": 48.03510000000001, ""vol_ratio"": 0.25485530372581716, ""atr_pct"": 0.0004206039916403015, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,18701,18702,2025-01-13T23:41:00+00:00,2025-01-13T23:42:00+00:00,1,-0.0029883459398207736,-0.05976691879641547,20.0,زمني,0,False,True,,False,688.2064,688.0,0.0003,687.73,1,baseline,0,"{""close"": 687.99, ""rsi"": 68.22503513282619, ""rsi7"": 74.50457521237209, ""macd"": 0.05590950729641875, ""adx"": 34.91477151567788, ""stoch_k"": 92.98030471943588, ""stoch_d"": 88.9644493992328, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.5694067995392139, ""hurst"": 0.2835491407463767, ""atr14"": 0.26156270909829277, ""vol_sma20"": 48.4939, ""vol_ratio"": 1.2773771546524408, ""atr_pct"": 0.0003801838821760386, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,Bollinger,1,18707,18708,2025-01-13T23:47:00+00:00,2025-01-13T23:48:00+00:00,1,-0.002611421201385585,-0.052228424027711697,20.0,زمني,0,False,True,,False,688.166388,687.96,0.0003,687.95,1,baseline,0,"{""close"": 687.96, ""rsi"": 64.1993676131049, ""rsi7"": 66.49712026957562, ""macd"": 0.0020756405542593503, ""adx"": 34.54549627025272, ""stoch_k"": 93.46405228757997, ""stoch_d"": 89.53236850295598, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.5367227600277857, ""hurst"": 0.26928674008165177, ""atr14"": 0.23727834468684153, ""vol_sma20"": 66.5688, ""vol_ratio"": 2.034977346745022, ""atr_pct"": 0.0003449013673568834, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,18712,18713,2025-01-13T23:52:00+00:00,2025-01-13T23:53:00+00:00,1,-0.0023505148572927777,-0.047010297145855556,20.0,زمني,0,False,True,,False,688.326436,688.12,0.0003,688.29,1,baseline,0,"{""close"": 688.11, ""rsi"": 65.06690015923797, ""rsi7"": 68.91359243441579, ""macd"": -0.014805468424517576, ""adx"": 32.60703758243091, ""stoch_k"": 84.56019293896749, ""stoch_d"": 87.08281248495275, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.5287766643181213, ""hurst"": 0.2567177875236837, ""atr14"": 0.2259098672313164, ""vol_sma20"": 76.13565, ""vol_ratio"": 1.1686246850194357, ""atr_pct"": 0.0003283048745568534, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,18716,18717,2025-01-13T23:56:00+00:00,2025-01-13T23:57:00+00:00,1,-0.0027852327362193393,-0.055704654724386786,20.0,زمني,0,False,True,,False,688.7665679999999,688.56,0.0003,688.43,1,baseline,0,"{""close"": 688.55, ""rsi"": 72.77446706915447, ""rsi7"": 83.6223934919527, ""macd"": 0.01876181620932771, ""adx"": 35.302762494829054, ""stoch_k"": 92.11702559934879, ""stoch_d"": 85.08284798410573, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.5568887438931311, ""hurst"": 0.3114135752484571, ""atr14"": 0.2322202134004923, ""vol_sma20"": 69.16105000000002, ""vol_ratio"": 0.48614068178548464, ""atr_pct"": 0.0003372597682092692, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,MicroBurst,1,18721,18722,2025-01-14T00:01:00+00:00,2025-01-14T00:02:00+00:00,1,-0.0027851534595124843,-0.055703069190249685,20.0,زمني,0,False,True,,False,689.056655,688.85,0.0003,688.72,1,baseline,0,"{""close"": 688.86, ""rsi"": 72.11959567430922, ""rsi7"": 77.33820764183928, ""macd"": 0.02608237854258766, ""adx"": 38.994188628019195, ""stoch_k"": 90.91452155968035, ""stoch_d"": 86.9827305311145, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.5872975769569836, ""hurst"": 0.3059083694787575, ""atr14"": 0.23302446468383609, ""vol_sma20"": 76.52485, ""vol_ratio"": 2.3580314107116838, ""atr_pct"": 0.00033827550544934543, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,MicroBurst,1,18724,18725,2025-01-14T00:04:00+00:00,2025-01-14T00:05:00+00:00,1,-0.0028864409568440568,-0.05772881913688113,20.0,زمني,0,False,True,,False,689.2167029999999,689.01,0.0003,688.81,1,baseline,0,"{""close"": 689.01, ""rsi"": 71.1228497976008, ""rsi7"": 74.67330033298623, ""macd"": 0.01828082709156542, ""adx"": 42.149340832729585, ""stoch_k"": 83.30082592886826, ""stoch_d"": 83.57730749172525, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.6694987353132822, ""hurst"": 0.24378880869295794, ""atr14"": 0.25684210966122306, ""vol_sma20"": 83.962, ""vol_ratio"": 2.7504823610681024, ""atr_pct"": 0.00037276978514277453, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,Bollinger,1,18731,18732,2025-01-14T00:11:00+00:00,2025-01-14T00:12:00+00:00,1,-0.002886853333312139,-0.05773706666624279,20.0,زمني,0,False,True,,False,688.236409,688.03,0.0003,687.83,1,baseline,0,"{""close"": 688.04, ""rsi"": 46.46096011718073, ""rsi7"": 38.296750091162075, ""macd"": -0.1367647601016392, ""adx"": 33.84453611907992, ""stoch_k"": 14.754098360660493, ""stoch_d"": 11.099726775960926, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.76063494326803, ""hurst"": 0.09593195107094686, ""atr14"": 0.27121999117298085, ""vol_sma20"": 98.1784, ""vol_ratio"": 0.8033131523838237, ""atr_pct"": 0.000394192185298792, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,18737,18740,2025-01-14T00:17:00+00:00,2025-01-14T00:20:00+00:00,3,-0.002133284370402584,-0.042665687408051683,20.0,قفل-ربح,0,False,True,,False,688.6065199999999,688.4,0.0003,688.72,1,baseline,0,"{""close"": 688.41, ""rsi"": 55.1587519383613, ""rsi7"": 59.80477594347045, ""macd"": -0.0589597880442879, ""adx"": 25.13486704964818, ""stoch_k"": 22.677595628415776, ""stoch_d"": 9.92714025501017, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8911691967719877, ""hurst"": 0.20312273699232442, ""atr14"": 0.3003564169656316, ""vol_sma20"": 92.3466, ""vol_ratio"": 0.47931380256555195, ""atr_pct"": 0.00043630455246964977, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,18742,18743,2025-01-14T00:22:00+00:00,2025-01-14T00:23:00+00:00,1,-0.002365453488366638,-0.04730906976733276,20.0,زمني,0,False,True,,False,689.646832,689.44,0.0003,689.6,1,baseline,0,"{""close"": 689.44, ""rsi"": 66.12789613935396, ""rsi7"": 73.74333077022746, ""macd"": 0.1238839128903778, ""adx"": 30.741717602159724, ""stoch_k"": 92.65536723163893, ""stoch_d"": 83.83088115305554, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.1023771763775698, ""hurst"": 0.18797477268627436, ""atr14"": 0.35910330354246306, ""vol_sma20"": 89.82365000000001, ""vol_ratio"": 0.3297795179777263, ""atr_pct"": 0.0005208622991739137, ""retest_entry"": true}"
