category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
اتجاهي,dir,directional,BNBUSDT,صاعد,MACD,1,56611,56612,2025-10-10T07:31:00+00:00,2025-10-10T07:32:00+00:00,1,-0.005253185945304932,-0.10506371890609864,20.0,زمني,0,False,True,,False,1269.5407480000001,1269.16,0.0003,1265.78,1,baseline,0,"{""close"": 1269.16, ""rsi"": 52.81999401823546, ""rsi7"": 61.2461751689861, ""macd"": 0.10215530120712035, ""adx"": 15.554718795658772, ""stoch_k"": 46.00224400784611, ""stoch_d"": 29.529627584812104, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0197406320380604, ""hurst"": 0.2156273496313612, ""atr14"": 1.4973402635146134, ""vol_sma20"": 253.34824999999995, ""vol_ratio"": 0.874239312882564, ""atr_pct"": 0.0011797884140018699, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,Stochastic,1,56616,56617,2025-10-10T07:36:00+00:00,2025-10-10T07:37:00+00:00,1,-0.00296740321100423,-0.0593480642200846,20.0,زمني,0,False,True,,False,1265.7095989999998,1265.33,0.0003,1264.86,1,baseline,0,"{""close"": 1265.34, ""rsi"": 41.14121483814485, ""rsi7"": 37.8235019709877, ""macd"": -0.2013122551201857, ""adx"": 14.929348792645897, ""stoch_k"": 10.339755539651074, ""stoch_d"": 5.786931117217434, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9761850427848728, ""hurst"": 0.18099329605594125, ""atr14"": 1.4423518817701353, ""vol_sma20"": 228.49065000000002, ""vol_ratio"": 0.9693350690717542, ""atr_pct"": 0.0011398927416900876, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,56625,56626,2025-10-10T07:45:00+00:00,2025-10-10T07:46:00+00:00,1,-0.005290809190809106,-0.10581618381618212,20.0,وقف,0,False,True,,False,1265.569557,1265.19,0.0003,1261.772848329,1,baseline,0,"{""close"": 1265.2, ""rsi"": 46.07054704521949, ""rsi7"": 50.64555832000695, ""macd"": 0.016561637902172688, ""adx"": 19.551131218612543, ""stoch_k"": 33.01720758368082, ""stoch_d"": 27.68041920257649, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9907413028816308, ""hurst"": 0.10569193448813262, ""atr14"": 1.4820452363367056, ""vol_sma20"": 275.58975, ""vol_ratio"": 1.8085650863285012, ""atr_pct"": 0.0011713920616003048, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,MACD,1,56630,56631,2025-10-10T07:50:00+00:00,2025-10-10T07:51:00+00:00,1,-0.002691631368812652,-0.053832627376253044,20.0,زمني,0,False,True,,False,1264.139128,1263.76,0.0003,1263.64,1,baseline,0,"{""close"": 1263.77, ""rsi"": 44.00211445857049, ""rsi7"": 46.28773139786172, ""macd"": 0.007091261402749183, ""adx"": 26.21922104114385, ""stoch_k"": 46.31093544137002, ""stoch_d"": 35.60132061194078, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9924776331486113, ""hurst"": 0.15142069939817437, ""atr14"": 1.4962777636088653, ""vol_sma20"": 321.48965000000004, ""vol_ratio"": 0.43030001121342465, ""atr_pct"": 0.0011839794927944684, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,56634,56635,2025-10-10T07:54:00+00:00,2025-10-10T07:55:00+00:00,1,-0.002596923220735855,-0.0519384644147171,20.0,زمني,0,False,True,,False,1266.7399079999998,1266.36,0.0003,1266.36,1,baseline,0,"{""close"": 1266.36, ""rsi"": 55.084112103591394, ""rsi7"": 67.54353577131232, ""macd"": 0.3496492417342483, ""adx"": 22.974925511769765, ""stoch_k"": 77.38986199575389, ""stoch_d"": 61.96139251837179, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.012348978194679, ""hurst"": 0.1134908793571613, ""atr14"": 1.5306197731786932, ""vol_sma20"": 316.04625, ""vol_ratio"": 1.1418012395337709, ""atr_pct"": 0.001208676658437327, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,56642,56643,2025-10-10T08:02:00+00:00,2025-10-10T08:03:00+00:00,1,-0.0031632987710625577,-0.06326597542125115,20.0,زمني,0,False,True,,False,1268.320382,1267.94,0.0003,1267.22,1,baseline,0,"{""close"": 1267.94, ""rsi"": 60.37983167191624, ""rsi7"": 70.63221423838102, ""macd"": 0.3464728058595791, ""adx"": 17.670111886475453, ""stoch_k"": 73.95649617871841, ""stoch_d"": 60.35665294924586, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9785426185094354, ""hurst"": 0.12423777671323204, ""atr14"": 1.4649978365755951, ""vol_sma20"": 316.31405000000007, ""vol_ratio"": 1.2566877759618957, ""atr_pct"": 0.0011554157425237748, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,Stochastic,1,56651,56652,2025-10-10T08:11:00+00:00,2025-10-10T08:12:00+00:00,1,-0.003859518694292254,-0.07719037388584508,20.0,زمني,0,False,True,,False,1264.319182,1263.94,0.0003,1262.34,1,baseline,0,"{""close"": 1263.95, ""rsi"": 44.08991677943277, ""rsi7"": 39.28063892506339, ""macd"": -0.21780176946947633, ""adx"": 19.343584951835776, ""stoch_k"": 13.347732600987001, ""stoch_d"": 12.737454038071661, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9231535514882212, ""hurst"": 0.1407684602340068, ""atr14"": 1.3795669224235618, ""vol_sma20"": 252.94080000000002, ""vol_ratio"": 1.0965727948990434, ""atr_pct"": 0.001091472702578078, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,Bollinger,1,59810,59812,2025-10-12T12:50:00+00:00,2025-10-12T12:52:00+00:00,2,-0.006045573365992136,-0.12091146731984273,20.0,وقف,0,False,True,symbol_collision,True,1246.7676119999999,1246.02,0.0006,1242.4573488764445,1,baseline,0,"{""close"": 1246.02, ""rsi"": 44.8699717969628, ""rsi7"": 42.79564408897295, ""macd"": -1.4512455857004412, ""adx"": 27.966042475175907, ""stoch_k"": 36.046568425014414, ""stoch_d"": 26.95593917964892, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.3161677545815813, ""hurst"": 0.48441252491993303, ""atr14"": 3.7458074056048303, ""vol_sma20"": 1577.15575, ""vol_ratio"": 0.3455594033753483, ""atr_pct"": 0.003006217721709788, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,FVG,1,59820,59821,2025-10-12T13:00:00+00:00,2025-10-12T13:01:00+00:00,1,-0.005290809190808995,-0.1058161838161799,20.0,وقف,0,False,True,symbol_collision,True,1241.9824829999998,1241.61,0.0003,1238.2565355509998,1,baseline,0,"{""close"": 1241.61, ""rsi"": 41.25866462483785, ""rsi7"": 41.249133242520834, ""macd"": -0.41303279204073595, ""adx"": 32.902586341910464, ""stoch_k"": 29.414528683707335, ""stoch_d"": 24.4227154158683, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0341583214714167, ""hurst"": 0.5761027681193077, ""atr14"": 2.9808532592650603, ""vol_sma20"": 1305.6727999999998, ""vol_ratio"": 1.168633519822118, ""atr_pct"": 0.0024007967552331735, ""retest_entry"": true}"
اتجاهي,dir,directional,BNBUSDT,صاعد,MicroBurst,1,59827,59828,2025-10-12T13:07:00+00:00,2025-10-12T13:08:00+00:00,1,-0.0025322973693879445,-0.05064594738775889,20.0,زمني,0,False,True,symbol_collision,True,1235.050404,1234.68,0.0003,1234.76,1,baseline,0,"{""close"": 1234.68, ""rsi"": 33.82453463948842, ""rsi7"": 31.201738436089386, ""macd"": -0.5782546136598441, ""adx"": 38.76729611160489, ""stoch_k"": 12.04993165275421, ""stoch_d"": 6.53989782839002, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9628919403632751, ""hurst"": 0.6276629549089141, ""atr14"": 2.770113133356215, ""vol_sma20"": 1085.0080499999997, ""vol_ratio"": 1.662937892488448, ""atr_pct"": 0.0022435879202353766, ""retest_entry"": true}"
