category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
اتجاهي,dir,directional,FILUSDT,هابط,MACD,-1,4697,4702,2025-09-04T06:17:00+00:00,2025-09-04T06:22:00+00:00,5,-0.0019062307685885134,-0.03812461537177027,20.0,تتبع,0,False,True,,False,2.2603217,2.261,0.0003,2.2594348106,1,baseline,0,"{""close"": 2.261, ""rsi"": 44.871462664806344, ""rsi7"": 39.802542561776086, ""macd"": -3.776905115227539e-05, ""adx"": 12.047273706823185, ""stoch_k"": 33.3333333333352, ""stoch_d"": 53.96825396825539, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.027881137279162, ""hurst"": 0.5113411495937799, ""atr14"": 0.002227156892484599, ""vol_sma20"": 4786.462000000001, ""vol_ratio"": 0.3600843378679282, ""atr_pct"": 0.0009850317967645284, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,FVG,-1,4712,4713,2025-09-04T06:32:00+00:00,2025-09-04T06:33:00+00:00,1,-0.0030392834443883922,-0.060785668887767846,20.0,زمني,0,False,True,,False,2.2563229000000002,2.257,0.0003,2.258,1,baseline,0,"{""close"": 2.256, ""rsi"": 43.30746899881295, ""rsi7"": 45.92192218421218, ""macd"": -6.608946585167914e-05, ""adx"": 21.17177624740328, ""stoch_k"": 41.51515151515188, ""stoch_d"": 39.59595959596005, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0163424666298242, ""hurst"": 0.4120821659073419, ""atr14"": 0.0022765572699549484, ""vol_sma20"": 3620.834500000001, ""vol_ratio"": 0.057707691417544754, ""atr_pct"": 0.0010091122650509525, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,FVG,-1,4728,4729,2025-09-04T06:48:00+00:00,2025-09-04T06:49:00+00:00,1,-0.0021543336420319944,-0.04308667284063989,20.0,زمني,0,False,True,,False,2.2533238,2.254,0.0003,2.253,1,baseline,0,"{""close"": 2.254, ""rsi"": 40.70397935495811, ""rsi7"": 34.68929752013008, ""macd"": -0.00019728496092465478, ""adx"": 13.1943284374473, ""stoch_k"": 16.666666666666686, ""stoch_d"": 35.71428571428469, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9173196831243138, ""hurst"": 0.15020164049017976, ""atr14"": 0.0020878057181235726, ""vol_sma20"": 1314.3845000000008, ""vol_ratio"": 0.9558542420425675, ""atr_pct"": 0.0009262669556892514, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,FVG,-1,4738,4739,2025-09-04T06:58:00+00:00,2025-09-04T06:59:00+00:00,1,-0.0025971028071656095,-0.05194205614331219,20.0,زمني,0,False,True,,False,2.2563229000000002,2.257,0.0003,2.257,1,baseline,0,"{""close"": 2.258, ""rsi"": 50.853621205450025, ""rsi7"": 51.18516579546092, ""macd"": 0.0004513287176361223, ""adx"": 13.379489822675827, ""stoch_k"": 70.37037037037003, ""stoch_d"": 80.42328042328053, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8689204205213507, ""hurst"": 0.12881355568931127, ""atr14"": 0.0019294495199101737, ""vol_sma20"": 1282.4860000000008, ""vol_ratio"": 0.0, ""atr_pct"": 0.0008544949158149573, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,Bollinger,-1,4748,4749,2025-09-04T07:08:00+00:00,2025-09-04T07:09:00+00:00,1,-0.004361135857473746,-0.08722271714947492,20.0,زمني,0,False,True,,False,2.2623211,2.263,0.0003,2.267,1,baseline,0,"{""close"": 2.263, ""rsi"": 58.517038520036735, ""rsi7"": 58.69135510416724, ""macd"": 0.0005872041313786951, ""adx"": 19.42296815482708, ""stoch_k"": 69.99999999999972, ""stoch_d"": 78.18181818181874, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8513154775803726, ""hurst"": 0.24050007002315368, ""atr14"": 0.0018302138432949994, ""vol_sma20"": 1468.3575000000005, ""vol_ratio"": 2.5534040586165143, ""atr_pct"": 0.0008087555648674324, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,Bollinger,-1,4757,4758,2025-09-04T07:17:00+00:00,2025-09-04T07:18:00+00:00,1,-0.0025971028071656095,-0.05194205614331219,20.0,زمني,0,False,True,,False,2.2653202,2.266,0.0003,2.266,1,baseline,0,"{""close"": 2.266, ""rsi"": 58.67810511103592, ""rsi7"": 52.789237838088, ""macd"": -1.9932502582483726e-05, ""adx"": 27.033422455341523, ""stoch_k"": 64.16666666666563, ""stoch_d"": 76.66666666666482, ""mss"": 0.0, ""sfp"": -1.0, ""vr"": 0.8307233819562806, ""hurst"": 0.32458312539043344, ""atr14"": 0.001722887101259754, ""vol_sma20"": 1811.2625000000007, ""vol_ratio"": 0.7680885570147891, ""atr_pct"": 0.0007603208743423451, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,FVG,-1,4765,4775,2025-09-04T07:25:00+00:00,2025-09-04T07:35:00+00:00,10,-0.005290809190808995,-0.1058161838161799,20.0,وقف,0,False,True,,False,2.2613214,2.262,0.0003,2.2681053641999998,1,baseline,0,"{""close"": 2.262, ""rsi"": 41.8223895775112, ""rsi7"": 24.87414196508658, ""macd"": -0.0007094939617249593, ""adx"": 28.849015310583997, ""stoch_k"": 6.666666666666093, ""stoch_d"": 17.182539682539826, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.7764954051386148, ""hurst"": 0.37242956105633473, ""atr14"": 0.0015550863376996148, ""vol_sma20"": 2229.3450000000007, ""vol_ratio"": 0.39107002280939007, ""atr_pct"": 0.0006874829079131807, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,Stochastic,-1,4778,4804,2025-09-04T07:38:00+00:00,2025-09-04T08:04:00+00:00,26,-0.005290809190808885,-0.10581618381617769,20.0,وقف,0,False,True,,False,2.2683193000000004,2.269,0.0003,2.2751242579,1,baseline,0,"{""close"": 2.269, ""rsi"": 64.75074706870112, ""rsi7"": 71.91639289500364, ""macd"": 0.000577701360715064, ""adx"": 27.33459147712199, ""stoch_k"": 93.33333333333424, ""stoch_d"": 96.66666666666708, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.7428409415153592, ""hurst"": 0.35803514018162536, ""atr14"": 0.0014370427867684463, ""vol_sma20"": 3369.408000000001, ""vol_ratio"": 0.20234415066385544, ""atr_pct"": 0.0006333374996775876, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,FVG,-1,4812,4813,2025-09-04T08:12:00+00:00,2025-09-04T08:13:00+00:00,1,-0.00259710280716572,-0.0519420561433144,20.0,زمني,0,False,True,,False,2.2723181,2.273,0.0003,2.273,1,baseline,0,"{""close"": 2.274, ""rsi"": 52.87825231630119, ""rsi7"": 47.413099101468646, ""macd"": -0.0001069908268335122, ""adx"": 22.01003443310549, ""stoch_k"": 62.96296296296335, ""stoch_d"": 67.9012345679011, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.1424309166257305, ""hurst"": 0.17600888782483878, ""atr14"": 0.0019356423406112397, ""vol_sma20"": 4101.121500000001, ""vol_ratio"": 0.431164987430877, ""atr_pct"": 0.0008512059545344062, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,FVG,-1,4818,4829,2025-09-04T08:18:00+00:00,2025-09-04T08:29:00+00:00,11,-0.005290809190808995,-0.1058161838161799,20.0,وقف,0,False,True,,False,2.2706367999999997,2.272,0.0006,2.2774487103999994,1,baseline,0,"{""close"": 2.273, ""rsi"": 49.36103896929597, ""rsi7"": 44.54311095997174, ""macd"": -0.0003573271584551281, ""adx"": 16.668287082389973, ""stoch_k"": 45.83333333333565, ""stoch_d"": 48.14814814815015, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.271711749282878, ""hurst"": 0.16298357892975424, ""atr14"": 0.0021529855054074837, ""vol_sma20"": 3577.8370000000004, ""vol_ratio"": 1.3805715576198692, ""atr_pct"": 0.0009471999583842867, ""retest_entry"": true}"
