category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
اتجاهي,dir,directional,LINKUSDT,صاعد,MicroBurst,1,4008,4010,2025-01-03T18:48:00+00:00,2025-01-03T18:50:00+00:00,2,-0.0012909219549889323,-0.025818439099778646,20.0,تتبع,0,False,True,symbol_collision,True,23.797137,23.79,0.0003,23.821150665999998,1,baseline,0,"{""close"": 23.79, ""rsi"": 66.19632695525192, ""rsi7"": 78.50624492469278, ""macd"": 0.006927938295736132, ""adx"": 21.91317875576979, ""stoch_k"": 89.43001443001351, ""stoch_d"": 83.3583083583071, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8990563390119131, ""hurst"": 0.41440603809218357, ""atr14"": 0.03739583329156435, ""vol_sma20"": 3497.1880000000006, ""vol_ratio"": 1.8020935677464291, ""atr_pct"": 0.0015719139676992162, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,Bollinger,1,4026,4032,2025-01-03T19:06:00+00:00,2025-01-03T19:12:00+00:00,6,0.0014202607766514727,0.028405215533029455,20.0,تتبع,0,True,True,symbol_collision,True,23.697107,23.69,0.0003,23.785414874,1,baseline,0,"{""close"": 23.7, ""rsi"": 40.165309107137425, ""rsi7"": 32.347370454217256, ""macd"": -0.014677652110149304, ""adx"": 24.250447014186488, ""stoch_k"": 11.76470588235326, ""stoch_d"": 9.81299927378408, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.935505079282665, ""hurst"": 0.35799663222786343, ""atr14"": 0.03605506501897563, ""vol_sma20"": 3083.808000000001, ""vol_ratio"": 0.8669638317301205, ""atr_pct"": 0.0015213107602943304, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,Bollinger,1,4050,4054,2025-01-03T19:30:00+00:00,2025-01-03T19:34:00+00:00,4,-0.001571579681895526,-0.03143159363791052,20.0,قفل-ربح,0,False,True,symbol_collision,True,23.847151999999998,23.84,0.0003,23.864507834931576,1,baseline,0,"{""close"": 23.84, ""rsi"": 59.35574081523869, ""rsi7"": 66.47761129137598, ""macd"": -0.00015983979866047993, ""adx"": 18.883597194636938, ""stoch_k"": 63.636363636364216, ""stoch_d"": 42.87317620650989, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0419197217288185, ""hurst"": 0.15787540150966667, ""atr14"": 0.038556954983675805, ""vol_sma20"": 3971.037500000001, ""vol_ratio"": 0.4804386762905159, ""atr_pct"": 0.0016173219372347233, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,MACD,1,4063,4065,2025-01-03T19:43:00+00:00,2025-01-03T19:45:00+00:00,2,-0.005290809190809106,-0.10581618381618212,20.0,وقف,0,False,True,symbol_collision,True,23.914339999999996,23.9,0.0006,23.842596979999996,1,baseline,0,"{""close"": 23.9, ""rsi"": 63.49767845661088, ""rsi7"": 72.6086353703035, ""macd"": 0.0033985374553925814, ""adx"": 22.313286558528976, ""stoch_k"": 67.46794871794845, ""stoch_d"": 55.803795877324895, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.2058810239130633, ""hurst"": 0.17918546162139176, ""atr14"": 0.045150377236215025, ""vol_sma20"": 3335.3960000000006, ""vol_ratio"": 1.1648032197676075, ""atr_pct"": 0.0018891371228541853, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,Bollinger,1,4087,4089,2025-01-03T20:07:00+00:00,2025-01-03T20:09:00+00:00,2,-0.002596923220735966,-0.05193846441471932,20.0,تتبع,0,False,True,symbol_collision,True,23.637089,23.63,0.0003,23.63,1,baseline,0,"{""close"": 23.64, ""rsi"": 26.948537778397395, ""rsi7"": 18.352076557680377, ""macd"": -0.019147132770074456, ""adx"": 22.540396839167418, ""stoch_k"": 7.449494949494574, ""stoch_d"": 6.619943395305142, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0573308678855942, ""hurst"": 0.2958436246344749, ""atr14"": 0.04032437982641824, ""vol_sma20"": 3466.826000000001, ""vol_ratio"": 1.0359504630460252, ""atr_pct"": 0.0017057690281902808, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,MACD,1,4097,4104,2025-01-03T20:17:00+00:00,2025-01-03T20:24:00+00:00,7,-0.0015073092484804622,-0.030146184969609243,20.0,قفل-ربح,0,False,True,symbol_collision,True,23.60708,23.6,0.0003,23.62578184321254,1,baseline,0,"{""close"": 23.6, ""rsi"": 37.490346455830824, ""rsi7"": 42.34440843339564, ""macd"": 0.00012198417997871108, ""adx"": 35.73609237665029, ""stoch_k"": 34.91285403050202, ""stoch_d"": 25.012103606875428, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0677177481358466, ""hurst"": 0.43269727061768426, ""atr14"": 0.041547187427194265, ""vol_sma20"": 4813.960500000001, ""vol_ratio"": 0.49936429681963523, ""atr_pct"": 0.0017604740435251806, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,OBV,1,4107,4116,2025-01-03T20:27:00+00:00,2025-01-03T20:36:00+00:00,9,-0.0017527394909185473,-0.03505478981837094,20.0,قفل-ربح,0,False,True,symbol_collision,True,23.637089,23.63,0.0003,23.65,1,baseline,0,"{""close"": 23.64, ""rsi"": 47.58545203537033, ""rsi7"": 56.86349420934056, ""macd"": 0.010775300516757923, ""adx"": 24.887993305359696, ""stoch_k"": 75.00000000000024, ""stoch_d"": 76.76767676767726, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8999213770464844, ""hurst"": 0.4606147131471921, ""atr14"": 0.034994465221002226, ""vol_sma20"": 3262.3470000000007, ""vol_ratio"": 0.24780319199643686, ""atr_pct"": 0.001480307327453563, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,Bollinger,1,4125,4137,2025-01-03T20:45:00+00:00,2025-01-03T20:57:00+00:00,12,-0.005290809190809106,-0.10581618381618212,20.0,وقف,0,False,True,symbol_collision,True,23.597077,23.59,0.0003,23.526285768999998,1,baseline,0,"{""close"": 23.58, ""rsi"": 40.07115718930996, ""rsi7"": 38.09939766360544, ""macd"": -0.006157256924623877, ""adx"": 19.190340596026115, ""stoch_k"": 11.904761904760326, ""stoch_d"": 9.312169312168043, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8775435316712129, ""hurst"": 0.44522308027216867, ""atr14"": 0.033750455734290266, ""vol_sma20"": 1878.2580000000005, ""vol_ratio"": 1.4079748362578512, ""atr_pct"": 0.0014313170370776195, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,MACD,1,4147,4149,2025-01-03T21:07:00+00:00,2025-01-03T21:09:00+00:00,2,-0.001662558153377562,-0.033251163067551236,20.0,قفل-ربح,0,False,True,symbol_collision,True,23.567068,23.56,0.0003,23.582070957569176,1,baseline,0,"{""close"": 23.55, ""rsi"": 49.03569344327122, ""rsi7"": 60.051272269810944, ""macd"": 0.0013496645064573105, ""adx"": 26.83109348974196, ""stoch_k"": 36.11111111111053, ""stoch_d"": 24.999999999999392, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8858127114871587, ""hurst"": 0.3816679914215755, ""atr14"": 0.03331575991776503, ""vol_sma20"": 3010.678000000001, ""vol_ratio"": 1.2664157375846898, ""atr_pct"": 0.0014146819497989397, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,هابط,Stochastic,-1,4956,4957,2025-01-04T10:36:00+00:00,2025-01-04T10:37:00+00:00,1,-0.00389941037334022,-0.0779882074668044,20.0,زمني,0,False,True,,False,22.983103,22.99,0.0003,23.02,1,baseline,0,"{""close"": 22.99, ""rsi"": 56.23135212083658, ""rsi7"": 58.92550409281007, ""macd"": 0.007302675256501934, ""adx"": 20.20709184029561, ""stoch_k"": 87.8787878787863, ""stoch_d"": 93.93939393939313, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9954801561325131, ""hurst"": 0.2725869077477806, ""atr14"": 0.025262081299742847, ""vol_sma20"": 1980.8125000000007, ""vol_ratio"": 0.7365664342283782, ""atr_pct"": 0.001098829112646492, ""retest_entry"": true}"
