category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
اتجاهي,dir,directional,RENDERUSDT,هابط,FVG,-1,4801,4802,2025-09-04T08:01:00+00:00,2025-09-04T08:02:00+00:00,1,-0.003186415885530875,-0.0637283177106175,20.0,زمني,0,False,True,,False,3.3859839000000003,3.387,0.0003,3.389,1,baseline,0,"{""close"": 3.387, ""rsi"": 56.099073203060605, ""rsi7"": 49.512630105739326, ""macd"": 0.0006131766585484011, ""adx"": 26.577863989733476, ""stoch_k"": 70.52287581699319, ""stoch_d"": 83.85620915032659, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8281331465489653, ""hurst"": 0.2633398756680431, ""atr14"": 0.002196247129510123, ""vol_sma20"": 723.691499999999, ""vol_ratio"": 4.15965919179651, ""atr_pct"": 0.0006484343458842996, ""retest_entry"": true}"
اتجاهي,dir,directional,RENDERUSDT,هابط,FVG,-1,4813,4814,2025-09-04T08:13:00+00:00,2025-09-04T08:14:00+00:00,1,-0.003183645092332597,-0.06367290184665195,20.0,زمني,0,False,True,,False,3.4019791,3.403,0.0003,3.405,1,baseline,0,"{""close"": 3.404, ""rsi"": 69.55198129135405, ""rsi7"": 65.18757677239978, ""macd"": 0.000837905087892451, ""adx"": 37.743436061524335, ""stoch_k"": 79.48717948717967, ""stoch_d"": 85.04273504273515, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0684280925887535, ""hurst"": 0.3661534269019276, ""atr14"": 0.0028265406214764074, ""vol_sma20"": 808.490499999999, ""vol_ratio"": 0.7652285339159839, ""atr_pct"": 0.0008303585844525287, ""retest_entry"": true}"
اتجاهي,dir,directional,RENDERUSDT,هابط,FVG,-1,4818,4819,2025-09-04T08:18:00+00:00,2025-09-04T08:19:00+00:00,1,-0.0023038316645821156,-0.04607663329164231,20.0,زمني,0,False,True,,False,3.4019791,3.403,0.0003,3.402,1,baseline,0,"{""close"": 3.403, ""rsi"": 60.318836718996224, ""rsi7"": 51.69759310137688, ""macd"": -0.00047013387285533333, ""adx"": 36.35466325783961, ""stoch_k"": 66.73280423280438, ""stoch_d"": 73.25159408492722, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.153629495036807, ""hurst"": 0.39322337881125585, ""atr14"": 0.0030785270775752836, ""vol_sma20"": 922.8534999999989, ""vol_ratio"": 0.3200399630060463, ""atr_pct"": 0.0009046509190641445, ""retest_entry"": true}"
اتجاهي,dir,directional,RENDERUSDT,هابط,FVG,-1,4826,4827,2025-09-04T08:26:00+00:00,2025-09-04T08:27:00+00:00,1,-0.004065616194763696,-0.08131232389527392,20.0,زمني,0,False,True,,False,3.3969806000000005,3.398,0.0003,3.403,1,baseline,0,"{""close"": 3.399, ""rsi"": 49.32013319092038, ""rsi7"": 35.08715906702692, ""macd"": -0.0013104586366119858, ""adx"": 29.185387044670897, ""stoch_k"": 8.333333333334277, ""stoch_d"": 15.404040404041828, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.926781476442078, ""hurst"": 0.4256294397780202, ""atr14"": 0.002467867423058437, ""vol_sma20"": 744.9934999999989, ""vol_ratio"": 1.4048176259255973, ""atr_pct"": 0.0007260569058718556, ""retest_entry"": true}"
اتجاهي,dir,directional,RENDERUSDT,هابط,FVG,-1,4833,4834,2025-09-04T08:33:00+00:00,2025-09-04T08:34:00+00:00,1,-0.0034782108397243944,-0.06956421679448789,20.0,زمني,0,False,True,,False,3.3969806000000005,3.398,0.0003,3.401,1,baseline,0,"{""close"": 3.399, ""rsi"": 46.16703923769687, ""rsi7"": 36.468784783201905, ""macd"": -0.0006301931337390028, ""adx"": 25.677902755261893, ""stoch_k"": 45.454545454545844, ""stoch_d"": 69.39393939394012, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0773975666900961, ""hurst"": 0.4264245608094172, ""atr14"": 0.00282359258211855, ""vol_sma20"": 611.4239999999988, ""vol_ratio"": 3.947735123253265, ""atr_pct"": 0.0008307127337800972, ""retest_entry"": true}"
اتجاهي,dir,directional,RENDERUSDT,هابط,MicroBurst,-1,4840,4841,2025-09-04T08:40:00+00:00,2025-09-04T08:41:00+00:00,1,-0.0034782108397243944,-0.06956421679448789,20.0,زمني,0,False,True,,False,3.3969806000000005,3.398,0.0003,3.401,1,baseline,0,"{""close"": 3.399, ""rsi"": 46.233386243991475, ""rsi7"": 39.60711258187146, ""macd"": -0.0007416843023568801, ""adx"": 16.571707112795085, ""stoch_k"": 18.181818181816737, ""stoch_d"": 19.19191919191766, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8954398246690362, ""hurst"": 0.44494189209457746, ""atr14"": 0.002299392468161694, ""vol_sma20"": 769.0989999999989, ""vol_ratio"": 3.131183371711579, ""atr_pct"": 0.0006764908703035286, ""retest_entry"": true}"
اتجاهي,dir,directional,RENDERUSDT,هابط,FVG,-1,12677,12678,2025-09-09T19:17:00+00:00,2025-09-09T19:18:00+00:00,1,-0.002070869378105729,-0.04141738756211458,20.0,قفل-ربح,0,False,True,symbol_collision,True,3.7918621000000003,3.793,0.0003,3.791,1,baseline,0,"{""close"": 3.793, ""rsi"": 47.40025410850916, ""rsi7"": 37.91458318063953, ""macd"": -0.0006919748923435527, ""adx"": 22.756958804632482, ""stoch_k"": 40.74074074074317, ""stoch_d"": 56.857463524132605, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.7963194935261235, ""hurst"": 0.3446062568696048, ""atr14"": 0.0032582258379376004, ""vol_sma20"": 739.72, ""vol_ratio"": 0.8625966581949928, ""atr_pct"": 0.0008590102393718957, ""retest_entry"": true}"
اتجاهي,dir,directional,RENDERUSDT,هابط,Stochastic,-1,12699,12703,2025-09-09T19:39:00+00:00,2025-09-09T19:43:00+00:00,4,-0.0008677408476518125,-0.01735481695303625,20.0,تتبع,0,False,True,symbol_collision,True,3.8178543,3.819,0.0003,3.8123823426000003,1,baseline,0,"{""close"": 3.82, ""rsi"": 66.93163952522059, ""rsi7"": 63.46188237765916, ""macd"": 0.0008143691533065607, ""adx"": 35.33799549147368, ""stoch_k"": 88.82783882783797, ""stoch_d"": 92.23420612309467, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9078527397831766, ""hurst"": 0.2566617207597318, ""atr14"": 0.0035196933931976797, ""vol_sma20"": 773.0195, ""vol_ratio"": 0.9201190914330104, ""atr_pct"": 0.0009213857050255706, ""retest_entry"": true}"
اتجاهي,dir,directional,RENDERUSDT,هابط,FVG,-1,12715,12721,2025-09-09T19:55:00+00:00,2025-09-09T20:01:00+00:00,6,-0.001783843364970557,-0.03567686729941114,20.0,قفل-ربح,0,False,True,symbol_collision,True,3.8108564,3.812,0.0003,3.8088936475767503,1,baseline,0,"{""close"": 3.811, ""rsi"": 45.50565699147956, ""rsi7"": 33.03803398425397, ""macd"": -0.000825774873715681, ""adx"": 20.1137552971058, ""stoch_k"": 42.85714285714197, ""stoch_d"": 59.42460317460232, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.137074820734458, ""hurst"": 0.244824739004749, ""atr14"": 0.0043618364074012135, ""vol_sma20"": 2709.2434999999996, ""vol_ratio"": 1.4602378855942628, ""atr_pct"": 0.0011445385482553696, ""retest_entry"": true}"
اتجاهي,dir,directional,RENDERUSDT,هابط,FVG,-1,12977,12979,2025-09-10T00:17:00+00:00,2025-09-10T00:19:00+00:00,2,-0.0005278505146268973,-0.010557010292537946,20.0,تتبع,0,False,True,,False,3.7848642000000003,3.786,0.0003,3.7781501244,1,baseline,0,"{""close"": 3.786, ""rsi"": 40.593996117092885, ""rsi7"": 33.382434783476796, ""macd"": -0.0009486414055859221, ""adx"": 18.112601253085632, ""stoch_k"": 17.46031746031739, ""stoch_d"": 22.751322751322977, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0320985321827167, ""hurst"": 0.19728317831857753, ""atr14"": 0.004714496225913699, ""vol_sma20"": 2022.9055, ""vol_ratio"": 0.40028068538050837, ""atr_pct"": 0.001245244644985129, ""retest_entry"": true}"
