category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
دوناتشيان,donchian,donchian,VETUSDT,عرضي,Donchian-96/48,1,1871,2920,2021-09-02T07:11:00+00:00,2021-09-03T00:40:00+00:00,1049,0.004314148887813878,4.314148887813878,1000.0,كسر-سفلي,0,True,True,,False,0.140031997,0.13999,0.0003,0.14096,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,VETUSDT,عرضي,Donchian-96/48,1,4727,5351,2021-09-04T06:47:00+00:00,2021-09-04T17:11:00+00:00,624,-0.03009149147056548,-30.09149147056548,1000.0,كسر-سفلي,0,False,True,,False,0.14780432799999998,0.14776,0.0003,0.14373,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,VETUSDT,عرضي,Donchian-96/48,1,6642,7923,2021-09-05T14:42:00+00:00,2021-09-06T12:03:00+00:00,1281,-0.0014639625103363065,-1.4639625103363065,1000.0,كسر-سفلي,0,False,True,,False,0.149664886,0.14962,0.0003,0.14988,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,VETUSDT,عرضي,Donchian-96/48,1,11869,13472,2021-09-09T05:49:00+00:00,2021-09-10T08:32:00+00:00,1603,-0.024615295678948754,-24.615295678948755,1000.0,كسر-سفلي,0,False,True,,False,0.122156636,0.12212,0.0003,0.11946,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,VETUSDT,عرضي,Donchian-96/48,1,16505,17083,2021-09-12T11:05:00+00:00,2021-09-12T20:43:00+00:00,578,-0.029832317009556613,-29.83231700955661,1000.0,كسر-سفلي,0,False,True,,False,0.11985777499999999,0.11975,0.0009,0.11662,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,VETUSDT,عرضي,Donchian-96/48,1,19476,20011,2021-09-14T12:36:00+00:00,2021-09-14T21:31:00+00:00,535,-0.02998171658098613,-29.98171658098613,1000.0,كسر-سفلي,0,False,True,,False,0.11748564199999999,0.11738,0.0009,0.11426,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,VETUSDT,عرضي,Donchian-96/48,1,20793,21798,2021-09-15T10:33:00+00:00,2021-09-16T03:18:00+00:00,1005,0.002905468317405102,2.9054683174051017,1000.0,كسر-سفلي,0,True,True,,False,0.118615574,0.11858,0.0003,0.11927,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,VETUSDT,عرضي,Donchian-96/48,1,29485,29859,2021-09-21T11:25:00+00:00,2021-09-21T17:39:00+00:00,374,-0.06193687199336167,-61.93687199336167,1000.0,كسر-سفلي,0,False,True,,False,0.097349196,0.09732,0.0003,0.09153,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,VETUSDT,عرضي,Donchian-96/48,1,31175,32386,2021-09-22T15:35:00+00:00,2021-09-23T11:46:00+00:00,1211,0.018900368653554423,18.900368653554423,1000.0,كسر-سفلي,0,True,True,,False,0.09566736599999999,0.09561,0.0006,0.0977,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,VETUSDT,عرضي,Donchian-96/48,1,36961,38259,2021-09-26T16:01:00+00:00,2021-09-27T13:39:00+00:00,1298,-0.02628281281243598,-26.282812812435978,1000.0,كسر-سفلي,0,False,True,,False,0.09224766599999999,0.09222,0.0003,0.09003,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,VETUSDT,صاعد,Donchian-96/48,1,41862,44804,2021-09-30T03:42:00+00:00,2021-10-02T04:44:00+00:00,2942,0.20579699445125665,205.79699445125667,1000.0,كسر-سفلي,0,True,True,,False,0.087756319,0.08773,0.0003,0.10606,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,VETUSDT,عرضي,Donchian-96/48,1,45271,46008,2021-10-02T12:31:00+00:00,2021-10-03T00:48:00+00:00,737,-0.022776282339692,-22.776282339692,1000.0,كسر-سفلي,0,False,True,,False,0.11173046699999999,0.11163,0.0009,0.10947,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
