category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,1528,2549,2021-09-02T01:28:00+00:00,2021-09-02T18:29:00+00:00,1021,-0.011282174732015864,-11.282174732015864,1000.0,كسر-سفلي,0,False,True,,False,0.35610679999999995,0.356,0.0003,0.3529,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,3659,5340,2021-09-03T12:59:00+00:00,2021-09-04T17:00:00+00:00,1681,0.005786301710788077,5.786301710788076,1000.0,كسر-سفلي,0,True,True,,False,0.36772049999999995,0.3675,0.0006,0.3707,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,6538,9051,2021-09-05T12:58:00+00:00,2021-09-07T06:51:00+00:00,2513,0.0676977337175051,67.6977337175051,1000.0,كسر-سفلي,0,True,True,,False,0.38321493,0.3831,0.0003,0.4101,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,11873,13806,2021-09-09T05:53:00+00:00,2021-09-10T14:06:00+00:00,1933,-0.036632933259197344,-36.632933259197344,1000.0,كسر-سفلي,0,False,True,,False,0.3371011,0.337,0.0003,0.3255,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,15263,15799,2021-09-11T14:23:00+00:00,2021-09-11T23:19:00+00:00,536,-0.027690726001178164,-27.690726001178163,1000.0,كسر-سفلي,0,False,True,,False,0.32999897,0.3299,0.0003,0.3216,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,16511,17101,2021-09-12T11:11:00+00:00,2021-09-12T21:01:00+00:00,590,-0.02985345871109912,-29.85345871109912,1000.0,كسر-سفلي,0,False,True,,False,0.33289983999999995,0.3328,0.0003,0.3239,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,19658,21799,2021-09-14T15:38:00+00:00,2021-09-16T03:19:00+00:00,2141,0.027811919284237666,27.811919284237664,1000.0,كسر-سفلي,0,True,True,,False,0.32479740999999995,0.3247,0.0003,0.3347,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,31202,33373,2021-09-22T16:02:00+00:00,2021-09-24T04:13:00+00:00,2171,0.03521267042340624,35.212670423406244,1000.0,كسر-سفلي,0,True,True,,False,0.28498546999999996,0.2849,0.0003,0.2957,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,36960,38191,2021-09-26T16:00:00+00:00,2021-09-27T12:31:00+00:00,1231,-0.02642930772295066,-26.42930772295066,1000.0,كسر-سفلي,0,False,True,,False,0.28048411999999995,0.2804,0.0003,0.2737,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,XLMUSDT,عرضي,Donchian-96/48,1,40849,41546,2021-09-29T10:49:00+00:00,2021-09-29T22:26:00+00:00,697,-0.020328533474589596,-20.328533474589594,1000.0,كسر-سفلي,0,False,True,,False,0.270081,0.27,0.0003,0.2652,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
