NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
5,100,3,BNBUSDT,F_001,2026-06-01T10:30:00+00:00,2026-06-01T12:10:00+00:00,700.369298,685.835123,1000.0,-20.7522,,stop,20
5,100,3,BNBUSDT,F_001,2026-06-01T19:05:00+00:00,2026-06-01T20:10:00+00:00,691.778144,697.929654,1000.0,8.8923,,tp,13
5,100,3,BNBUSDT,F_001,2026-06-01T21:10:00+00:00,2026-06-02T01:35:00+00:00,690.806883,685.260599,1000.0,-8.0287,,stop,53
5,100,3,BNBUSDT,F_001,2026-06-04T13:20:00+00:00,2026-06-04T18:55:00+00:00,600.589753,609.513497,1000.0,14.8583,,tp,67
5,100,3,BNBUSDT,F_001,2026-06-04T19:50:00+00:00,2026-06-04T20:00:00+00:00,607.759061,604.253937,1000.0,-5.7673,,stop,2
5,100,3,BNBUSDT,F_001,2026-06-04T20:05:00+00:00,2026-06-04T21:25:00+00:00,605.876617,602.236976,1000.0,-6.0072,,stop,16
5,100,3,BNBUSDT,F_001,2026-06-06T01:25:00+00:00,2026-06-06T03:05:00+00:00,575.797565,572.582239,1000.0,-5.5841,,stop,20
5,100,3,BNBUSDT,F_001,2026-06-06T06:45:00+00:00,2026-06-06T08:30:00+00:00,575.7475,583.53934,1000.0,13.5334,,tp,21
5,100,3,BNBUSDT,F_001,2026-06-06T09:50:00+00:00,2026-06-06T10:00:00+00:00,577.229424,572.945054,1000.0,-7.4223,,stop,2
5,100,3,BNBUSDT,F_001,2026-06-07T04:25:00+00:00,2026-06-07T05:10:00+00:00,579.191972,583.041603,1000.0,6.6466,,tp,9
5,100,3,BNBUSDT,F_001,2026-06-08T01:05:00+00:00,2026-06-08T01:10:00+00:00,604.845278,600.791803,1000.0,-6.7017,,stop,1
5,100,3,BNBUSDT,F_001,2026-06-08T01:15:00+00:00,2026-06-08T04:15:00+00:00,601.661144,597.460577,1000.0,-6.9816,,stop,36
5,100,3,BNBUSDT,F_001,2026-06-08T12:05:00+00:00,2026-06-08T15:10:00+00:00,599.868817,605.081188,1000.0,8.6892,,tp,37
