NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,symbol,net,trades,win_pct,gross,costs,risk_total
5,100,3,LINKUSDT,-852.5,301,21.93,-71.01,781.49,0.0
5,100,5,LINKUSDT,-863.24,303,21.78,-76.56,786.68,0.0
5,100,10,LINKUSDT,-863.24,303,21.78,-76.56,786.68,0.0
5,200,3,LINKUSDT,-982.73,386,22.28,19.59,1002.32,0.0
5,200,5,LINKUSDT,-986.11,387,22.22,18.8,1004.92,0.0
5,200,10,LINKUSDT,-986.11,387,22.22,18.8,1004.92,0.0
10,100,3,LINKUSDT,-1977.83,662,20.69,-259.2,1718.63,0.0
10,100,5,LINKUSDT,-1988.37,664,20.63,-264.55,1723.82,0.0
10,100,10,LINKUSDT,-1993.64,662,20.54,-275.04,1718.61,0.0
10,200,3,LINKUSDT,-1995.19,775,23.23,17.21,2012.41,0.0
10,200,5,LINKUSDT,-2005.12,777,23.17,12.48,2017.59,0.0
10,200,10,LINKUSDT,-2010.4,775,23.1,1.99,2012.39,0.0
15,100,3,LINKUSDT,-2877.87,987,20.97,-315.41,2562.46,0.0
15,100,5,LINKUSDT,-2892.37,990,20.91,-322.13,2570.24,0.0
15,100,10,LINKUSDT,-2823.44,969,20.85,-307.71,2515.73,0.0
15,200,3,LINKUSDT,-2824.02,1125,23.02,97.31,2921.33,0.0
15,200,5,LINKUSDT,-2839.13,1128,22.96,89.98,2929.11,0.0
15,200,10,LINKUSDT,-2788.45,1110,22.88,93.92,2882.38,0.0
