NOVA_LB,NOVA_WICK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
10,0.5,BTCUSDT,F_008,2026-06-01T08:35:00+00:00,2026-06-01T08:40:00+00:00,72921.965477,72614.082863,1000.0,-4.2221,,stop,1
10,0.5,BTCUSDT,F_008,2026-06-01T10:40:00+00:00,2026-06-01T11:55:00+00:00,72736.765029,72434.564664,1000.0,-4.1547,,stop,15
10,0.5,BTCUSDT,F_008,2026-06-01T22:10:00+00:00,2026-06-01T23:35:00+00:00,71007.029292,71394.863726,1000.0,5.4619,,tp,17
10,0.5,BTCUSDT,F_008,2026-06-02T22:45:00+00:00,2026-06-02T22:45:00+00:00,67043.0428,66571.04636,1000.0,-7.0402,,stop,0
10,0.5,BTCUSDT,F_008,2026-06-03T03:55:00+00:00,2026-06-03T05:00:00+00:00,66022.397684,66802.216046,1000.0,11.8114,,tp,13
10,0.5,BTCUSDT,F_008,2026-06-03T12:05:00+00:00,2026-06-03T12:10:00+00:00,67193.227787,66930.940019,1000.0,-3.9035,,stop,1
10,0.5,BTCUSDT,F_008,2026-06-03T13:50:00+00:00,2026-06-03T15:05:00+00:00,66880.8322,66447.129918,1000.0,-6.4847,,stop,15
10,0.5,BTCUSDT,F_008,2026-06-03T15:25:00+00:00,2026-06-03T15:55:00+00:00,66468.586977,66021.370331,1000.0,-6.7282,,stop,6
10,0.5,BTCUSDT,F_008,2026-06-03T16:05:00+00:00,2026-06-03T16:20:00+00:00,66265.252986,65755.463897,1000.0,-7.6932,,stop,3
10,0.5,BTCUSDT,F_008,2026-06-04T08:25:00+00:00,2026-06-04T09:15:00+00:00,63634.6176,63054.962305,1000.0,-9.1091,,stop,10
10,0.5,BTCUSDT,F_008,2026-06-04T09:35:00+00:00,2026-06-04T10:25:00+00:00,63077.8948,62579.195949,1000.0,-7.9061,,stop,10
10,0.5,BTCUSDT,F_008,2026-06-04T17:50:00+00:00,2026-06-04T18:25:00+00:00,63172.287351,63817.453812,1000.0,10.2128,,tp,7
10,0.5,BTCUSDT,F_008,2026-06-04T20:30:00+00:00,2026-06-05T01:00:00+00:00,63423.353313,62992.126953,1000.0,-6.7992,,stop,54
10,0.5,BTCUSDT,F_008,2026-06-05T11:15:00+00:00,2026-06-05T11:45:00+00:00,62407.554489,62008.187486,1000.0,-6.3993,,stop,6
10,0.5,BTCUSDT,F_008,2026-06-05T13:45:00+00:00,2026-06-05T13:45:00+00:00,61926.3998,61342.823183,1000.0,-9.4237,,stop,0
10,0.5,BTCUSDT,F_008,2026-06-05T18:40:00+00:00,2026-06-05T18:40:00+00:00,60388.362948,59870.119052,1000.0,-8.5819,,stop,0
10,0.5,BTCUSDT,F_008,2026-06-06T01:55:00+00:00,2026-06-06T02:05:00+00:00,61246.707347,60863.139416,1000.0,-6.2627,,stop,2
10,0.5,BTCUSDT,F_008,2026-06-06T02:10:00+00:00,2026-06-06T02:15:00+00:00,61105.3338,60726.844711,1000.0,-6.194,,stop,1
10,0.5,BTCUSDT,F_008,2026-06-06T03:30:00+00:00,2026-06-06T03:30:00+00:00,60879.029987,60485.225412,1000.0,-6.4686,,stop,0
10,0.5,BTCUSDT,F_008,2026-06-07T02:25:00+00:00,2026-06-07T05:15:00+00:00,61387.710413,61969.088591,1000.0,9.4706,,tp,34
10,0.5,BTCUSDT,F_008,2026-06-07T09:40:00+00:00,2026-06-07T09:45:00+00:00,62676.643851,62302.204129,1000.0,-5.9742,,stop,1
10,0.5,BTCUSDT,F_008,2026-06-08T01:20:00+00:00,2026-06-08T01:25:00+00:00,63169.764075,62696.2928,1000.0,-7.4952,,stop,1
