NOVA_BODY,NOVA_RNG_ATR,NOVA_LB,symbol,net,trades,win_pct,gross,costs,risk_total
0.4,0.6,10,LINKUSDT,-3036.32,1132,22.88,-97.07,2939.25,0.0
0.4,0.6,20,LINKUSDT,-2044.74,761,23.52,-68.8,1975.94,0.0
0.4,0.6,50,LINKUSDT,-1127.07,438,24.2,10.26,1137.33,0.0
0.4,0.8,10,LINKUSDT,-2743.78,1050,23.05,-17.34,2726.43,0.0
0.4,0.8,20,LINKUSDT,-1896.94,718,23.82,-32.61,1864.33,0.0
0.4,0.8,50,LINKUSDT,-1086.32,429,24.24,27.67,1113.99,0.0
0.4,1.0,10,LINKUSDT,-2462.81,920,23.15,-74.01,2388.8,0.0
0.4,1.0,20,LINKUSDT,-1779.11,650,23.54,-91.42,1687.69,0.0
0.4,1.0,50,LINKUSDT,-1117.55,394,22.84,-94.6,1022.95,0.0
0.5,0.6,10,LINKUSDT,-2768.3,1045,22.97,-54.9,2713.4,0.0
0.5,0.6,20,LINKUSDT,-1922.89,706,23.23,-89.79,1833.1,0.0
0.5,0.6,50,LINKUSDT,-1047.97,405,24.2,3.67,1051.64,0.0
0.5,0.8,10,LINKUSDT,-2504.12,979,23.39,38.03,2542.14,0.0
0.5,0.8,20,LINKUSDT,-1753.9,671,23.85,-11.58,1742.32,0.0
0.5,0.8,50,LINKUSDT,-998.5,396,24.49,29.8,1028.3,0.0
0.5,1.0,10,LINKUSDT,-2257.26,865,23.47,-11.19,2246.07,0.0
0.5,1.0,20,LINKUSDT,-1583.91,605,24.3,-12.97,1570.94,0.0
0.5,1.0,50,LINKUSDT,-1016.94,360,23.33,-82.26,934.68,0.0
0.6,0.6,10,LINKUSDT,-2460.24,919,22.2,-74.04,2386.2,0.0
0.6,0.6,20,LINKUSDT,-1602.94,614,23.45,-8.63,1594.32,0.0
0.6,0.6,50,LINKUSDT,-874.42,359,24.23,57.84,932.26,0.0
0.6,0.8,10,LINKUSDT,-2296.96,866,22.29,-48.34,2248.61,0.0
0.6,0.8,20,LINKUSDT,-1478.38,586,23.89,43.3,1521.68,0.0
0.6,0.8,50,LINKUSDT,-860.9,352,24.15,53.18,914.08,0.0
0.6,1.0,10,LINKUSDT,-2080.63,771,22.18,-78.73,2001.9,0.0
0.6,1.0,20,LINKUSDT,-1375.24,532,23.87,6.17,1381.41,0.0
0.6,1.0,50,LINKUSDT,-833.29,322,23.6,2.82,836.12,0.0
