NOVA_BODY,NOVA_RNG_ATR,NOVA_LB,symbol,net,trades,win_pct,gross,costs,risk_total
0.4,0.6,10,SOLUSDT,-2979.81,1145,21.4,-6.69,2973.13,0.0
0.4,0.6,20,SOLUSDT,-2159.39,780,21.03,-134.2,2025.19,0.0
0.4,0.6,50,SOLUSDT,-1174.34,453,22.74,1.93,1176.27,0.0
0.4,0.8,10,SOLUSDT,-2624.82,1069,21.98,151.17,2775.99,0.0
0.4,0.8,20,SOLUSDT,-2028.86,751,21.3,-78.89,1949.96,0.0
0.4,0.8,50,SOLUSDT,-1137.85,442,22.85,9.87,1147.72,0.0
0.4,1.0,10,SOLUSDT,-2321.8,958,22.65,165.99,2487.78,0.0
0.4,1.0,20,SOLUSDT,-1844.61,682,21.7,-73.81,1770.8,0.0
0.4,1.0,50,SOLUSDT,-1051.15,416,23.56,29.08,1080.23,0.0
0.5,0.6,10,SOLUSDT,-2765.86,1040,21.35,-65.45,2700.4,0.0
0.5,0.6,20,SOLUSDT,-2023.23,706,20.4,-190.26,1832.97,0.0
0.5,0.6,50,SOLUSDT,-1147.95,417,22.06,-65.24,1082.71,0.0
0.5,0.8,10,SOLUSDT,-2498.73,978,21.78,40.82,2539.55,0.0
0.5,0.8,20,SOLUSDT,-1944.31,687,20.52,-160.64,1783.67,0.0
0.5,0.8,50,SOLUSDT,-1117.39,406,21.92,-63.24,1054.15,0.0
0.5,1.0,10,SOLUSDT,-2201.21,884,22.4,94.32,2295.54,0.0
0.5,1.0,20,SOLUSDT,-1775.43,633,21.01,-131.94,1643.49,0.0
0.5,1.0,50,SOLUSDT,-1057.2,387,22.22,-52.37,1004.83,0.0
0.6,0.6,10,SOLUSDT,-2266.2,887,21.98,37.05,2303.25,0.0
0.6,0.6,20,SOLUSDT,-1702.65,613,21.21,-111.06,1591.59,0.0
0.6,0.6,50,SOLUSDT,-925.99,362,23.48,14.0,940.0,0.0
0.6,0.8,10,SOLUSDT,-2107.78,848,22.17,94.28,2202.06,0.0
0.6,0.8,20,SOLUSDT,-1649.9,600,21.33,-92.04,1557.86,0.0
0.6,0.8,50,SOLUSDT,-899.97,354,23.45,19.26,919.23,0.0
0.6,1.0,10,SOLUSDT,-1980.9,770,21.82,18.53,1999.42,0.0
0.6,1.0,20,SOLUSDT,-1546.71,558,21.68,-97.92,1448.79,0.0
0.6,1.0,50,SOLUSDT,-857.82,336,23.51,14.66,872.48,0.0
