NOVA_DISP_MIN,symbol,net,trades,win_pct,gross,costs,risk_total
1.0,BTCUSDT,-1910.42,748,12.03,31.9,1942.32,0.0
1.5,BTCUSDT,-1202.8,525,13.33,160.64,1363.44,0.0
1.6,BTCUSDT,-1080.18,475,13.68,153.41,1233.6,0.0
2.0,BTCUSDT,-640.51,312,15.06,169.86,810.37,0.0
1.0,BNBUSDT,-1799.72,696,14.8,7.54,1807.26,0.0
1.5,BNBUSDT,-1081.02,418,15.07,4.37,1085.39,0.0
1.6,BNBUSDT,-962.62,376,15.43,13.73,976.35,0.0
2.0,BNBUSDT,-513.65,231,18.61,86.28,599.93,0.0
1.0,LINKUSDT,-1583.91,605,24.3,-12.97,1570.94,0.0
1.5,LINKUSDT,-952.37,384,24.48,44.79,997.16,0.0
1.6,LINKUSDT,-886.69,353,24.36,29.95,916.65,0.0
2.0,LINKUSDT,-639.51,244,23.77,-5.94,633.57,0.0
1.0,SOLUSDT,-1775.43,633,21.01,-131.94,1643.49,0.0
1.5,SOLUSDT,-1119.2,418,22.01,-33.86,1085.35,0.0
1.6,SOLUSDT,-1054.83,383,21.67,-60.41,994.43,0.0
2.0,SOLUSDT,-729.52,242,17.77,-101.26,628.25,0.0
