NOVA_EXT_MAX,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
0.1,BTCUSDT,F_192,2026-06-04T12:40:00+00:00,2026-06-04T13:20:00+00:00,63768.801813,63078.25905,1000.0,-10.8288,,stop,8
0.1,BTCUSDT,F_192,2026-06-04T19:30:00+00:00,2026-06-04T19:35:00+00:00,64211.3664,63688.359474,1000.0,-8.1451,,stop,1
0.1,BTCUSDT,F_192,2026-06-04T23:55:00+00:00,2026-06-05T00:10:00+00:00,63945.010587,63581.278761,1000.0,-5.6882,,stop,3
0.1,BTCUSDT,F_192,2026-06-06T23:40:00+00:00,2026-06-07T01:05:00+00:00,60908.658454,61212.141943,1000.0,4.9826,,tp,17
0.1,BTCUSDT,F_192,2026-06-07T01:30:00+00:00,2026-06-07T01:45:00+00:00,61718.910414,61298.230414,1000.0,-6.8161,,stop,3
0.1,BTCUSDT,F_192,2026-06-09T19:35:00+00:00,2026-06-09T19:40:00+00:00,62055.26711,61735.880282,1000.0,-5.1468,,stop,1
0.1,BTCUSDT,F_192,2026-06-11T22:10:00+00:00,2026-06-11T22:20:00+00:00,63722.732,63501.093122,1000.0,-3.4782,,stop,2
0.1,BTCUSDT,F_192,2026-06-12T04:25:00+00:00,2026-06-12T05:00:00+00:00,63819.75797,63581.403125,1000.0,-3.7348,,stop,7
0.1,BTCUSDT,F_192,2026-06-15T11:10:00+00:00,2026-06-15T11:25:00+00:00,66061.7688,66265.679853,1000.0,3.0867,,tp,3
0.1,BTCUSDT,F_192,2026-06-17T15:40:00+00:00,2026-06-17T16:25:00+00:00,65561.128813,66192.643508,1000.0,9.6325,,tp,9
0.1,BTCUSDT,F_192,2026-06-18T13:10:00+00:00,2026-06-18T13:30:00+00:00,64491.7304,64237.193346,1000.0,-3.9468,,stop,4
0.1,BTCUSDT,F_192,2026-06-25T20:05:00+00:00,2026-06-25T20:30:00+00:00,59807.638987,59459.54382,1000.0,-5.8202,,stop,5
0.1,BTCUSDT,F_192,2026-06-26T03:40:00+00:00,2026-06-26T07:10:00+00:00,59546.10944,60450.410184,1000.0,15.1866,,tp,42
0.1,BTCUSDT,F_192,2026-06-27T07:50:00+00:00,2026-06-27T08:00:00+00:00,60580.802795,60392.136536,1000.0,-3.1143,,stop,2
0.1,BTCUSDT,F_192,2026-06-27T12:55:00+00:00,2026-06-27T14:10:00+00:00,60497.154193,60628.206358,1000.0,2.1663,,tp,15
0.1,BTCUSDT,F_192,2026-06-27T14:15:00+00:00,2026-06-27T14:15:00+00:00,60749.47178,60533.892427,1000.0,-3.5487,,stop,0
0.1,BTCUSDT,F_192,2026-06-28T01:45:00+00:00,2026-06-28T01:50:00+00:00,60337.216544,60134.481387,1000.0,-3.36,,stop,1
0.1,BTCUSDT,F_192,2026-07-01T01:40:00+00:00,2026-07-01T12:10:00+00:00,58840.3932,58367.101485,1000.0,-8.0437,,stop,126
0.1,BTCUSDT,F_192,2026-07-02T13:35:00+00:00,2026-07-02T14:25:00+00:00,62054.5662,61586.172816,1000.0,-7.5481,,stop,10
0.1,BTCUSDT,F_192,2026-07-05T13:10:00+00:00,2026-07-05T13:10:00+00:00,62857.538709,62660.154475,1000.0,-3.1402,,stop,0
0.1,BTCUSDT,F_192,2026-07-05T21:55:00+00:00,2026-07-05T22:20:00+00:00,63136.621045,63390.163706,1000.0,4.0158,,tp,5
0.1,BTCUSDT,F_192,2026-07-05T23:15:00+00:00,2026-07-05T23:20:00+00:00,64061.1714,63634.450361,1000.0,-6.6611,,stop,1
0.1,BTCUSDT,F_192,2026-07-06T20:55:00+00:00,2026-07-06T21:00:00+00:00,63973.057,63736.006623,1000.0,-3.7055,,stop,1
