NOVA_EXT_MAX,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
0.1,SOLUSDT,F_192,2026-06-02T03:55:00+00:00,2026-06-02T04:05:00+00:00,81.135339,80.638943,1000.0,-6.1181,,stop,2
0.1,SOLUSDT,F_192,2026-06-05T09:15:00+00:00,2026-06-05T12:00:00+00:00,66.416229,65.610824,1000.0,-12.1266,,stop,33
0.1,SOLUSDT,F_192,2026-06-08T11:40:00+00:00,2026-06-08T12:00:00+00:00,67.027022,66.456231,1000.0,-8.5158,,stop,4
0.1,SOLUSDT,F_192,2026-06-08T12:45:00+00:00,2026-06-08T13:30:00+00:00,67.177217,66.452145,1000.0,-10.7934,,stop,9
0.1,SOLUSDT,F_192,2026-06-09T04:50:00+00:00,2026-06-09T05:00:00+00:00,67.427542,66.823416,1000.0,-8.9596,,stop,2
0.1,SOLUSDT,F_192,2026-06-10T15:55:00+00:00,2026-06-10T16:20:00+00:00,65.735345,64.869476,1000.0,-13.172,,stop,5
0.1,SOLUSDT,F_192,2026-06-11T00:50:00+00:00,2026-06-11T01:35:00+00:00,63.832875,64.446129,1000.0,9.6072,,tp,9
0.1,SOLUSDT,F_192,2026-06-12T09:20:00+00:00,2026-06-12T10:20:00+00:00,67.147178,66.778824,1000.0,-5.4858,,stop,12
0.1,SOLUSDT,F_192,2026-06-13T15:15:00+00:00,2026-06-13T16:00:00+00:00,68.579037,68.201688,1000.0,-5.5024,,stop,9
0.1,SOLUSDT,F_192,2026-06-14T16:15:00+00:00,2026-06-14T16:55:00+00:00,67.697893,67.397305,1000.0,-4.4401,,stop,8
0.1,SOLUSDT,F_192,2026-06-15T06:50:00+00:00,2026-06-15T07:00:00+00:00,71.572924,71.19739,1000.0,-5.2469,,stop,2
0.1,SOLUSDT,F_192,2026-06-15T16:35:00+00:00,2026-06-15T17:00:00+00:00,76.078774,75.202312,1000.0,-11.5204,,stop,5
0.1,SOLUSDT,F_192,2026-06-17T15:15:00+00:00,2026-06-17T16:15:00+00:00,72.874614,74.015412,1000.0,15.6543,,tp,12
0.1,SOLUSDT,F_192,2026-06-18T02:25:00+00:00,2026-06-18T03:00:00+00:00,72.734432,72.358815,1000.0,-5.1642,,stop,7
0.1,SOLUSDT,F_192,2026-06-18T20:20:00+00:00,2026-06-18T21:15:00+00:00,69.950818,69.421881,1000.0,-7.5616,,stop,11
0.1,SOLUSDT,F_192,2026-06-20T10:50:00+00:00,2026-06-20T11:05:00+00:00,71.743145,71.421605,1000.0,-4.4818,,stop,3
0.1,SOLUSDT,F_192,2026-06-20T18:30:00+00:00,2026-06-20T19:25:00+00:00,71.973444,71.511786,1000.0,-6.4143,,stop,11
0.1,SOLUSDT,F_192,2026-06-22T01:20:00+00:00,2026-06-22T01:25:00+00:00,73.775784,74.864048,1000.0,14.751,,tp,1
0.1,SOLUSDT,F_192,2026-06-22T05:10:00+00:00,2026-06-22T06:30:00+00:00,74.156278,73.708903,1000.0,-6.0329,,stop,16
0.1,SOLUSDT,F_192,2026-06-23T21:10:00+00:00,2026-06-23T22:15:00+00:00,69.279947,69.674966,1000.0,5.7018,,tp,13
0.1,SOLUSDT,F_192,2026-06-25T21:30:00+00:00,2026-06-25T23:25:00+00:00,66.906866,67.647381,1000.0,11.0679,,tp,23
0.1,SOLUSDT,F_192,2026-06-26T03:40:00+00:00,2026-06-26T06:20:00+00:00,67.467594,68.935005,1000.0,21.7499,,tp,32
0.1,SOLUSDT,F_192,2026-06-27T00:05:00+00:00,2026-06-27T00:30:00+00:00,72.123639,71.745962,1000.0,-5.2365,,stop,5
0.1,SOLUSDT,F_192,2026-06-27T14:15:00+00:00,2026-06-27T17:00:00+00:00,72.714406,72.31028,1000.0,-5.5577,,stop,33
0.1,SOLUSDT,F_192,2026-06-28T01:35:00+00:00,2026-06-28T02:20:00+00:00,70.912066,70.557365,1000.0,-5.002,,stop,9
0.1,SOLUSDT,F_192,2026-06-28T07:40:00+00:00,2026-06-28T08:35:00+00:00,70.982157,71.377816,1000.0,5.5741,,tp,11
0.1,SOLUSDT,F_192,2026-06-30T14:25:00+00:00,2026-06-30T14:50:00+00:00,73.735732,72.906544,1000.0,-11.2454,,stop,5
0.1,SOLUSDT,F_192,2026-07-01T02:25:00+00:00,2026-07-01T13:50:00+00:00,74.516746,75.855149,1000.0,17.9611,,tp,137
0.1,SOLUSDT,F_192,2026-07-01T15:25:00+00:00,2026-07-01T20:15:00+00:00,77.590737,76.595319,1000.0,-12.8291,,stop,58
0.1,SOLUSDT,F_192,2026-07-03T06:05:00+00:00,2026-07-03T06:20:00+00:00,81.375651,80.928878,1000.0,-5.4903,,stop,3
0.1,SOLUSDT,F_192,2026-07-03T07:50:00+00:00,2026-07-03T07:55:00+00:00,81.495807,81.094533,1000.0,-4.9239,,stop,1
0.1,SOLUSDT,F_192,2026-07-05T04:45:00+00:00,2026-07-05T04:45:00+00:00,80.945092,80.615869,1000.0,-4.0672,,stop,0
0.1,SOLUSDT,F_192,2026-07-05T11:35:00+00:00,2026-07-05T12:00:00+00:00,80.714793,80.360189,1000.0,-4.3933,,stop,5
0.1,SOLUSDT,F_192,2026-07-06T15:55:00+00:00,2026-07-06T21:05:00+00:00,81.545872,82.649716,1000.0,13.5365,,tp,62
0.1,SOLUSDT,F_192,2026-07-07T17:30:00+00:00,2026-07-07T18:15:00+00:00,82.677341,82.084778,1000.0,-7.1672,,stop,9
