NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,symbol,net,trades,win_pct,gross,costs,risk_total
std,0.0025,0.0015,BNBUSDT,-2093.25,770,13.51,-93.97,1999.28,0.0
std,0.0025,0.0045,BNBUSDT,-2093.25,770,13.51,-93.97,1999.28,0.0
std,0.004,0.0015,BNBUSDT,-2093.25,770,13.51,-93.97,1999.28,0.0
std,0.004,0.0045,BNBUSDT,-2093.25,770,13.51,-93.97,1999.28,0.0
std,0.005,0.0015,BNBUSDT,-2093.25,770,13.51,-93.97,1999.28,0.0
std,0.005,0.0045,BNBUSDT,-2093.25,770,13.51,-93.97,1999.28,0.0
dual,0.0025,0.0015,BNBUSDT,-1947.82,802,26.06,134.85,2082.67,0.0
dual,0.0025,0.0045,BNBUSDT,-1657.84,824,26.21,482.41,2140.24,0.0
dual,0.004,0.0015,BNBUSDT,-1950.85,785,19.87,87.61,2038.46,0.0
dual,0.004,0.0045,BNBUSDT,-1888.14,793,20.3,171.21,2059.35,0.0
dual,0.005,0.0015,BNBUSDT,-1937.68,780,17.31,87.8,2025.48,0.0
dual,0.005,0.0045,BNBUSDT,-1934.32,780,17.31,91.16,2025.49,0.0
