NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,symbol,net,trades,win_pct,gross,costs,risk_total
std,0.0025,0.0015,SOLUSDT,-1915.43,674,20.92,-165.52,1749.91,0.0
std,0.0025,0.0045,SOLUSDT,-1915.43,674,20.92,-165.52,1749.91,0.0
std,0.004,0.0015,SOLUSDT,-1915.43,674,20.92,-165.52,1749.91,0.0
std,0.004,0.0045,SOLUSDT,-1915.43,674,20.92,-165.52,1749.91,0.0
std,0.005,0.0015,SOLUSDT,-1915.43,674,20.92,-165.52,1749.91,0.0
std,0.005,0.0045,SOLUSDT,-1915.43,674,20.92,-165.52,1749.91,0.0
dual,0.0025,0.0015,SOLUSDT,-1739.1,755,43.44,221.64,1960.74,0.0
dual,0.0025,0.0045,SOLUSDT,-1271.44,783,44.19,762.71,2034.15,0.0
dual,0.004,0.0015,SOLUSDT,-1730.49,725,35.59,152.26,1882.75,0.0
dual,0.004,0.0045,SOLUSDT,-1690.01,739,35.99,229.19,1919.2,0.0
dual,0.005,0.0015,SOLUSDT,-1756.44,714,31.79,97.68,1854.12,0.0
dual,0.005,0.0045,SOLUSDT,-1756.16,718,31.89,108.36,1864.52,0.0
