NOVA_R,NOVA_CAP,NOVA_HALVE,symbol,net,trades,win_pct,gross,costs,risk_total
0.2,12.0,1.3,BNBUSDT,-23.23,781,13.83,-0.62,22.61,24.05
0.2,12.0,1.5,BNBUSDT,-24.29,781,13.83,-0.52,23.77,25.4
0.2,12.0,2.0,BNBUSDT,-25.1,781,13.83,-0.81,24.29,26.22
0.2,25.0,1.3,BNBUSDT,-48.0,781,13.83,-1.05,46.94,49.31
0.2,25.0,1.5,BNBUSDT,-50.21,781,13.83,-0.83,49.38,52.12
0.2,25.0,2.0,BNBUSDT,-51.85,781,13.83,-1.41,50.44,53.79
1.0,12.0,1.3,BNBUSDT,-23.23,781,13.83,-0.62,22.61,24.05
1.0,12.0,1.5,BNBUSDT,-24.29,781,13.83,-0.52,23.77,25.4
1.0,12.0,2.0,BNBUSDT,-25.1,781,13.83,-0.81,24.29,26.22
1.0,25.0,1.3,BNBUSDT,-48.39,781,13.83,-1.3,47.09,50.1
1.0,25.0,1.5,BNBUSDT,-50.61,781,13.83,-1.08,49.53,52.91
1.0,25.0,2.0,BNBUSDT,-52.28,781,13.83,-1.68,50.6,54.62
2.0,12.0,1.3,BNBUSDT,-23.23,781,13.83,-0.62,22.61,24.05
2.0,12.0,1.5,BNBUSDT,-24.29,781,13.83,-0.52,23.77,25.4
2.0,12.0,2.0,BNBUSDT,-25.1,781,13.83,-0.81,24.29,26.22
2.0,25.0,1.3,BNBUSDT,-48.39,781,13.83,-1.3,47.09,50.1
2.0,25.0,1.5,BNBUSDT,-50.61,781,13.83,-1.08,49.53,52.91
2.0,25.0,2.0,BNBUSDT,-52.28,781,13.83,-1.68,50.6,54.62
