NOVA_R,NOVA_CAP,NOVA_HALVE,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-01T03:05:00+00:00,2026-06-01T03:35:00+00:00,710.162012,704.529218,12.0,-0.0952,-1.194,stop,6
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-01T09:20:00+00:00,2026-06-01T09:30:00+00:00,693.930939,699.47187,12.0,0.0958,1.718,tp,2
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-01T09:35:00+00:00,2026-06-01T09:35:00+00:00,705.9165,700.464711,12.0,-0.0927,-1.201,stop,0
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-01T09:45:00+00:00,2026-06-01T09:55:00+00:00,718.492828,710.971647,6.0,-0.0628,-1.14,stop,2
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-01T17:45:00+00:00,2026-06-01T20:05:00+00:00,688.99453,696.479357,12.0,0.1304,1.784,tp,28
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-01T18:30:00+00:00,2026-06-01T18:50:00+00:00,695.472941,690.725258,12.0,-0.0819,-1.234,stop,4
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-01T20:10:00+00:00,2026-06-01T20:50:00+00:00,699.277881,695.38984,12.0,-0.0667,-1.303,stop,8
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-01T23:20:00+00:00,2026-06-01T23:30:00+00:00,696.233929,692.007434,12.0,-0.0728,-1.271,stop,2
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-02T03:25:00+00:00,2026-06-02T04:05:00+00:00,694.741992,689.571525,12.0,-0.0893,-1.21,stop,8
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-03T00:35:00+00:00,2026-06-03T01:05:00+00:00,656.75267,651.030942,12.0,-0.1045,-1.174,stop,6
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-03T05:30:00+00:00,2026-06-03T06:55:00+00:00,644.957356,640.019961,12.0,-0.0919,-1.203,stop,17
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-03T08:50:00+00:00,2026-06-03T09:15:00+00:00,646.459306,642.766907,12.0,-0.0685,-1.293,stop,5
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-03T21:50:00+00:00,2026-06-03T23:05:00+00:00,628.876478,623.3037,12.0,-0.1063,-1.17,stop,15
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-04T03:05:00+00:00,2026-06-04T05:10:00+00:00,614.287537,603.967072,12.0,-0.2016,-1.082,stop,25
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-04T12:05:00+00:00,2026-06-04T15:05:00+00:00,597.97636,607.037612,12.0,0.1818,1.84,tp,36
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-04T12:30:00+00:00,2026-06-05T01:00:00+00:00,601.651131,595.835537,12.0,-0.116,-1.154,stop,150
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-04T13:40:00+00:00,2026-06-04T17:30:00+00:00,606.096903,599.921704,12.0,-0.1223,-1.145,stop,46
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-04T18:30:00+00:00,2026-06-04T19:55:00+00:00,609.230972,604.649619,12.0,-0.0902,-1.207,stop,17
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-04T23:55:00+00:00,2026-06-05T00:55:00+00:00,605.436045,601.347561,12.0,-0.081,-1.237,stop,12
0.2,12.0,1.3,BNBUSDT,F_204,2026-06-05T04:55:00+00:00,2026-06-05T05:35:00+00:00,600.289363,594.745188,12.0,-0.1108,-1.162,stop,8
