NOVA_R,NOVA_CAP,NOVA_HALVE,symbol,net,trades,win_pct,gross,costs,risk_total
0.2,12.0,1.3,LINKUSDT,-19.18,671,23.85,0.24,19.43,33.99
0.2,12.0,1.5,LINKUSDT,-20.33,671,23.85,-0.22,20.11,35.47
0.2,12.0,2.0,LINKUSDT,-20.98,671,23.85,-0.14,20.85,37.49
0.2,25.0,1.3,LINKUSDT,-38.2,671,23.85,1.65,39.85,67.75
0.2,25.0,1.5,LINKUSDT,-40.41,671,23.85,0.83,41.24,70.63
0.2,25.0,2.0,LINKUSDT,-41.49,671,23.85,1.16,42.66,74.29
1.0,12.0,1.3,LINKUSDT,-19.31,671,23.85,0.13,19.44,34.11
1.0,12.0,1.5,LINKUSDT,-20.46,671,23.85,-0.33,20.13,35.59
1.0,12.0,2.0,LINKUSDT,-21.11,671,23.85,-0.25,20.86,37.61
1.0,25.0,1.3,LINKUSDT,-40.23,671,23.85,0.28,40.51,71.06
1.0,25.0,1.5,LINKUSDT,-42.62,671,23.85,-0.69,41.93,74.14
1.0,25.0,2.0,LINKUSDT,-43.98,671,23.85,-0.52,43.46,78.35
2.0,12.0,1.3,LINKUSDT,-19.31,671,23.85,0.13,19.44,34.11
2.0,12.0,1.5,LINKUSDT,-20.46,671,23.85,-0.33,20.13,35.59
2.0,12.0,2.0,LINKUSDT,-21.11,671,23.85,-0.25,20.86,37.61
2.0,25.0,1.3,LINKUSDT,-40.23,671,23.85,0.28,40.51,71.06
2.0,25.0,1.5,LINKUSDT,-42.62,671,23.85,-0.69,41.93,74.14
2.0,25.0,2.0,LINKUSDT,-43.98,671,23.85,-0.52,43.46,78.35
