NOVA_R,NOVA_CAP,NOVA_HALVE,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-01T03:05:00+00:00,2026-06-01T04:05:00+00:00,9.210959,9.145055,12.0,-0.0859,-1.22,stop,12
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-01T09:50:00+00:00,2026-06-01T09:50:00+00:00,9.055757,9.009744,12.0,-0.061,-1.342,stop,0
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-01T17:00:00+00:00,2026-06-01T22:00:00+00:00,9.017708,8.958047,12.0,-0.0794,-1.243,stop,60
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-01T17:45:00+00:00,2026-06-01T18:00:00+00:00,9.11183,9.038493,12.0,-0.0966,-1.191,stop,3
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-02T03:55:00+00:00,2026-06-02T04:05:00+00:00,9.040738,8.978194,12.0,-0.083,-1.23,stop,2
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-02T13:05:00+00:00,2026-06-02T14:05:00+00:00,8.866512,8.808474,12.0,-0.0785,-1.246,stop,12
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-03T00:35:00+00:00,2026-06-03T01:35:00+00:00,8.440959,8.351944,12.0,-0.1265,-1.139,stop,12
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-03T05:05:00+00:00,2026-06-03T15:45:00+00:00,8.461986,8.372516,12.0,-0.1269,-1.139,stop,128
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-03T06:25:00+00:00,2026-06-03T07:00:00+00:00,8.528072,8.473043,12.0,-0.0774,-1.251,stop,7
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-03T10:10:00+00:00,2026-06-03T11:50:00+00:00,8.576134,8.514052,12.0,-0.0869,-1.217,stop,20
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-03T11:05:00+00:00,2026-06-03T11:35:00+00:00,8.614184,8.552908,12.0,-0.0854,-1.222,stop,6
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-03T21:35:00+00:00,2026-06-04T00:25:00+00:00,8.369867,8.265536,12.0,-0.1496,-1.115,stop,34
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-04T03:05:00+00:00,2026-06-04T08:10:00+00:00,8.190634,8.011634,9.72,-0.2124,-1.062,stop,61
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-04T12:05:00+00:00,2026-06-04T22:05:00+00:00,7.98737,7.891384,12.0,-0.1442,-1.12,stop,120
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-04T12:35:00+00:00,2026-06-04T13:20:00+00:00,8.0875,7.976688,12.0,-0.1644,-1.103,stop,9
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-04T18:30:00+00:00,2026-06-04T20:00:00+00:00,8.104522,8.019655,12.0,-0.1257,-1.14,stop,18
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-05T04:30:00+00:00,2026-06-05T04:45:00+00:00,7.88724,7.794808,12.0,-0.1406,-1.123,stop,3
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-05T16:50:00+00:00,2026-06-05T18:30:00+00:00,7.442663,7.288176,10.27,-0.2131,-1.065,stop,20
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-05T20:10:00+00:00,2026-06-06T04:05:00+00:00,7.374575,7.223457,10.41,-0.2133,-1.066,stop,95
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-06T01:05:00+00:00,2026-06-06T01:15:00+00:00,7.462689,7.393208,12.0,-0.1117,-1.161,stop,2
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-06T06:05:00+00:00,2026-06-06T10:30:00+00:00,7.335524,7.20115,11.74,-0.215,-1.075,stop,53
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-06T08:30:00+00:00,2026-06-06T09:45:00+00:00,7.462689,7.39706,12.0,-0.1055,-1.172,stop,15
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-06T11:50:00+00:00,2026-06-06T12:30:00+00:00,7.341532,7.273064,12.0,-0.1119,-1.16,stop,8
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-06T12:50:00+00:00,2026-06-06T13:30:00+00:00,7.396603,7.33106,12.0,-0.1063,-1.17,stop,8
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-06T21:15:00+00:00,2026-06-06T22:00:00+00:00,7.364562,7.314469,12.0,-0.0816,-1.235,stop,9
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-06T23:40:00+00:00,2026-06-07T01:05:00+00:00,7.396603,7.462889,12.0,0.1075,1.744,tp,17
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-07T01:05:00+00:00,2026-06-07T01:20:00+00:00,7.461688,7.532169,12.0,0.1133,1.756,tp,3
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-07T01:25:00+00:00,2026-06-07T06:25:00+00:00,7.568827,7.679687,6.0,0.0879,1.835,tp,60
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-07T03:20:00+00:00,2026-06-07T03:35:00+00:00,7.610881,7.550909,12.0,-0.0946,-1.196,stop,3
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-07T06:20:00+00:00,2026-06-07T08:45:00+00:00,7.661948,7.76641,12.0,0.1636,1.824,tp,29
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-07T06:30:00+00:00,2026-06-07T08:55:00+00:00,7.698996,7.793422,12.0,0.1472,1.806,tp,29
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-07T08:40:00+00:00,2026-06-07T09:15:00+00:00,7.748059,7.825016,12.0,0.1192,1.766,tp,7
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-07T09:00:00+00:00,2026-06-07T09:30:00+00:00,7.820153,7.756485,12.0,-0.0977,-1.188,stop,6
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-07T11:50:00+00:00,2026-06-07T12:05:00+00:00,7.789113,7.737327,12.0,-0.0798,-1.241,stop,3
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-07T14:05:00+00:00,2026-06-07T15:15:00+00:00,7.728033,7.676184,12.0,-0.0805,-1.239,stop,14
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-07T17:05:00+00:00,2026-06-07T17:50:00+00:00,7.775095,7.712198,12.0,-0.0971,-1.19,stop,9
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-07T22:15:00+00:00,2026-06-07T22:20:00+00:00,7.952325,7.866656,6.0,-0.0646,-1.136,stop,1
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-08T00:30:00+00:00,2026-06-08T01:10:00+00:00,7.959334,7.892774,12.0,-0.1003,-1.183,stop,8
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-08T06:20:00+00:00,2026-06-08T11:15:00+00:00,7.839178,7.937417,12.0,0.1504,1.81,tp,59
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-08T07:25:00+00:00,2026-06-08T08:45:00+00:00,7.907266,7.848906,12.0,-0.0886,-1.212,stop,16
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-08T07:50:00+00:00,2026-06-08T08:00:00+00:00,7.945316,7.884053,12.0,-0.0925,-1.201,stop,2
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-08T11:20:00+00:00,2026-06-08T12:00:00+00:00,7.982364,7.920767,12.0,-0.0926,-1.201,stop,8
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-08T12:45:00+00:00,2026-06-09T00:20:00+00:00,8.017409,7.933796,12.0,-0.1251,-1.141,stop,139
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-08T15:00:00+00:00,2026-06-08T16:30:00+00:00,8.069477,7.998494,12.0,-0.1056,-1.172,stop,18
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-08T21:10:00+00:00,2026-06-08T21:55:00+00:00,8.121544,8.069612,12.0,-0.0767,-1.254,stop,9
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-09T04:10:00+00:00,2026-06-09T04:30:00+00:00,7.906265,7.855753,12.0,-0.0767,-1.254,stop,4
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-09T04:35:00+00:00,2026-06-09T07:25:00+00:00,7.960335,7.901336,12.0,-0.0889,-1.211,stop,34
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-09T12:05:00+00:00,2026-06-09T12:45:00+00:00,7.9333,7.882325,12.0,-0.0771,-1.252,stop,8
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-09T17:20:00+00:00,2026-06-10T02:25:00+00:00,7.843183,7.737968,12.0,-0.161,-1.106,stop,109
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-09T19:05:00+00:00,2026-06-09T19:45:00+00:00,7.885238,7.824481,12.0,-0.0925,-1.201,stop,8
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-09T20:15:00+00:00,2026-06-09T21:15:00+00:00,7.927292,7.868336,12.0,-0.0892,-1.21,stop,12
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-10T07:05:00+00:00,2026-06-10T08:30:00+00:00,7.748059,7.698467,12.0,-0.0768,-1.253,stop,17
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-10T07:25:00+00:00,2026-06-10T08:00:00+00:00,7.799126,7.746899,12.0,-0.0804,-1.239,stop,7
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-10T12:35:00+00:00,2026-06-10T13:40:00+00:00,7.780101,7.890116,12.0,0.1697,1.829,tp,13
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-10T13:45:00+00:00,2026-06-10T13:50:00+00:00,7.908267,7.83621,12.0,-0.1093,-1.165,stop,1
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-11T00:15:00+00:00,2026-06-11T01:35:00+00:00,7.603872,7.681017,12.0,0.1217,1.771,tp,16
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-11T01:05:00+00:00,2026-06-11T03:55:00+00:00,7.652936,7.730017,12.0,0.1209,1.769,tp,34
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-11T01:20:00+00:00,2026-06-11T02:30:00+00:00,7.688983,7.632904,12.0,-0.0875,-1.215,stop,14
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-11T03:35:00+00:00,2026-06-11T03:55:00+00:00,7.73304,7.799744,12.0,0.1035,1.736,tp,4
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-11T04:00:00+00:00,2026-06-11T06:00:00+00:00,7.813144,7.754336,12.0,-0.0903,-1.207,stop,24
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-11T08:25:00+00:00,2026-06-11T09:10:00+00:00,7.830166,7.792166,12.0,-0.0582,-1.364,stop,9
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-11T10:55:00+00:00,2026-06-11T11:05:00+00:00,7.835173,7.799163,12.0,-0.0552,-1.393,stop,2
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-11T11:15:00+00:00,2026-06-11T12:20:00+00:00,7.846187,7.806739,12.0,-0.0603,-1.347,stop,13
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-11T17:30:00+00:00,2026-06-11T17:45:00+00:00,7.807136,7.909127,12.0,0.1568,1.817,tp,3
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-11T17:50:00+00:00,2026-06-11T20:40:00+00:00,7.948319,7.864939,6.0,-0.0629,-1.14,stop,34
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-12T08:10:00+00:00,2026-06-12T09:20:00+00:00,7.852195,7.906189,12.0,0.0825,1.68,tp,14
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-12T09:20:00+00:00,2026-06-12T10:25:00+00:00,7.907266,7.862175,12.0,-0.0684,-1.294,stop,13
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-12T14:55:00+00:00,2026-06-12T15:35:00+00:00,7.977357,7.896079,6.0,-0.0611,-1.145,stop,8
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-13T00:15:00+00:00,2026-06-13T01:40:00+00:00,7.890244,7.925356,12.0,0.0534,1.546,tp,17
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-13T01:10:00+00:00,2026-06-13T01:15:00+00:00,7.920283,7.886018,12.0,-0.0519,-1.428,stop,1
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-13T01:45:00+00:00,2026-06-13T02:20:00+00:00,7.946317,7.910448,12.0,-0.0542,-1.403,stop,7
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-13T06:50:00+00:00,2026-06-13T07:05:00+00:00,7.930296,7.893592,12.0,-0.0555,-1.389,stop,3
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-13T07:30:00+00:00,2026-06-13T07:30:00+00:00,7.973352,7.933882,12.0,-0.0594,-1.354,stop,0
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-13T08:40:00+00:00,2026-06-13T09:00:00+00:00,7.989373,7.948312,12.0,-0.0617,-1.337,stop,4
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-13T11:15:00+00:00,2026-06-13T11:50:00+00:00,7.996382,7.966013,12.0,-0.0456,-1.518,stop,7
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-13T12:20:00+00:00,2026-06-13T13:30:00+00:00,8.004392,7.97601,12.0,-0.0426,-1.577,stop,14
0.2,12.0,1.3,LINKUSDT,F_204,2026-06-13T12:55:00+00:00,2026-06-13T13:00:00+00:00,8.022416,7.993725,12.0,-0.0429,-1.569,stop,1
