NOVA_COOL_S,NOVA_MAX_PER,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
120.0,2,LINKUSDT,F_205,2026-06-01T02:40:00+00:00,2026-06-01T02:41:00+00:00,9.118839,9.093288,1000.0,-2.802,,stop,1
120.0,2,LINKUSDT,F_205,2026-06-01T02:42:00+00:00,2026-06-01T02:43:00+00:00,9.131856,9.151943,1000.0,2.1997,,tp,1
120.0,2,LINKUSDT,F_205,2026-06-01T03:04:00+00:00,2026-06-01T03:12:00+00:00,9.20395,9.174293,1000.0,-3.2221,,stop,8
120.0,2,LINKUSDT,F_205,2026-06-01T05:48:00+00:00,2026-06-01T05:50:00+00:00,9.099814,9.073575,1000.0,-2.8835,,stop,2
120.0,2,LINKUSDT,F_205,2026-06-01T07:05:00+00:00,2026-06-01T07:17:00+00:00,9.036733,9.010575,1000.0,-2.8946,,stop,12
120.0,2,LINKUSDT,F_205,2026-06-01T08:23:00+00:00,2026-06-01T08:27:00+00:00,9.008696,8.98229,1000.0,-2.9312,,stop,4
120.0,2,LINKUSDT,F_205,2026-06-01T08:36:00+00:00,2026-06-01T08:37:00+00:00,9.010699,8.973875,1000.0,-4.0867,,stop,1
120.0,2,LINKUSDT,F_205,2026-06-01T09:02:00+00:00,2026-06-01T09:03:00+00:00,9.020712,8.997714,1000.0,-2.5495,,stop,1
120.0,2,LINKUSDT,F_205,2026-06-01T09:06:00+00:00,2026-06-01T09:07:00+00:00,9.032727,9.008715,1000.0,-2.6584,,stop,1
120.0,2,LINKUSDT,F_205,2026-06-01T09:08:00+00:00,2026-06-01T09:09:00+00:00,9.03473,9.010287,1000.0,-2.7054,,stop,1
120.0,2,LINKUSDT,F_205,2026-06-01T09:20:00+00:00,2026-06-01T09:21:00+00:00,9.040738,9.020852,1000.0,-2.1995,,stop,1
120.0,2,LINKUSDT,F_205,2026-06-01T09:50:00+00:00,2026-06-01T09:51:00+00:00,9.055757,9.027863,1000.0,-3.0803,,stop,1
120.0,2,LINKUSDT,F_205,2026-06-01T10:48:00+00:00,2026-06-01T10:58:00+00:00,9.030725,9.006144,1000.0,-2.7219,,stop,10
120.0,2,LINKUSDT,F_205,2026-06-01T10:51:00+00:00,2026-06-01T10:55:00+00:00,9.039736,9.016,1000.0,-2.6257,,stop,4
