NOVA_COOL_S,NOVA_MAX_PER,symbol,net,trades,win_pct,gross,costs,risk_total
120.0,2,BTCUSDT,-10353.74,5201,4.56,3155.4,13509.14,0.0
120.0,3,BTCUSDT,-10561.45,5280,4.66,3152.82,13714.27,0.0
300.0,2,BTCUSDT,-8004.62,4011,4.74,2413.57,10418.19,0.0
300.0,3,BTCUSDT,-8039.99,4024,4.77,2411.96,10451.95,0.0
120.0,2,BNBUSDT,-10464.32,5067,4.8,2696.27,13160.6,0.0
120.0,3,BNBUSDT,-10697.06,5169,4.97,2728.43,13425.49,0.0
300.0,2,BNBUSDT,-8199.15,3950,4.89,2060.19,10259.34,0.0
300.0,3,BNBUSDT,-8225.14,3964,4.94,2070.57,10295.71,0.0
120.0,2,LINKUSDT,-9968.1,4473,11.07,1648.75,11616.84,0.0
120.0,3,LINKUSDT,-10557.5,4673,11.06,1578.58,12136.08,0.0
300.0,2,LINKUSDT,-8102.63,3608,11.06,1267.64,9370.27,0.0
300.0,3,LINKUSDT,-8220.07,3653,11.06,1267.05,9487.11,0.0
120.0,2,SOLUSDT,-9712.49,4233,11.13,1280.68,10993.17,0.0
120.0,3,SOLUSDT,-10128.25,4395,11.33,1285.59,11413.83,0.0
300.0,2,SOLUSDT,-8003.75,3426,10.74,893.44,8897.2,0.0
300.0,3,SOLUSDT,-8054.25,3457,10.88,923.48,8977.73,0.0
