symbol,NOVA_BODY_RATIO,NOVA_RANGE_ATR,NOVA_LOOKBACK,net,trades,win_pct,pf
SOLUSDT,0.4,0.6,10,498.8941554822975,458,36.9,1.0554801934907476
SOLUSDT,0.4,0.6,20,-438.65640425959043,328,35.06,0.9336874257713472
SOLUSDT,0.4,0.6,50,-178.17272941167917,203,35.96,0.9574685442461628
SOLUSDT,0.4,0.8,10,613.3907405151524,431,37.59,1.07367461993976
SOLUSDT,0.4,0.8,20,-418.342616626383,317,35.02,0.9341635333733449
SOLUSDT,0.4,0.8,50,-64.97129884524821,195,36.41,0.9835678891071292
SOLUSDT,0.4,1.0,10,231.27174775811764,379,37.47,1.0314927388506223
SOLUSDT,0.4,1.0,20,-654.514224798446,287,34.49,0.8872993496649642
SOLUSDT,0.4,1.0,50,-455.06757773747944,187,35.29,0.8839709161310093
SOLUSDT,0.5,0.6,10,271.1018508377194,407,36.86,1.0337397532170067
SOLUSDT,0.5,0.6,20,-402.2431587847158,299,35.79,0.9335452697114281
SOLUSDT,0.5,0.6,50,-49.02131876997021,185,37.3,0.9870947185487992
SOLUSDT,0.5,0.8,10,292.24160325559734,386,37.56,1.0387137124472239
SOLUSDT,0.5,0.8,20,-470.1033563908675,290,35.52,0.9203125483921913
SOLUSDT,0.5,0.8,50,-19.32784049342089,182,37.36,0.9947932429818831
SOLUSDT,0.5,1.0,10,315.11156525039155,346,37.57,1.0472393174911845
SOLUSDT,0.5,1.0,20,-459.4039505276935,264,35.23,0.9134158969986556
SOLUSDT,0.5,1.0,50,-315.8775454998841,173,36.42,0.9123864794159817
SOLUSDT,0.6,0.6,10,720.4927266963043,338,38.17,1.1116661560961534
SOLUSDT,0.6,0.6,20,75.58053356039655,247,37.65,1.01555324698629
SOLUSDT,0.6,0.6,50,104.8292627994695,158,39.24,1.0327696912313462
SOLUSDT,0.6,0.8,10,206.68978166001463,325,36.92,1.0326662420919515
SOLUSDT,0.6,0.8,20,-53.47414720649176,241,36.93,0.9888169525570061
SOLUSDT,0.6,0.8,50,136.6021674371763,157,39.49,1.0433300531556098
SOLUSDT,0.6,1.0,10,338.6765334576261,290,37.24,1.0616593384009279
SOLUSDT,0.6,1.0,20,-25.157546094311446,224,36.16,0.9941968806160282
SOLUSDT,0.6,1.0,50,70.20252954668571,151,38.41,1.0233354352364914
